Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],PF Preservation,PF Group Abundance,Beella digitata,Beella praedigitata,Candeina nitida,Cassigerinella chipolensis,Cassigerinella martinezpicoi,Catapsydrax dissimilis,Catapsydrax parvulus,Catapsydrax stainforthi,Catapsydrax unicavus,Clavatorella bermudezi,Clavatorella nicobarensis,Dentoglobigerina altispira,Dentoglobigerina baroemoenensis,Dentoglobigerina globosa,Dentoglobigerina praedehiscens,Dentoglobigerina venezuelana,Fohsella birnageae,Fohsella fohsi,Fohsella kugleri,Fohsella lobata,Fohsella peripheroacuta,Fohsella peripheroronda,Fohsella praefohsi,Fohsella robusta,Globigerina angulisuturalis,Globigerina angustiumbilicata,Globigerina bulloides,Globigerina ciperoensis,Globigerina eamesi,Globigerina falconensis,Globigerina glutinata,Globigerina praebulloides,Globigerina quinqueloba,Globigerina rubescens,Globigerina umbilicata,Globigerinatella insueta,Globigerinella aequilateralis,Globigerinella calida,Globigerinella obesa,Globigerinella praesiphonifera,Globigerinella pseudobesa,Globigerinita iota,Globigerinoides altiaperturus,Globigerinoides bollii,Globigerinoides bulloideus,Globigerinoides conglobatus,Globigerinoides diminutus,Globigerinoides elongatus,Globigerinoides extremus,Globigerinoides fistulosus,Globigerinoides immaturus,Globigerinoides kennetti,Globigerinoides mitra,Globigerinoides obliquus,Globigerinoides parawoodi,Globigerinoides primordius,Globigerinoides pyramidalis,Globigerinoides quadrilobatus,Globigerinoides ruber (pink),Globigerinoides ruber (white),Globigerinoides sacculifer,Globigerinoides seigliei,Globigerinoides sicanus,Globigerinoides subquadratus,Globigerinoides tenellus,Globigerinoides trilobus,Globoconella conoidea,Globoconella conomiozea,Globoconella incognita,Globoconella inflata,Globoconella miozea,Globoconella nana,Globoconella panda,Globoconella praescitula,Globoconella puncticulata,Globoconella sphericomiozea,Globoconella zealandica,Globoquadrina dehiscens,Globoquadrina venezuelana,Globorotalia bermudezi,Globorotalia flexuosa,Globorotalia hirsuta,Globorotalia inflata,Globorotalia lenguaensis,Globorotalia menardii,Globorotalia merotumida,Globorotalia paralenguaensis,Globorotalia plesiotumida,Globorotalia scitula,Globorotalia theyeri,Globorotalia tumida,Globorotalia ungulata,Globorotaloides hexagonus,Globorotaloides suteri,Globorotaloides variabilis,Hastigerina pelagica,Hastigerinopsis riedeli,Hirsutella challengeri,Hirsutella cibaoensis,Hirsutella hirsuta,Hirsutella juanai,Hirsutella margaritae,"Hirsutella scitula (Brady, 1882)",Jenkinsella acrostoma,Jenkinsella bella,Jenkinsella mayeri,Jenkinsella semivera,Jenkinsella siakensis,Menardella archeomenardii,Menardella exilis,Menardella limbata,Menardella menardii,Menardella miocenica,Menardella multicamerata,Menardella pertenuis,Menardella praemenardii,Neogloboquadrina acostaensis,Neogloboquadrina continuosa,Neogloboquadrina dutertrei,Neogloboquadrina humerosa,Neogloboquadrina pachyderma,Orbulina bilobata,Orbulina universa,Praeorbulina circularis,Praeorbulina curva,Praeorbulina glomerosa,Praeorbulina transitoria,Protentella prolixa,Pulleniatina (D),Pulleniatina (S),Pulleniatina finalis,Pulleniatina obliquiloculata,Pulleniatina praecursor,Pulleniatina primalis (dex.),Pulleniatina primalis (sin.),Pulleniatina spectabilis,Sphaeroidinella dehiscens,Sphaeroidinellopsis disjuncta,Sphaeroidinellopsis kochi,Sphaeroidinellopsis paenedehiscens,Sphaeroidinellopsis seminulina,Streptochilus globigerum,Tenuitella anfracta,Tenuitella clemenciae,Tenuitella munda,Truncorotalia cavernula,Truncorotalia crassaformis,Truncorotalia crassula,Truncorotalia tosaensis,Truncorotalia truncatulinoides,Turborotalita cristata,Turborotalita humilis,Zeaglobigerina apertura,Zeaglobigerina brazieri,Zeaglobigerina connecta,Zeaglobigerina decoraperta,Zeaglobigerina druryi,Zeaglobigerina nepenthes,Zeaglobigerina rubescens,Zeaglobigerina woodi,PF Comment,File Data,eodp_id
340-U1395A-11H-CC-PAL-FORAMP,340,U1395,A,11,11-CC,H,CC,PAL,FORAMP,0,0,90.21,90.21,G,D,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,P,,P,,,,,,,,,,,,A,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,F,,,,,,,,,P,,,,,,,,,,,,,,,,,P,P,,,,,,,,,,,,,33a1556f2ca66f63e32f81f8d5f840c0
340-U1395A-12H-CC-PAL-FORAMP,340,U1395,A,12,12-CC,H,CC,PAL,FORAMP,0,0,99.91,99.91,G,A,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,,,,,,P,,,,,P,,,,R,,F,,,,,,,,,,,R,A,F,,,,,,,,,,,,,,,,,,,,,,,,R,,,,R,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,R,,R,,P,,,,,,R,,P,R,,,,,P,,,,,,,,,,,,R,,,,,,,,,,,,,,9576e4ab17040c050295e5a87131a2c2
340-U1395A-13H-CC-PAL-FORAMP,340,U1395,A,13,13-CC,H,CC,PAL,FORAMP,0,0,109.4,109.4,G,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,F,,,,,,R,,,,,,,,,R,,F,,,,,,,,,,,,D,F,,,,,,,,,,,,,,,,,,,,,,,,P,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,P,,,,,,R,,,R,,,,,P,,,,,,,,,,,,R,,,,,,,,,,,,,,f3364b85341ebe7bb826351c9a626665
340-U1395A-14H-CC-PAL-FORAMP,340,U1395,A,14,14-CC,H,CC,PAL,FORAMP,0,0,116.9,116.9,M,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,F,,,,,,,,,,,,,,,F,,R,,,,,,,,,,,,D,F,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,P,,,P,,,,,R,,,,,,,,,,,,R,P,,,,,,,,,,,,,ef92c99f3a1bc9a902ca1a1e81538c13
340-U1395A-15H-CC-PAL-FORAMP,340,U1395,A,15,15-CC,H,CC,PAL,FORAMP,0,0,120.83,120.83,G,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,P,,,,,,P,,,,,,,,,A,,F,,,,,,,,,,,,A,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,F,,,F,,,,,R,,,,,,,,,,P,,R,,,,,,,,,,,,,,ce0336bc96ceb4cfcf33efcec02fa267
340-U1395A-17X-CC-PAL-FORAMP,340,U1395,A,17,17-CC,X,CC,PAL,FORAMP,0,0,126.21,126.21,G,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,P,,,,,,,,,R,,R,,,,,,,,,,,,D,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,R,,,R,,,,,R,,,,,,,,,,P,,R,P,,,,,,,,,,,,,fbe467c802c819684e6ff338b248855e
340-U1395A-18X-CC-PAL-FORAMP,340,U1395,A,18,18-CC,X,CC,PAL,FORAMP,0,0,140.17,140.17,G,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,R,,,,,,P,,,,,,,,,P,,R,,,,,,,,,,,,D,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,6d3d48d1f5986b7fb760196646d760b1
340-U1395A-19X-CC-PAL-FORAMP,340,U1395,A,19,19-CC,X,CC,PAL,FORAMP,0,0,145.24,145.24,P,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84a2be641c3bacfec78c7a20e33aa44c
340-U1395A-20X-CC-PAL-FORAMP,340,U1395,A,20,20-CC,X,CC,PAL,FORAMP,0,0,154.8,154.8,G,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,3cef72703c9d12995d16aba2f5bbb006
340-U1395A-21X-CC-PAL-FORAMP,340,U1395,A,21,21-CC,X,CC,PAL,FORAMP,0,0,165.38,165.38,G,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,F,,,,,,,,,,,,,,,R,,R,,,,,,,,,,,,A,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,P,,,,,,R,,,R,,,,,R,,,,,,,,,,,,R,,,,,,,,,,,,,,ab742700e11df085a1982ba816a2a30a
340-U1395A-22X-CC-PAL-FORAMP,340,U1395,A,22,22-CC,X,CC,PAL,FORAMP,0,0,170.12,170.12,G,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,R,,,,,,,,,,,,,,,R,,R,,,,,,,,,,,,D,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,P,,,P,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,f5af8b0dd6a4eb4973212820e8be09bb
340-U1395A-23X-CC-PAL-FORAMP,340,U1395,A,23,23-CC,X,CC,PAL,FORAMP,0,0,173.9,173.9,G,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,,,,,,,,,R,,,,,,,P,,,,,,,,,,,,,,A,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,R,,,,,,,,,R,,,,,R,,,,,,,,,,,,F,,,,,,,,,,,,,,ee9ddc6991a13d0f01449fb8f870ae7f
340-U1395A-24X-CC-PAL-FORAMP,340,U1395,A,24,24-CC,X,CC,PAL,FORAMP,0,0,183.61,183.61,M,D,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,F,,,,,,,P,,P,,,,,,,,,,,,,,,,,,,,,A,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,R,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,P,,,,,,,,,,,,,,,P,,F,,,,,,,,,,,P,,,36ebda03a48f0b6b971055003c63164f
340-U1395A-25X-CC-PAL-FORAMP,340,U1395,A,25,25-CC,X,CC,PAL,FORAMP,0,0,194.22,194.22,M,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,F,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,P,,,,P,,,,,,,,,P,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,52209960810f3860d2d38a971d2d7608
340-U1395A-26X-CC-PAL-FORAMP,340,U1395,A,26,26-CC,X,CC,PAL,FORAMP,0,0,207.14,207.14,P,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,R,,,,,,,,,,,R,,,,,,,,,,,,,,,,P,,,,P,,,,,,,,,P,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,3cd0755960a43852940bd94bc2653e60
340-U1395A-27X-CC-PAL-FORAMP,340,U1395,A,27,27-CC,X,CC,PAL,FORAMP,0,0,213.48,213.48,P,D,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,P,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,A,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,R,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,4cf912e23cc7d8e0911c0ecbdb2a5d9a
340-U1395A-28X-CC-PAL-FORAMP,340,U1395,A,28,28-CC,X,CC,PAL,FORAMP,0,0,223.2,223.2,P,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,P,,,,,,,,,,,,,,F,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,P,,,,,,,F,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,f4304de09d8695180eab40b3f952f77d
