Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],PF Preservation,PF Group Abundance,Beella digitata,Beella praedigitata,Candeina nitida,Cassigerinella chipolensis,Cassigerinella martinezpicoi,Catapsydrax dissimilis,Catapsydrax parvulus,Catapsydrax stainforthi,Catapsydrax unicavus,Clavatorella bermudezi,Clavatorella nicobarensis,Dentoglobigerina altispira,Dentoglobigerina baroemoenensis,Dentoglobigerina globosa,Dentoglobigerina praedehiscens,Dentoglobigerina venezuelana,Fohsella birnageae,Fohsella fohsi,Fohsella kugleri,Fohsella lobata,Fohsella peripheroacuta,Fohsella peripheroronda,Fohsella praefohsi,Fohsella robusta,Globigerina angulisuturalis,Globigerina angustiumbilicata,Globigerina bulloides,Globigerina ciperoensis,Globigerina eamesi,Globigerina falconensis,Globigerina glutinata,Globigerina praebulloides,Globigerina quinqueloba,Globigerina rubescens,Globigerina umbilicata,Globigerinatella insueta,Globigerinella aequilateralis,Globigerinella calida,Globigerinella obesa,Globigerinella praesiphonifera,Globigerinella pseudobesa,Globigerinita iota,Globigerinoides altiaperturus,Globigerinoides bollii,Globigerinoides bulloideus,Globigerinoides conglobatus,Globigerinoides diminutus,Globigerinoides elongatus,Globigerinoides extremus,Globigerinoides fistulosus,Globigerinoides immaturus,Globigerinoides kennetti,Globigerinoides mitra,Globigerinoides obliquus,Globigerinoides parawoodi,Globigerinoides primordius,Globigerinoides pyramidalis,Globigerinoides quadrilobatus,Globigerinoides ruber (pink),Globigerinoides ruber (white),Globigerinoides sacculifer,Globigerinoides seigliei,Globigerinoides sicanus,Globigerinoides subquadratus,Globigerinoides tenellus,Globigerinoides trilobus,Globoconella conoidea,Globoconella conomiozea,Globoconella incognita,Globoconella inflata,Globoconella miozea,Globoconella nana,Globoconella panda,Globoconella praescitula,Globoconella puncticulata,Globoconella sphericomiozea,Globoconella zealandica,Globoquadrina dehiscens,Globoquadrina venezuelana,Globorotalia bermudezi,Globorotalia flexuosa,Globorotalia hirsuta,Globorotalia inflata,Globorotalia lenguaensis,Globorotalia menardii,Globorotalia merotumida,Globorotalia paralenguaensis,Globorotalia plesiotumida,Globorotalia scitula,Globorotalia theyeri,Globorotalia tumida,Globorotalia ungulata,Globorotaloides hexagonus,Globorotaloides suteri,Globorotaloides variabilis,Hastigerina pelagica,Hastigerinopsis riedeli,Hirsutella challengeri,Hirsutella cibaoensis,Hirsutella hirsuta,Hirsutella juanai,Hirsutella margaritae,"Hirsutella scitula (Brady, 1882)",Jenkinsella acrostoma,Jenkinsella bella,Jenkinsella mayeri,Jenkinsella semivera,Jenkinsella siakensis,Menardella archeomenardii,Menardella exilis,Menardella limbata,Menardella menardii,Menardella miocenica,Menardella multicamerata,Menardella pertenuis,Menardella praemenardii,Neogloboquadrina acostaensis,Neogloboquadrina continuosa,Neogloboquadrina dutertrei,Neogloboquadrina humerosa,Neogloboquadrina pachyderma,Orbulina bilobata,Orbulina universa,Praeorbulina circularis,Praeorbulina curva,Praeorbulina glomerosa,Praeorbulina transitoria,Protentella prolixa,Pulleniatina (D),Pulleniatina (S),Pulleniatina finalis,Pulleniatina obliquiloculata,Pulleniatina praecursor,Pulleniatina primalis (dex.),Pulleniatina primalis (sin.),Pulleniatina spectabilis,Sphaeroidinella dehiscens,Sphaeroidinellopsis disjuncta,Sphaeroidinellopsis kochi,Sphaeroidinellopsis paenedehiscens,Sphaeroidinellopsis seminulina,Streptochilus globigerum,Tenuitella anfracta,Tenuitella clemenciae,Tenuitella munda,Truncorotalia cavernula,Truncorotalia crassaformis,Truncorotalia crassula,Truncorotalia tosaensis,Truncorotalia truncatulinoides,Turborotalita cristata,Turborotalita humilis,Zeaglobigerina apertura,Zeaglobigerina brazieri,Zeaglobigerina connecta,Zeaglobigerina decoraperta,Zeaglobigerina druryi,Zeaglobigerina nepenthes,Zeaglobigerina rubescens,Zeaglobigerina woodi,PF Comment,File Data,eodp_id
340-U1395A-1H-CC-PAL-FORAMP,340,U1395,A,1,1-CC,H,CC,PAL,FORAMP,0,0,3.32,3.32,M,D,,,P,,,,,,,,,,,,,,,,,,,,,,,,P,,,P,,,,,,,R,P,,,,,,P,,R,,,,,,,,,,,,,P,D,D,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,P,,,,,,,,,,,,,,,,,,,,,,,,P,,,F,,,,,,,,,,,,,786aa344ea610d247311e56d55360055
340-U1395A-2H-6-PAL-FORAMP,340,U1395,A,2,2-6,H,6,PAL,FORAMP,0,0,11.71,11.71,M,F,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,P,,,,,,,,,,,,,,,,,,,,,P,A,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,P,,,,,,,,,,,P,,,,,,,,,,,,,,,,F,,,,P,,,,,,,,,P,,,,,,,,,,,,,,,P,,,P,,,,,,,,,,,,,8de46628499a6acc12769009099c18f4
340-U1395A-3H-CC-PAL-FORAMP,340,U1395,A,3,3-CC,H,CC,PAL,FORAMP,0,0,19.89,19.89,P,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,4908592454260a904fb2c5e81f688198
340-U1395A-4H-CC-PAL-FORAMP,340,U1395,A,4,4-CC,H,CC,PAL,FORAMP,0,0,29.93,29.93,G,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,,,F,,,,,,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,P,,,,,,,F,,,P,A,,,,,,,,,P,,,,,P,,,,,,,,,,P,,,F,,,,,,,,,,,,,3f0f7ff101ef25912d0cbc9ab3244ced
340-U1395A-5H-CC-PAL-FORAMP,340,U1395,A,5,5-CC,H,CC,PAL,FORAMP,0,0,39.48,39.48,G,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,F,,,,,,,,,,,,,,A,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,P,,,,,,,,,,,P,,,,,,,,,A,,,,,,,A,,,,F,,,,,,,,,P,,,,,P,,,,,,,,,,P,,,P,,,,,,,,,,,,,06c0c4e90d665e60e37b353965e4d7cc
340-U1395A-6H-CC-PAL-FORAMP,340,U1395,A,6,6-CC,H,CC,PAL,FORAMP,0,0,48.93,48.93,G,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,F,,P,,,,,,,,,,,,A,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,F,,,,P,,,,,,,,,P,,,,,P,,,,,,,,,,P,,P,F,,,,,,,,,,,,,ce7b8aaebc7460c816fb897c1b6abfd5
340-U1395A-7H-CC-PAL-FORAMP,340,U1395,A,7,7-CC,H,CC,PAL,FORAMP,0,0,57.09,57.09,G,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,P,,,,,,,,,,,,A,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,R,,,,,,,F,,,,,,,,,,,,,P,,,,,P,,,,,,,,,,,,F,F,,,,,,,,,,,,,4d47fd755457ffdd6cc79a6f95697d67
340-U1395A-8H-CC-PAL-FORAMP,340,U1395,A,8,8-CC,H,CC,PAL,FORAMP,0,0,62.86,62.86,G,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,P,,,,,,,,,,,,A,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,P,,,,,,,,,,,P,,,,,,,,,P,,,,,,,R,,,,P,,,,,,,,,,,,,,P,,,,,,,,,,,,P,R,,,,,,,,,,,,,fc20f389d945414c1c3c1b117654208d
340-U1395A-9H-CC-PAL-FORAMP,340,U1395,A,9,9-CC,H,CC,PAL,FORAMP,0,0,73.0,73.0,G,D,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,F,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,P,,,,,,,,,,,F,,,,,,,,,R,,,,,,,F,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,R,F,,,,,,,,,,,,,d32b195a7222a3dee410254e85f678da
340-U1395A-10H-CC-PAL-FORAMP,340,U1395,A,10,10-CC,H,CC,PAL,FORAMP,0,0,80.45,80.45,M,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2d039b230de066a81e7dee4ad58d3957
