Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Pteropod group abundance,Pteropod comment,PF preservation,PF group abundance,Globigerina bulloides,Globigerinoides ruber (white),Globigerinoides ruber (pink),Globigerinoides sacculifer,Globigerinoides trilobus,Globorotalia inflata,Globorotalia hirsuta (dex),Globorotalia hirsuta (sin),Globorotalia crassaformis s.l. (dex),Globorotalia crassaformis s.l. (sin),Globorotalia truncatulinoides (dex),Globorotalia truncatulinoides (sin),Beella digitata,Dentoglobigerina altispira,Globigerina apertura,Globigerina calida,Globigerina decoraperta,Globigerina falconensis,Globigerina nepenthes,Globigerinella siphonifera,Globigerinita glutinata,Globigerinoides conglobatus,Globigerinoides extremus,Globorotalia cf. crassula,Globorotalia margaritae,Globorotalia menardii (dex),Globorotalia menardii (sin),Globorotalia miocenica,Globorotalia miotumida,Globorotalia multicamerata,Globorotalia puncticulata,Globorotalia scitula (dex),Globorotalia scitula (sin),Globoturborotalita rubescens,Globoturborotalita tenella,Neogloboquadrina atlantica (dex),Neogloboquadrina atlantica (sin),Neogloboquadrina dutertrei,Neogloboquadrina pachyderma (dex),Neogloboquadrina pachyderma (sin),Orbulina universa,Pulleniatina obliquiloculata,Sphaeroidinella dehiscens,Sphaeroidinellopsis seminulina,Sphaeroidinellopsis subdehiscens,Turborotalita humilis,Turborotalita iota,Turborotalita quinqueloba,Comment,File Data,,eodp_id
339-U1390A-1H-CC-PAL-FORAM,339,U1390,A,1,1-CC,H,CC,PAL,FORAM,0,5,3.58,3.63,,,G,D,P,A,P,F,A,P,,P,P,P,R,R,P,,,P,,,,R,,P,,,,,,,,,,,,,P,,,P,P,,,,,,,,,,Holocene,,,063b618ff75f79fd7fd55f49b3b64943
339-U1390A-2H-CC-PAL-FORAM,339,U1390,A,2,2-CC,H,CC,PAL,FORAM,0,5,13.4,13.45,C,,VG,A,A,A,,,,A,,,,,,,,,,,,F,,,R,,,,,,,,,,,P,,,,,,,A,,,,,,,,,R,,,,44be319d84f308ed17ede29a9be90a1b
339-U1390A-3H-CC-PAL-FORAM,339,U1390,A,3,3-CC,H,CC,PAL,FORAM,0,5,22.88,22.93,,,G,A,D,P,,,,A,,,,P,R,,,,,P,,,,R,F,,,,,,,,,,,P,P,,,,,,A,P,R,,,,,,,,,,,1908363cdf5da11fcd546acd40e0e5e5
339-U1390A-4H-CC-PAL-FORAM,339,U1390,A,4,4-CC,H,CC,PAL,FORAM,0,5,32.25,32.3,,,G,A,D,B,,,,B,,,,,,,,,,,,,,,F,,,,,,,,,,,P,,,,,,,A,R,P,,,,,,,F,,,,14068dc21d1a7f0e6b74de7696635f26
339-U1390A-5H-CC-PAL-FORAM,339,U1390,A,5,5-CC,H,CC,PAL,FORAM,0,5,41.09,41.14,R,,G,A,A,,,,,A,,,,,,,,,,,,,,,F,,,,,,,,,,,R,P,,,,,,F,R,P,,,,,,,,,,,e176ea7f1aacb0b4a060db9293a10729
339-U1390A-6H-CC-PAL-FORAM,339,U1390,A,6,6-CC,H,CC,PAL,FORAM,0,5,50.95,51,R,,G,A,F,R,,,,F,,,,,P,P,,,,,,,,R,R,,,,,,,,,,,R,,,,,,,D,,F,,,,,,,R,,,,8cf2d43001ee0414bf60f9ed3b4835f8
339-U1390A-7H-CC-PAL-FORAM,339,U1390,A,7,7-CC,H,CC,PAL,FORAM,0,5,61.22,61.27,,,G,A,A,R,,,,A,P,,,,P,P,,,,,,,,R,R,,,,,,,,,,,R,,P,,,,,F,D,F,,,,,,,P,,,,dc4376fb6be09ca2e1cf6b3f9f66df61
339-U1390A-8H-CC-PAL-FORAM,339,U1390,A,8,8-CC,H,CC,PAL,FORAM,0,5,70.48,70.53,,,VG,A,A,R,,,,A,,,,,P,,P,,,,,,,P,R,,,,,,,,,,,R,,P,,,,,A,P,,,,,,,,P,,,,270fef7e1a47bb184918c81d36fbdcfb
339-U1390A-9H-CC-PAL-FORAM,339,U1390,A,9,9-CC,H,CC,PAL,FORAM,0,5,76.65,76.7,,,VG,A,D,,,,,P,,,,,P,P,,,P,P,,P,,P,A,,,,P,,,,,,,R,,P,,,,,F,,R,,,,,,,P,,,,8b16503f559d49eac49cfeb0801c8ff5
339-U1390A-10X-CC-PAL-FORAM,339,U1390,A,10,10-CC,X,CC,PAL,FORAM,0,5,84.32,84.37,,,VG,D,D,R,,,,A,,,,,,R,P,,,,,,,R,R,,,,,,,,,,,R,,,,,,,R,,R,,,,,,,,,,,31f18f99a4d550a3b44e1eeb9321cfa4
339-U1390A-11X-CC-PAL-FORAM,339,U1390,A,11,11-CC,X,CC,PAL,FORAM,0,5,92.56,92.61,,,VG,D,D,R,,,,A,,,P,,R,D,,,,P,,,,R,R,,,,,,,,,,,R,,,P,,,,F,P,F,,,,,,,P,,,,e93c040b647260042e078f136058df2e
