Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],BF preservation,BF Group abundance,Agglutinated spp. (indeterminate),Adelosina dubia?,Alabamina spp.,Ammobaculites agglutinans,Ammobaculites spp.,Ammodiscus anguillae,Ammodiscus spp.,Ammodiscus tenuis,Ammolagena clavata,Ammonia beccarii,Ammoscalaria foliacea,Ammoscalaria tenuimargo,Amphicoryna scalaris,Amphicoryna spp.,Amphistegina spp,Angulogerina spp.,Anomalina spp.,Anomalinoides spp.,Articulina cf. tubulosa,Astacolus crepidulus,Astacolus spp.,Asterigerina planorbis,Asterigerinata sp.,Astrononion spp.,Awhea spp.,Bathysiphon filiformis,Bathysiphon spp.,Bigenerina nodosaria,Biloculinella sp.,Bolivina spp.,Bolivina cf. robusta,Bolivinita quadrilatera,Bolivina subaenariensis,Bolivina/Brizalina spp.,Brizalina spp.,Brizalina alata,Brizalina cf. difformis,Brizalina cf. dilatata,Brizalina dilatata,Brizalina earlandi,Brizalina spathulata,Brizalina striatula,Budashevaella multicamerata,Bulimina acanthia,Bulimina aculeata,Bulimina cf. alazanensis,Bulimina elongata,Bulimina gibba,Bulimina marginata,Bulimina spp.,Bulimina striata gr.,Bulimina striata mexicana,Bulimina striata striata,Buliminella elegantissima,BF Comment,File Data
339-U1385A-1H-CC-PAL,339,U1385,A,1,1-CC,H,CC,PAL,0,5,1.39,1.44,G,R,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,F,,P,,,,,,,,,,,P,,,,,
339-U1385A-2H-CC-PAL,339,U1385,A,2,2-CC,H,CC,PAL,0,5,11.3,11.35,G,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,A,,,,,,R,,,,,
339-U1385A-3H-CC-PAL,339,U1385,A,3,3-CC,H,CC,PAL,0,5,20.87,20.92,G,P,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,P,,,,,,R,,,,P,R,,,,,
339-U1385A-4H-CC-PAL,339,U1385,A,4,4-CC,H,CC,PAL,0,5,30.66,30.71,G,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,R,P,,,,,A,,,,,
339-U1385A-5H-CC-PAL,339,U1385,A,5,5-CC,H,CC,PAL,0,5,39.92,39.97,G,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,P,R,,,,,P,,,,,
339-U1385A-6H-CC-PAL,339,U1385,A,6,6-CC,H,CC,PAL,0,5,49.43,49.48,G,R,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,R,,,,,P,,,,,
339-U1385A-7H-CC-PAL,339,U1385,A,7,7-CC,H,CC,PAL,0,6,58.71,58.77,G,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,F,,P,,P,,,,,,,P,,,,,,,,,,,
339-U1385A-8H-CC-PAL,339,U1385,A,8,8-CC,H,CC,PAL,0,6,68.58,68.64,G,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,R,,,,,,,,,
339-U1385A-9H-CC-PAL,339,U1385,A,9,9-CC,H,CC,PAL,0,5,77.78,77.83,G,R,,P,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,R,,R,,,P,,,F,,,,,P,,,,,,P,,,,,
339-U1385A-10H-CC-PAL,339,U1385,A,10,10-CC,H,CC,PAL,0,5,87.73,87.78,G,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,P,,,,,,,,R,,,,,,,,,,
339-U1385A-11H-CC-PAL,339,U1385,A,11,11-CC,H,CC,PAL,0,5,96.78,96.83,G,R,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,R,,,,,,,,,,
339-U1385A-12H-CC-PAL,339,U1385,A,12,12-CC,H,CC,PAL,0,5,106.29,106.34,G,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,R,,,,,,,,,,,A,,,,,
339-U1385A-13H-CC-PAL,339,U1385,A,13,13-CC,H,CC,PAL,0,5,116.07,116.12,G,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,P,,,,,,,,,,,R,,,,,
339-U1385A-14H-CC-PAL,339,U1385,A,14,14-CC,H,CC,PAL,0,5,124.62,124.67,G,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,P,,,,,,,,P,,,,,,,,,,
339-U1385A-15H-CC-PAL,339,U1385,A,15,15-CC,H,CC,PAL,0,5,133.83,133.88,G,R,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,P,,P,,,,,,,,,,,,,,R,,,,,,
339-U1385A-16H-CC-PAL,339,U1385,A,16,16-CC,H,CC,PAL,0,5,143.75,143.8,G,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,P,,,,,,,,,,,,P,R,,,,,
339-U1385A-17H-CC-PAL,339,U1385,A,17,17-CC,H,CC,PAL,0,5,151.58,151.63,G,R,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,R,,,,,,,,P,,,,,,,,,
