Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name (short),Zone name,Datum name,Preservation,Group abundance,Globigerina bulloides,Globigerina foliata,Globigerina umbilicata,Globigerinita glutinata,Globigerinita iota,Globigerinita uvula,Globorotalia hirsuta,Globorotalia scitula,Neogloboquadrina humerosa,Neogloboquadrina inglei,Neogloboquadrina kagaensis,Neogloboquadrina incompta (dextral),Neogloboquadrina incompta (sinsitral),Neogloboquadrina pachyderma (sinistral),Neogloboquadrina pachyderma (dextral),"Neogloboquadrina pachyderma A (dextral, inflated form)","Neogloboquadrina pachyderma B (sinistral, inflated form)","Neogloboquadrina pachyderma C (sinistral, compressed form)",Orbulina universa,Comments,Ship File Links,Shore File Links,File Data,eodp_id
341-U1417A-1H-CC-PAL,341,U1417,A,1,1-CC,H,CC,PAL,0,5,5.43,5.48,CM1,"N. Pachyderma B partial range zone (Kennett et al., 1990)",,G,D,,,D,R,,,,F,,,,,,D,P,,,,P,Foram rich sediments,,,,cb723daa8f9c3f52d9df9b45181a97db
341-U1417A-2H-CC-PAL,341,U1417,A,2,2-CC,H,CC,PAL,0,5,15.32,15.37,CM1,"N. Pachyderma B partial range zone (Kennett et al., 1990)",,M,A,,,D,F,,,,,,,,,,D,P,,,,,Containing IRD (>710 micro meters),,,,ec1adde8216b10fc563733e34db53e5c
341-U1417A-3H-CC-PAL,341,U1417,A,3,3-CC,H,CC,PAL,0,5,24.62,24.67,CM1,"N. Pachyderma B partial range zone (Kennett et al., 1990)",,P,P,,,A,,,,,,,,,,,D,,,,,,Abundant terrigenous sandy grains with presence of the large IRD (>710 micro meters),,,,8e748bbe5a24e15ff795cc369a697a49
341-U1417A-4H-CC-PAL,341,U1417,A,4,4-CC,H,CC,PAL,0,4,34.54,34.58,CM1,"N. Pachyderma B partial range zone (Kennett et al., 1990)",,M,R,,,A,,,,,,,,,,,D,R,,,,,Abundant terrigenous sandy grains with presence of the large IRD (>710 micro meters),,,,9c92dcaa28e7836531bd5f07fb554751
341-U1417A-5H-CC-PAL,341,U1417,A,5,5-CC,H,CC,PAL,0,5,42.19,42.24,CM1,"N. Pachyderma B partial range zone (Kennett et al., 1990)",,M,F,,,D,P,,,,,,,,,,D,R,,,,,Abundant terrigenous sandy grains with presence of the large IRD (>710 micro meters). Prominent fragmentation of foraminifer shells.,,,,b409df65d739ce20711233d535ae928a
341-U1417A-6H-CC-PAL,341,U1417,A,6,6-CC,H,CC,PAL,0,5,44.85,44.9,CM1,"N. Pachyderma B partial range zone (Kennett et al., 1990)",,P,P,,,,,,,,,,,,,,D,,,,,,Abundant terrigenous sandy grains (plagioclase) with presence of the large IRD (>710 micro meters),,,,1809fda203286ce1317d14af5dbaf0c5
341-U1417A-7H-CC-PAL,341,U1417,A,7,7-CC,H,CC,PAL,0,3,54.92,54.95,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,d7895972f1bbb559c12e608663bfa06e
341-U1417A-8H-CC-PAL,341,U1417,A,8,8-CC,H,CC,PAL,0,5,56.86,56.91,CM1,"N. Pachyderma B partial range zone (Kennett et al., 1990)",,M,R,,,A,,,,,,,,,,,D,R,,,,,Abundant terrigenous sandy grains with presence of the large IRD (>710 micro meters),,,,15e72bd7a982ddbc8d936747edb060b3
341-U1417A-9H-CC-PAL,341,U1417,A,9,9-CC,H,CC,PAL,0,5,65.87,65.92,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,7b588440c365a21a0317fa04de3ab98c
341-U1417A-11H-CC-PAL,341,U1417,A,11,11-CC,H,CC,PAL,0,5,83.67,83.72,,,,,B,,,,,,,,,,,,,,,,,,,,Abundant terrigenous sandy grains with presence of the large IRD (>710 micro meters). Prominent fragmentation of foram shells.,,,,a8083a14c2c85c9ee691d8295e362ba6
341-U1417A-12H-CC-PAL,341,U1417,A,12,12-CC,H,CC,PAL,0,5,95.13,95.18,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,f4c731314930b2e5002c477b0dcdb496
341-U1417A-13H-CC-PAL,341,U1417,A,13,13-CC,H,CC,PAL,0,5,104.35,104.4,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,f8434f9b58490c7f545034aa1194251d
341-U1417A-14H-CC-PAL,341,U1417,A,14,14-CC,H,CC,PAL,0,4,113.91,113.95,CM1,"N. Pachyderma B partial range zone (Kennett et al., 1990)",,G,P,,,D,,,,,,,,,,,D,,,,,,Abundant terrigenous sandy grains with presence of the large IRD (>710 micro meters). Brown colored foram. presented.,,,,3e3784c706811d05c0390cd77f10fdae
341-U1417A-15H-CC-PAL,341,U1417,A,15,15-CC,H,CC,PAL,0,4,123.45,123.49,CM1,"N. Pachyderma B partial range zone (Kennett et al., 1990)",,M,R,,,,,,,,,,,,,,D,R,,,,,Abundant terrigenous sandy grains with presence of the large IRD (>710 micro meters). Brown colored foram. presented.,,,,008aaba0446e979b3ea7ead92418d524
341-U1417A-16H-CC-PAL,341,U1417,A,16,16-CC,H,CC,PAL,0,5,133.11,133.16,CM1,"N. Pachyderma B partial range zone (Kennett et al., 1990)",,G,F,,,R,P,,,,,,,,,,D,P,,,,,Abundant terrigenous sandy grains with presence of the large IRD (>710 micro meters). Brown colored foram. presented. Fossils from older age suggest the reworking.,,,,533eedaab8b932fd1c7767faacccc9f2
341-U1417A-17H-7-PAL,341,U1417,A,17,17-7,H,7,PAL,0,5,142.25,142.3,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,3e7adfa43fdfca6bd84e17927d2ed57f
341-U1417A-18H-CC-PAL,341,U1417,A,18,18-CC,H,CC,PAL,0,5,149.37,149.42,,,,,B,,,,,,,,,,,,,,,,,,,,Diatom rich sediments with presence of the IRD (>710micro meters).,,,,2857857d9cf8ec5c91bc2c2fa89cef2b
341-U1417A-19H-CC-PAL,341,U1417,A,19,19-CC,H,CC,PAL,0,5,157.32,157.37,,,,,B,,,,,,,,,,,,,,D,,,,,,Pebble size IRD grains,,,,5c2646dd42575b066c0cae442686821b
341-U1417A-20H-CC-PAL,341,U1417,A,20,20-CC,H,CC,PAL,0,5,158.4,158.45,,,,,B,,,,,,,,,,,,,,,,,,,,Abundant terrigenous sandy grains with presence of the large IRD (>710 micro meters). Brown colored foram. presented.,,,,39354504dc3de3039f16da725830ef9f
