Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],BF preservation,BF Group abundance,Agglutinated spp. (indeterminate),Adelosina dubia?,Alabamina spp.,Ammobaculites agglutinans,Ammobaculites spp.,Ammodiscus anguillae,Ammodiscus spp.,Ammodiscus tenuis,Ammolagena clavata,Ammonia beccarii,Ammoscalaria foliacea,Ammoscalaria tenuimargo,Amphicoryna scalaris,Amphicoryna spp.,Amphistegina spp,Angulogerina spp.,Anomalina spp.,Anomalinoides spp.,Articulina cf. tubulosa,Astacolus crepidulus,Astacolus spp.,Asterigerina planorbis,Asterigerinata sp.,Astrononion spp.,Awhea spp.,Bathysiphon filiformis,Bathysiphon spp.,Bigenerina nodosaria,Biloculinella sp.,Bolivina spp.,Bolivina cf. robusta,Bolivinita quadrilatera,Bolivina subaenariensis,Bolivina/Brizalina spp.,Brizalina spp.,Brizalina alata,Brizalina cf. difformis,Brizalina cf. dilatata,Brizalina dilatata,Brizalina earlandi,Brizalina spathulata,Brizalina striatula,Budashevaella multicamerata,Bulimina acanthia,Bulimina aculeata,Bulimina cf. alazanensis,Bulimina elongata,Bulimina gibba,Bulimina marginata,Bulimina spp.,Bulimina striata gr.,Bulimina striata mexicana,Bulimina striata striata,Buliminella elegantissima,BF comment,File data,eodp_id
339-U1389A-1H-CC-PAL-FORAM,339,U1389,A,1,1-CC,H,CC,PAL,FORAM,0,5,4.25,4.3,G,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,F,,,,F,,P,P,,,,R,,,,,,R,,,,,,6864b0b769650747c8fa7beab2854029
339-U1389A-2H-CC-PAL-FORAM,339,U1389,A,2,2-CC,H,CC,PAL,FORAM,0,5,14.13,14.18,G,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,R,,A,,,,,,,R,,,,,P,P,,,P,,,5394aed4a097c4ce8e49652e802df897
339-U1389A-3H-CC-PAL-FORAM,339,U1389,A,3,3-CC,H,CC,PAL,FORAM,0,5,23.66,23.71,G,A,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,P,,P,,R,,A,,,R,,,,R,,,P,,R,,,,,,,8c4b0c05b7cc5cf2256a991abf9901b9
339-U1389A-4H-CC-PAL-FORAM,339,U1389,A,4,4-CC,H,CC,PAL,FORAM,0,5,33.34,33.39,G,A,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,R,,R,,R,,,,,,,F,,,R,P,,,,,,,,0bcfa013340ba95dba44a60ca0696a73
339-U1389A-5H-CC-PAL-FORAM,339,U1389,A,5,5-CC,H,CC,PAL,FORAM,0,5,42.99,43.04,M,F,,,,,,,,,,P,,,,,,,,,,,,P,,,,,,,,,,,,P,,,,A,,,R,,,,P,,,,P,,R,,,,,,1aa60f3320468990413c947682f1439e
339-U1389A-6H-CC-PAL-FORAM,339,U1389,A,6,6-CC,H,CC,PAL,FORAM,0,5,52.38,52.43,G,F,,,,,,,,,,,,,P,,,,,,,,,,,,,,,R,,,,F,,,,R,,R,,,P,,,,P,,,,,,,,,,,,a4ca30be37a2650a3b8681b0cb225168
339-U1389A-7H-CC-PAL-FORAM,339,U1389,A,7,7-CC,H,CC,PAL,FORAM,0,5,61.49,61.54,M,R,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,R,,,,A,,,P,,,,,,,,,,,,,,,,166efe735188b7c5a6b28e95a5a526da
339-U1389A-8H-CC-PAL-FORAM,339,U1389,A,8,8-CC,H,CC,PAL,FORAM,0,5,71.33,71.38,G,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,D,,,,,,,F,,,,,,,,,,,,8f3acb8fa93fd6eb2752fc1771550277
339-U1389A-9H-CC-PAL-FORAM,339,U1389,A,9,9-CC,H,CC,PAL,FORAM,0,5,80.95,81,M,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,A,,,P,,,,R,,,,P,,R,,,,,,3466612e101c9f2646585abd19fa17bb
339-U1389A-10H-CC-PAL-FORAM,339,U1389,A,10,10-CC,H,CC,PAL,FORAM,0,5,90.5,90.55,G,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,P,,A,,,,,,,R,,,,,,R,,,,,,55717ed3b56ced9bbdacbe27de7ff50b
