Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name (short),Zone name,Datum name,Preservation,Group Abundance,Amphisphaera coronata s.l.,Amphisphaera goruna,Axoprunum pierinae group,Bekoma bidartensis,Bekoma campechensis,Bekoma divaricata,Buryella clinata,Buryella pentadica,Buryella tetradica,Calocycloma ampulla,Calocycloma castum,Clathrocyclas australis,Dictyoprora mongolfieri,Eusyringium fistuligerum,Eusyringium lagena,"Heliodiscus asteriscus Haeckel, 1887",Lamptonium fabaeforme chaunothorax,Lamptonium fabaeforme constrictum,Lamptonium fabaeforme fabaeforme,Lamptonium pennatum,Lithochytris vespertilio,Lophocyrtis (Cyclampterium) hadra,Lophocyrtis (Lophocyrtis) jacchia,Lophocyrtis aspera,Lophocyrtis biaurita,Lophocyrtis semipolita group,Lychnocanoma amphitrite,Lychnocanoma auxilla,Lychnocanoma bellum,Lychnocanoma conica,Lychnocanoma elongata,Periphaena decora,Periphaena heliasteriscus,Periphaena tripyramis triangula,Peritiviator(?) dumitricai,Phormocyrtis striata exquisita,Phormocyrtis striata praexquisita,Phormocyrtis striata striata,Phormocyrtis turgida,Podocyrtis aphorma,Podocyrtis diamesa,Podocyrtis papalis,Pterocodon (?) ampla,Pterocodon (?) anteclinata,Pterocodon (?) poculum,Rhopalocanium ornatum,Sethochyrtis chrysalli,Sethochytris bablylonis,Sethochytris triconiscus,Spongatractus balbis,Spongatractus pachystylus,Stylotrochus nitidus,Theocorys acroria,Theocorys anaclasta,Theocotyle conica,Theocotyle cryptocephala,Theocotyle nigriniae,Theocotylissa ficus,Thyrsocyrtis hirsuta,Thyrsocyrtis rhizodon,Thyrsocyrtis tensa,Comments,File Data,Ship File Links,Shore File Links,Exp,Site,Hole,Core,Type,Section,A/W
342-U1404A-1H-CC-PAL,0,5,4.67,4.72,,,,,B [A18],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342,U1404,A,1,H,CC,PAL
342-U1404A-2H-CC-PAL,0,5,14.18,14.23,,,,M [P22],R [A18],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342,U1404,A,2,H,CC,PAL
342-U1404A-3H-CC-PAL,0,5,22.33,22.38,,,,M [P22],R [A18],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342,U1404,A,3,H,CC,PAL
342-U1404A-5H-CC-PAL,0,5,40.56,40.61,RN02,RN02 - Stichocorys delmontensis,,G [P22],A [A18],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342,U1404,A,5,H,CC,PAL
342-U1404A-6H-CC-PAL,0,5,49.33,49.38,RN02,RN02 - Stichocorys delmontensis,,G [P22],A [A18],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342,U1404,A,6,H,CC,PAL
342-U1404A-7H-CC-PAL,0,5,59.08,59.13,RN02,RN02 - Stichocorys delmontensis,,G [P22],A [A18],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342,U1404,A,7,H,CC,PAL
342-U1404A-8H-CC-PAL,0,1,71.29,71.3,RN02,RN02 - Stichocorys delmontensis,,G [P22],A [A18],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342,U1404,A,8,H,CC,PAL
342-U1404A-9H-CC-PAL,0,5,81.03,81.08,RN02,RN02 - Stichocorys delmontensis,,G [P22],A [A18],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342,U1404,A,9,H,CC,PAL
342-U1404A-10H-CC-PAL,0,5,90.54,90.59,RN01,RN01 - Cyrtocapsella tetrapera,,G [P22],A [A18],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342,U1404,A,10,H,CC,PAL
342-U1404A-11H-CC-PAL,0,5,96.21,96.26,RN01,RN01 - Cyrtocapsella tetrapera,,G [P22],A [A18],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342,U1404,A,11,H,CC,PAL
342-U1404A-12H-CC-PAL,0,5,106.03,106.08,RN01,RN01 - Cyrtocapsella tetrapera,,G [P22],A [A18],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342,U1404,A,12,H,CC,PAL
342-U1404A-13H-CC-PAL,0,6,115.04,115.1,RN01,RN01 - Cyrtocapsella tetrapera,,G [P22],A [A18],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342,U1404,A,13,H,CC,PAL
342-U1404A-14H-CC-PAL,0,5,124.84,124.89,RN01,RN01 - Cyrtocapsella tetrapera,,G [P22],A [A18],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342,U1404,A,14,H,CC,PAL
342-U1404A-15H-CC-PAL,0,5,134.68,134.73,RP22a,RP22a - Lychnocanoma elongata,,G [P22],C [A18],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342,U1404,A,15,H,CC,PAL
342-U1404A-16H-CC-PAL,0,5,143.97,144.02,RP22a,RP22a - Lychnocanoma elongata,,G [P22],C [A18],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342,U1404,A,16,H,CC,PAL
342-U1404A-17H-CC-PAL,0,5,153.69,153.74,RP21a,RP21a - Dorcadospyris ateuchus,,G [P22],C [A18],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342,U1404,A,17,H,CC,PAL
342-U1404A-18H-CC-PAL,0,5,163.17,163.22,RP21a,RP21a - Dorcadospyris ateuchus,,G [P22],C [A18],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342,U1404,A,18,H,CC,PAL
342-U1404A-19H-3-W 134/135-RADS,0,1,167.04,167.05,RP21a,RP21a - Dorcadospyris ateuchus,,G [P22],A [A18],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342,U1404,A,19,H,3,W
342-U1404A-19H-CC-PAL,0,5,172.74,172.79,RP21a,RP21a - Dorcadospyris ateuchus,,G [P22],C [A18],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342,U1404,A,19,H,CC,PAL
342-U1404A-20H-4-W 64/65-RADS,0,1,177.34,177.35,,,,,B [A18],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342,U1404,A,20,H,4,W
342-U1404A-20H-CC-PAL,0,5,181.96,182.01,,,,,B [A18],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342,U1404,A,20,H,CC,PAL
342-U1404A-21H-CC-PAL,0,5,191.68,191.73,,,,,B [A18],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342,U1404,A,21,H,CC,PAL
342-U1404A-22H-CC-PAL,0,5,194.93,194.98,,,,,B [A18],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342,U1404,A,22,H,CC,PAL
342-U1404A-23H-CC-PAL,0,5,204.32,204.37,,,,P [P22],R [A18],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342,U1404,A,23,H,CC,PAL
342-U1404A-24H-6-PAL,0,5,212.76,212.81,,,,,B [A18],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342,U1404,A,24,H,6,PAL
342-U1404A-25H-CC-PAL,0,5,220.48,220.53,,,,,B [A18],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342,U1404,A,25,H,CC,PAL
342-U1404A-26H-CC-PAL,0,5,228.66,228.71,,,,,B [A18],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342,U1404,A,26,H,CC,PAL
342-U1404A-27H-4-W 50/51-RADS,0,1,233.6,233.61,,,,,B [A18],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342,U1404,A,27,H,4,W
342-U1404A-27H-CC-PAL,0,5,236.45,236.5,,,,,B [A18],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342,U1404,A,27,H,CC,PAL
