Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name (short),Zone name,Datum name,Preservation,Group Abundance,Acrobotrys tritubus,Amphirhopalum ypsilon,Anthocyrtidium angulare,Anthocyrtidium jenghisi,Anthocyrtidium pliocenica,Botryostrobus miralestense,Buccinosphaera invaginata,Calocycletta caepa,Calocycletta cladara,Calocycletta costata,Calocycletta virginis,Carpocanopsis bramlettei,Carpocanopsis cingulata,Carpocanopsis favosa,Collosphaera tuberosa,Cycladophora davisiana,Cyrtocapsella cornuta,Cyrtocapsella japonica,Cyrtocapsella tetrapera,Diartus hughesi,Diartus petterssoni,Dictyocoryne ontongensis,Didymocyrtis avita,Didymocyrtis mammifera,Didymocyrtis penultima,Didymocyrtis prismatica,Didymocyrtis tubaria,Didymocyrtis violina,Dorcadospyris alata,Dorcadospyris dentata,Eucyrtidium diaphanes,Lamprocyrtis neoheteroporos,Lamprocyrtis nigriniae,Liriospyris parkerae,Lithopera neotera,Lithopera renzae,Lithopera thornbergi,Lychnodictyum audax,Phomostichoartus corbula,Phormostichoartus doliolum,Phormostichoartus fistula,Pterocanium prismatium,Pterocorys campanula,Pterocorys hertwigii,Siphostichartus corona,Solenosphaera omnitubus omnitubus,Solenosphaera omnitubus procera,Spongaster berminghami,Spongaster pentas,Spongaster tetras tetras,Stichocorys delmontensis,Stichocorys johnsoni,Stichocorys wolffii,Stylatractus universus,Theocorythium trachelium trachelium,Theocorythium vetulum,Theocyrtis annosa,Comments,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W
359-U1467B-1H-CC-PAL-RADS,0,5,3.41,3.46,,,,P,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1467,B,1,H,CC,PAL
359-U1467B-3H-CC-PAL-RADS,0,5,22.47,22.52,,,,M,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1467,B,3,H,CC,PAL
359-U1467B-5H-CC-PAL-RADS,0,5,41.76,41.81,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1467,B,5,H,CC,PAL
359-U1467B-7H-CC-PAL-RADS,0,5,60.82,60.87,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1467,B,7,H,CC,PAL
359-U1467B-9H-CC-PAL-RADS,0,5,79.45,79.5,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1467,B,9,H,CC,PAL
359-U1467B-11H-CC-PAL-RADS,0,5,97.87,97.92,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1467,B,11,H,CC,PAL
359-U1467B-13H-CC-PAL-RADS,0,5,109.69,109.74,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1467,B,13,H,CC,PAL
359-U1467B-15H-CC-PAL-RADS,0,5,128.55,128.6,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1467,B,15,H,CC,PAL
359-U1467B-17H-CC-PAL-RADS,0,5,147.49,147.54,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1467,B,17,H,CC,PAL
359-U1467B-19H-CC-PAL-RADS,0,5,166.87,166.92,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1467,B,19,H,CC,PAL
359-U1467B-21H-CC-PAL-RADS,0,5,185.66,185.71,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1467,B,21,H,CC,PAL
359-U1467B-22H-CC-PAL-RADS,0,5,195.4,195.45,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1467,B,22,H,CC,PAL
359-U1467B-23H-CC-PAL-RADS,0,5,204.84,204.89,,,,P,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1467,B,23,H,CC,PAL
359-U1467B-24H-CC-PAL-RADS,0,5,214.7,214.75,,,,P,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,U1467,B,24,H,CC,PAL
