Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Group preservation,Group abundance,Comment,Ammoshpaeroidina,Dorothia,Gaudryina,Glomospirella,Marssonella,Spiroplectammina,Spirolectinella,Tritaxia,Pseudogaudryinella,Aragonia,Astacolus,Berthelina,Citharina,Conorboides,Conorbinoides,Conorotalites,Dentalina,Edithaella,Ellipsoglandulina,Frondicularia,Gavelinella,Globorotalites,Globurina,Gyroidinoides,Laevidentalina,Lenticulina,Lingulonodosaria,Marginulinopsis,Nodosaria,Oolina,Oridosalis,Osangularia,Planularia,Pleurostomella,Praebulimina,Psilocitharella,Quadrimorphina,Ramulina,Remesella,Reussoolina,Saracenaria,Sliteria,Tristix,Valvulineria,Vaginulinopsis,eodp_id
324-U1347A-1W-1-A 12/12-PAL,324,U1347,A,1,1-1,W,1,A,12/12-PAL,0,0.0,0.12,0.12,P,,,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,660ed3401352bc7a8982a7be30d18ce9
324-U1347A-2R-1-W 9/9-PAL,324,U1347,A,2,2-1,R,1,W,9/9-PAL,0,0.0,71.085,71.085,P,,,,,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,,,,,,,,f63fb17de808702192e6f8287e659197
324-U1347A-5R-1-W 81/83-FORAM,324,U1347,A,5,5-1,R,1,W,81/83-FORAM,0,2.0,100.61,100.63,,,barren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3504606a4d295c93e97ef47cf1f4b5d8
324-U1347A-6R-1-W 16/18-FORAM,324,U1347,A,6,6-1,R,1,W,16/18-FORAM,0,2.0,109.46,109.48,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,,,,,,,T,,,,,,,,,,,,,09d4f7a3099902fd0cb9981987a7225b
324-U1347A-6R-1-W 34/36-FORAM,324,U1347,A,6,6-1,R,1,W,34/36-FORAM,0,2.0,109.64,109.66,,,barren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d24c14eb933da2b5576ca3820da48f40
324-U1347A-6R-2-W 97/98-FORAM,324,U1347,A,6,6-2,R,2,W,97/98-FORAM,0,1.0,111.13,111.14,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,56c0f6b5755c6fb61428d9f5eb26720e
324-U1347A-7R-4-W 50/52-FORAM,324,U1347,A,7,7-4,R,4,W,50/52-FORAM,0,2.0,122.92,122.94,G,,,,,,,,,,,,,,,,,,,R,,,,,,,,,F,,,,,,,T,,,,,,,,,,,,,c3d61326f92e83fe712b4c8d86deff3a
324-U1347A-7R-CC-PAL,324,U1347,A,7,7-CC,R,CC,PAL,,0,2.0,124.08,124.1,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,,,,,,,,,,,,,,,,,,,,914ee0444d08459db9517bfc3623103d
324-U1347A-8R-1-W 22/25-FORAM,324,U1347,A,8,8-1,R,1,W,22/25-FORAM,0,3.0,128.82,128.85,,,barren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b18a34dc9787b51181376e78ab98ddf8
324-U1347A-8R-2-W 49/51-FORAM,324,U1347,A,8,8-2,R,2,W,49/51-FORAM,0,2.0,130.59,130.61,VG,,,,,,,,,,,,,,,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31de7866e43a232fa351c4b77fa62e97
