Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Unnamed: 14,Preservation,Group abundance,Bolivina sp.,Alabamina dissonata,Alabamina cf. dissonata,Alabamina sp.,Anomalina praeacuta,Anomalina sp.,Anomalinoides semicribratus,Anomalinoides sp.,Arenobulimina ?,Astacolus parallelus,Astacolus sp.,Bathysiphon sp.,Bulbobaculites ?,Bulimina sp.,Bulimina thanetensis,Buliminella sp.,Cancris ?,Cassidulina subglobosa,Chrysalogonium sp.,Cibicidoides subspiratus,Cibicidoides aff. laurisae,Cibicidoides eocaenus,Cibicidoides cf. eocaenus,Cibicidoides cf. havanensis,Cibicidoides grimsdalei,Cibicidoides havanensis,Cibicidoides kullenbergi,Cibicidoides praemundulus,Gaudryina pyramidata,Cibicidoides sp.,Gavelinella sp.,Gavelinella hyphalus,Dentalina sp.,Dorothia trochoides,Eggerella bradyi,Eggerella sp.,Ellipsodimorphina macrocephala,Ellipsodimorphina spp.,Ellipsoidella  sp.,Epistominella sp.,Epistominella umbonifera ?,Eponides regularis,Eponides sp.,Fissurina sp.,Globobulimina sp.,Globobulimina pacifica,Globocassidulina globosa,Glomospira sp.,Guttulina sp.,Gyroidina sp.,Gyroidinoides globosus,Gyroidinoides spp.,Hoeglundina ?,Kalamopsis (?),Karreriella sp.,Laevidentalina sp.,Lagena sp.,Laticarinina pauperata,Lenticulina cf. adenalensis,Lenticulina sp.,Melonis pompilioides,Melonis sp.,Neoeponides procerus,Neoeponides sp.,Neoflabellina sp.,Nuttallides truempyi,Nodosaria aspera,Nodosaria sp.,Nonion spp.,Oridorsalis sp.,Oridorsalis umbonatus,Plectofrondicularia cf. kerni,Plectofrondicularia lirata,Pleurostomella acuta,Paralabamina hillebrandti,Pleurostomella tenuis,Pleurostomella sp.,Polymorphina sp.,Pullenia bulloides,Pleurostomella paleocenica,Pullenia cf. jarvisis,Pullenia quinqueloba,Pyramidulina sp.,Pyrgo sp.,Pyrulina sp.,Quinqueloculina sp.,Saracenaria sp.,Spiroplectammina spectabilis,Spiroloculina depressa,Spiroplectammina sp.,Stilostomella gracillima,Stilostomella lepidula,Stilostomella paleocenica,Stilostomella sp.,Stilostomella subspinosa,Strictocostella scharbergana,Tritaxia sp.,Trochammina sp.,Turrilina sp.,Uvigerina sp.,Uvigerina elongata,Valvulina spinosa?,Others,Comments,File Data,Unnamed: 122,eodp_id
342-U1405A-1H-CC-PAL,342,U1405,A,1,1-CC,H,CC,PAL,,0,5,6.15,6.2,6.2,G [P21],P,,,,P,,,,P,,,,,,,,,,,,,,,,F,,F,F,,,P,,,P,,F,,,,,,,F,,,,,F,,,,,P,,,,F,F,F,,,P,P,,,,,,,,F,,,,,,,,,F,,P,,,P,,,,,,F,,,,,P,,,,,,,,P,,,,a3d1d170ce261c30a4434ded4a410808
342-U1405A-2H-CC-PAL,342,U1405,A,2,2-CC,H,CC,PAL,,0,5,16.1,16.15,16.1,G [P21],P,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,F,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,P,,,,,,,P,F,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,808481143b4107b7bf14087357ce3baf
342-U1405A-3H-CC-PAL,342,U1405,A,3,3-CC,H,CC,PAL,,0,5,25.69,25.74,25.7,,P,,,,,,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32939fdcf25c98eaf962bfc18e56db96
342-U1405A-4H-2-W 100/102-FORAM,342,U1405,A,4,4-2,H,2,W,100/102-FORAM,0,2,27.7,27.72,27.7,G [P21],P,,,,,,,,,,,,,,,,,,A,P,,,,,,,,,,,,,,,,,,,,,,F,,,P,,,,,,,,A,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,F,,,,,,,,,,,,,F,,,,,,,,,,,,564b04d3ad1b6c721285afcd3b8ad8db
342-U1405A-4H-6-W 100/102-FORAM,342,U1405,A,4,4-6,H,6,W,100/102-FORAM,0,2,33.7,33.72,33.7,G [P21],P,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,"few specimens, so all rated present",,,cf8804296df756af062e198e372de46b
342-U1405A-4H-CC-PAL,342,U1405,A,4,4-CC,H,CC,PAL,,0,5,35.26,35.31,35.3,G [P21],P,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,30b4a1074932b3358194922c0bad1c6d
342-U1405A-5H-2-W 110/112-FORAM,342,U1405,A,5,5-2,H,2,W,110/112-FORAM,0,2,37.3,37.32,37.3,VG [P21],P,,,,,,P,,P,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,P,,,,,,,,,P,,,,P,,,,,,,,,"few specimens, so all rated present",,,770ca7040ffeafb54c525bf623cedfa5
342-U1405A-5H-4-W 110/112-FORAM,342,U1405,A,5,5-4,H,4,W,110/112-FORAM,0,2,40.3,40.32,40.3,G [P21],P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,"few specimens, so all rated present",,,604e8e35cd36da44bdaea8c9d8bc383e
342-U1405A-5H-6-W 110/112-FORAM,342,U1405,A,5,5-6,H,6,W,110/112-FORAM,0,2,43.3,43.32,43.3,G [P21],F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,P,,,,,,,,,,"few specimens, so all rated present",,,922f955a66a22ac90e68bf23c3ef36c9
342-U1405A-5H-CC-PAL,342,U1405,A,5,5-CC,H,CC,PAL,,0,5,44.62,44.67,44.6,M [P21],P,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,P,,,,,,,,,,,P,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d542558676700a271bb349aa9487815a
