Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name (short),Zone name,Datum name,Preservation,Group Abundance,Circodiscus (Porodiscus) circularis,Cycladophora nakasekoi,Cycladophora sakaii,Lithelius barbatus,Lychnocanoma parallelipes,Acrobotrys tritubus,Acrosphaera spinosa,Actinomma delicatulum,Actinomma leptodermum,Antarctissa denticulata,Anthocyrtidium angulare,Anthocyrtidium ophirense,Bortyostrobus auritus/australis,Botryostrobus aquilonaris,Botryostrobus miralestense,Calocycletta costata,Calocycletta virginis,Ceratospyris borealis,Cycladophora bicornis,Cycladophora davisiana,Cyrtocapsella cornuta,Cyrtocapsella japonica,Cyrtocapsella tetrapera,Dendrospyris?,Diartus hughesi,Diartus petterssoni,Dictyocoryne ontongensis,Dictyocoryne profunda,Dictyophimus bullatus,Dictyophimus hirundo,Didymocyrtis antepenultima,Didymocyrtis avita,Didymocyrtis laticonus,Didymocyrtis mammifera,Didymocyrtis penultima,Didymocyrtis prismatica,Didymocyrtis tetrathalamus,Didymocyrtis tubaria,Didymocyrtis violina,Dorcadospyris alata,Dorcadospyris ateuchus,Dorcadospyris dentata,Dorcadospyris forcipata,Dorcadospyris simplex,Euchitonia furcata/elegans,Euchitonia triangulatum,Eucyrtidium asanoi,Eucyrtidium calvertense,Eucyrtidium diaphanes,Eucyrtidium inflatum,Eucyrtidium matuyamai,Giraffospyris angulata,Heliodiscus astericus,Hexacontium enthacanthus,Hymeniastrum euclidis,Lamprocyclas junonis,Lamprocyrtis hannai,Lamprocyrtis heteroporos,Lamprocyrtis neoheteroporos,Lamprocyrtis nigriniae,Larcopyle buetschlii,Liriospyris reticulata,Lithelius minor,Lithopera neotera,Lithopera renzae,Lithopera thornbergi,Lychnocanoma nipponica magnacornuta,Lychnocanoma sakaii,Octopyle/Tetrapyle Group,Phomostichoartus corbula,Phormostichoartus doliolum,Phormostichoartus fistula,Porodiscus (?) sp. B,Prunopyle antartica,Pterocanium praetextum,Pterocanium prismatium,Pterocanium sp.,Pterocorys group,Pterocorys minythorax,Siphostichartus corona,Sphaeropyle langii,Sphaeropyle robusta,Spongaster berminghami,Spongaster pentas,Spongaster tetras,Spongopyle osculosa,Spongurus (?) sp.,Spongurus cf. elliptica,Spongurus pylomaticus,Stichocorys armata,Stichocorys delmontensis,Stichocorys diploconus,Stichocorys johnsoni,Stichocorys peregrina,Stichocorys wollfii,Stylacontarium acquilonium,Stylatractus universus,Stylochlamydium asteriscus,Thecosphaera akitaensis,Thecosphaera japonica,Theocorys redondoensis,Theocorythium trachelium,Theocorythium vetulum,Tholospyris scaphipes,Comments,Ship File Links,Shore File Links,File Data,eodp_id
341-U1417C-2H-CC-PAL,341,U1417,C,2,2-CC,H,CC,PAL,0,47,10.56,11.03,B. aquilonaris,Botyrostrobus aquilonaris,,M,R,,,,,,,,R,R,,,,,,,,,R,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,R,,R,,,,,,,,,,,,,,,,,,,,,3295c002f2cd73d0d1115f1f0eb785d4
341-U1417C-3H-CC-PAL,341,U1417,C,3,3-CC,H,CC,PAL,0,13,20.27,20.4,B. aquilonaris,Botyrostrobus aquilonaris,,M,R,,,,,,,,F,F,,,,,,,,,,,R,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,R,,,,,,,,,,,,F,,F,,,,,,,,,F,,R,,,,,,,,,,,,,,,,,,,,,a5f555cd02feb78d4d68b0cf49d8f1e4
341-U1417C-4H-CC-PAL,341,U1417,C,4,4-CC,H,CC,PAL,0,14,27.12,27.26,B. aquilonaris,Botyrostrobus aquilonaris,"LO Lychnocanoma nipponica sakaii (Morley et Nigrini, 1995)",G,A,,,,,,,,F,A,,,,,C,,,,C,,A,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,R,,,,,C,R,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,657b5545830350a2860aa1da47c94b8f
341-U1417C-5H-CC-PAL,341,U1417,C,5,5-CC,H,CC,PAL,0,12,38.39,38.51,B. aquilonaris,Botyrostrobus aquilonaris,,P,R,,,,,,,,,F,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,8e78a716109abdb51379f32e6cd112de
341-U1417C-6H-CC-PAL,341,U1417,C,6,6-CC,H,CC,PAL,0,19,45.68,45.87,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b66db31449dad5a955ca272ff251f78d
341-U1417C-7H-CC-PAL,341,U1417,C,7,7-CC,H,CC,PAL,0,15,56.13,56.28,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03bb7a5dae279c50aa6310ffd5a332cf
341-U1417C-8H-CC-PAL,341,U1417,C,8,8-CC,H,CC,PAL,0,22,65.38,65.6,B. aquilonaris,Botyrostrobus aquilonaris,"LO Stylacontarium acquilonium (Kamikuri et al., 2007)",G,A,,,,,,,,C,A,,,,,,,,,A,,A,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,C,,,,,,F,,,,,,,,R,,,,A,,,,,A,C,,C,,,,,,,A,,,,,,,,,,,,,94e5ac0a6d545bb79ef8043820dd0195
341-U1417C-9H-7-PAL,341,U1417,C,9,9-CC,H,CC,PAL,0,86,75.08,75.94,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e4029781aea492decd8cd9faf26ab164
341-U1417C-10H-CC-PAL,341,U1417,C,10,10-CC,H,CC,PAL,0,28,84.85,85.13,S. universus,Stylatractus universus,"LO Stylatractus universus (Kamikuri et al., 2007)",G,A,,,,,,,,F,C,,,,R,R,,,,A,,A,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,C,,,,,,,,R,,,,F,,,,,F,R,,F,,,,,,,A,R,,,,,,,,,,,,b848dff2a19623818bb2bbc28396149a
341-U1417C-11H-CC-PAL,341,U1417,C,11,11-CC,H,CC,PAL,0,29,94.02,94.31,S. universus,Stylatractus universus,,G,A,,,,,,,,R,F,,,,F,A,,,,C,,A,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,C,,,,,,R,,,,,,,,F,,,,A,,,,,A,F,,A,,,,,,,C,F,,,,,,,R,,,,,16b3ce89ecd20d75cd8dcedda96d09da
