Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Preservation,Group Abundance,Acervulinid taxa,Agglutinates (indeterminant fragments),Ammobaculites sp.,Ammonia beccarii,Ammonia sp.,Ammonia tepida,Amphicoryna spp.,Amphistegina gibbosa,Amphistegina lessonii,Amphistegina radiata,Amphistegina sp.,Astacolus sp.,Asterigerina sp.,Bigenerina sp.,Biloculina sp.,Bolivina spp.,Bolivinita quadrilatera,Bulimina aculeata,Bulimina costata,Bulimina marginata,Bulimina pupoides,Bulimina sp.,Cassidulina sp.,Cassidulina teretis,Chilostomella sp.,Cibicides  bradyi,Cibicides pachyderma,Cibicides refulgens,Cibicides sp.,Cibicides wuellerstorfi,Cibicidoides bradyi,Cibicidoides lobatulus,Cibicidoides mundulus,Cibicidoides pachyderma,Cibicidoides robertsonianus,Cibicidoides spp.,Cibicidoides wuellerstorfi,Cornuspira sp.,Cribrononion kerguelenense,Cribrononion sp.,Cyclorbiculina compressa,Cymbaloporetta sp.,Dentalina advena,Dentalina inornata,Dentalina sp.,Dentalina subemaciata,Dentalina subsoluta,Discorbina sp.,Dorothia exilis,Eggerella sp.,Ehrenbergina sp.,Elphidium excavatum,Eponides repandus,Fissurina marginata,Fissurina orbignyana,Fissurina semimarginata,Fissurina sp.,Fissurina wiesneri,Florilus spp.,Fursenkoina sp.,Gavelinopsis sp.,Globobulimina sp.,Globocassidulina sp.,Globocassidulina subglobosa,Gyroidinoides soldanii,Gyroidinoides spp,Hauerinella inconstans,Heterostegina sp.,Hoeglundina elegans,Karreriella bradyi,Lagena laevis,Lagena sp.,Lagena striata,Laticarinina pauperata,Lenticulina iota,Lenticulina orbicularis,Lenticulina peregrina,Lenticulina spp.,Liebusella soldanii,Lingulina seminuda,Marinittiella sp.,Melonis spp.,Myllostomella costai,Myllostomella huygaensis,Myllostomella spp.?,Nodosaria albatrossi,Nodosaria sp.,Oolina melo,Oolina spp.,Oridorsalis umbonatus,Orthomorphina cf. jedlitschkai,Orthomorphina perversa,Orthomorphina sp.,Osangularia spp.,Parasorites orbitolitoides,Peneroplis sp.,Planctostoma luculenta,Planispirinoides bucculentus,Planulina ariminensis,Planulina sp.,Pleurostomella alternans,Pleurostomella sp.,Proxifrons inaequalis,Pullenia bulloides,Pyrgo comata,Pyrgo depressa,Pyrgo elongata,Pyrgo murrhina,Pyrgo serrata,Pyrgo sp.,Pyrgoella irregularis,Pyrgoella sp.,Pyrulina cylindroides,Quinqueloculina agglutinans,Quinqueloculina bicostata,Quinqueloculina bosciana,Quinqueloculina bradyana,Quinqueloculina candeiana,Quinqueloculina granulocostata,Quinqueloculina seminulum,Quinqueloculina sp.,Rectobolivina sp.,Rectoglandulina sp.,Reophax sp.,Robertina bradyi,Robertina sp. A,Robertinoides spp.,Rupertina stabilis,Sigmavirgulina tortuosa,Sigmoilopsis spp.,Siphonina bradyana,Siphonina sp.,Siphonodosaria cooperensis,Siphonodosaria insecta,Siphonodosaria pomuligera,Siphonodosaria sargrinensis,Siphonodosaria sp.,Siphouvigerina ampullacea,Sphaerogypsina globulus,Sphaeroidina bulloides,Spirillina sp.,Spiroloculina sp.,Stilostomella antillea,Stilostomella fistuca,Stilostomella sp.,Trifarina sp.,Triloculina insignis,Triloculina spp.,Uvigerina auberiana,Uvigerina cf. canariensis,Uvigerina hispida,Uvigerina hollicki,Uvigerina peregrina,Uvigerina peregrina f. parvula,Uvigerina sp.,Vaginulina americana,Vertebralina sp.,Virgulina cf texturata,Vulvulina pennatula,Comment,File Data,eodp_id
340-U1398A-1H-CC-PAL-FORAMB,340,U1398,A,1,1-CC,H,CC,PAL,FORAMB,0,0,2.72,2.72,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27134362bc2d4ad11b63f557e1ed1701
340-U1398A-2H-CC-PAL-FORAMB,340,U1398,A,2,2-CC,H,CC,PAL,FORAMB,0,0,11.46,11.46,G,A,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,R,,,,,P,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,R,,,,,fdc7d8ac71cca67cbbaab46e07234e3b
340-U1398A-3X-CC-PAL-FORAMB,340,U1398,A,3,3-CC,H,CC,PAL,FORAMB,0,0,12.25,12.25,G,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,F,,,,,,,,,,,,P,,R,,P,,,,,,,R,,,P,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a8c07dc6ff609dac143e1a045bef691e
340-U1398A-5H-CC-PAL-FORAMB,340,U1398,A,5,5-CC,H,CC,PAL,FORAMB,0,0,38.73,38.73,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,307455dd8251d1b4a2e11fa94c9cb2ac
340-U1398A-6H-CC-PAL-FORAMB,340,U1398,A,6,6-CC,H,CC,PAL,FORAMB,0,0,45.7,45.7,M,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2ccde2f8f32233c28f930f30f7bcacb8
340-U1398A-7H-CC-PAL-FORAMB,340,U1398,A,7,7-CC,H,CC,PAL,FORAMB,0,0,50.95,50.95,G,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,R,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,bbec8449805d66a65a100abb6c041630
340-U1398A-8H-CC-PAL-FORAMB,340,U1398,A,8,8-CC,H,CC,PAL,FORAMB,0,0,60.4,60.4,VG,D,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,A,,,,R,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,P,,,,,,,,,,,,P,,,,,,,,,,,,,P,F,,F,,,,,P,,,,,P,P,,,,,R,,,,R,,,,,,,,,,,R,,,,,,,,,,,,R,,,,,,,,,1c850a26c85dfea472da2cc302ddcb87
340-U1398A-9H-CC-PAL-FORAMB,340,U1398,A,9,9-CC,H,CC,PAL,FORAMB,0,0,69.15,69.15,P,F,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cdc2a49951f0850089de6bee0c9ea0fa
340-U1398A-10H-CC-PAL-FORAMB,340,U1398,A,10,10-CC,H,CC,PAL,FORAMB,0,0,79.93,79.93,G,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6eef1555e17fe939fb939b7b44b5474c
340-U1398A-11H-CC-PAL-FORAMB,340,U1398,A,11,11-CC,H,CC,PAL,FORAMB,0,0,89.32,89.32,VG,D,,,,,,,,,,,,R,,,,,F,,,,,P,,,,,,,,P,,,,,,,,,,,,,,P,R,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,P,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,R,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,26f3cf83fe859b28854d2449e292d443
