Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],BF preservation,BF Group abundance,Agglutinated spp. (indeterminate),Adelosina dubia?,Alabamina spp.,Ammobaculites agglutinans,Ammobaculites spp.,Ammodiscus anguillae,Ammodiscus spp.,Ammodiscus tenuis,Ammolagena clavata,Ammonia beccarii,Ammoscalaria foliacea,Ammoscalaria tenuimargo,Amphicoryna scalaris,Amphicoryna spp.,Amphistegina spp,Angulogerina spp.,Anomalina spp.,Anomalinoides spp.,Articulina cf. tubulosa,Astacolus crepidulus,Astacolus spp.,Asterigerina planorbis,Asterigerinata sp.,Astrononion spp.,Awhea spp.,Bathysiphon filiformis,Bathysiphon spp.,Bigenerina nodosaria,Biloculinella sp.,Bolivina spp.,Bolivina cf. robusta,Bolivinita quadrilatera,Bolivina subaenariensis,Bolivina/Brizalina spp.,Brizalina spp.,Brizalina alata,Brizalina cf. difformis,Brizalina cf. dilatata,Brizalina dilatata,Brizalina earlandi,Brizalina spathulata,Brizalina striatula,Budashevaella multicamerata,Bulimina acanthia,Bulimina aculeata,Bulimina cf. alazanensis,Bulimina elongata,Bulimina gibba,Bulimina marginata,Bulimina spp.,Bulimina striata gr.,Bulimina striata mexicana,Bulimina striata striata,Buliminella elegantissima,BF Comment,File Data
339-U1388B-2X-CC-PAL-FORAM,339,U1388,B,2,2-CC,X,CC,PAL,FORAM,0,3,7.7,7.73,G,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,P,,,,,,P,,P,,,,P,,,,,
339-U1388B-3X-CC-PAL-FORAM,339,U1388,B,3,3-CC,X,CC,PAL,FORAM,0,3,17.7,17.73,M,F,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,P,,,,,,,,,,,
339-U1388B-4X-CC-PAL-FORAM,339,U1388,B,4,4-CC,X,CC,PAL,FORAM,0,5,28.95,29,P,R,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,
339-U1388B-5X-CC-PAL-FORAM,339,U1388,B,5,5-CC,X,CC,PAL,FORAM,0,5,36.45,36.5,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339-U1388B-6X-CC-PAL-FORAM,339,U1388,B,6,6-CC,X,CC,PAL,FORAM,0,5,47.42,47.47,M-P,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,
339-U1388B-7X-CC-PAL-FORAM,339,U1388,B,7,7-CC,X,CC,PAL,FORAM,0,5,56.09,56.14,P,R,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339-U1388B-8X-CC-PAL-FORAM,339,U1388,B,8,8-CC,X,CC,PAL,FORAM,0,10,63.3,63.4,M-P,R,,,,,,,,,,R,,,,,,,,,,,,P,,,,,,,,,,,,R,,,,,,,,,,,,,P,,,,,,,,,
339-U1388B-9X-CC-PAL-FORAM,339,U1388,B,9,9-CC,X,CC,PAL,FORAM,0,5,74.13,74.18,M-P,R,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,R,,,,,,,,,
339-U1388B-10X-CC-PAL-FORAM,339,U1388,B,10,10-CC,X,CC,PAL,FORAM,0,5,85.87,85.92,G,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,R,,P,,,R,,,,,,R,,,,,,R,,,R,,
339-U1388B-11X-1-PAL-FORAM,339,U1388,B,11,11-1,X,1,PAL,FORAM,0,5,92.01,92.06,M,R,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,P,,P,,,,P,,,,,
