Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name (short),Zone name,Datum name,Preservation,Group abundance,Globigerina bulloides,Globigerina foliata,Globigerina umbilicata,Globigerinita glutinata,Globigerinita iota,Globigerinita uvula,Globorotalia hirsuta,Globorotalia scitula,Neogloboquadrina humerosa,Neogloboquadrina inglei,Neogloboquadrina kagaensis,Neogloboquadrina incompta (dextral),Neogloboquadrina incompta (sinsitral),Neogloboquadrina pachyderma (sinistral),Neogloboquadrina pachyderma (dextral),"Neogloboquadrina pachyderma A (dextral, inflated form)","Neogloboquadrina pachyderma B (sinistral, inflated form)","Neogloboquadrina pachyderma C (sinistral, compressed form)",Orbulina universa,Comments,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,eodp_id
341-U1421A-2H-CC-PAL,0,5,16.5,16.55,CM1,"N. Pachyderma B partial range zone (Kennett et al., 1990)",,G [P15],P,A,,A,,,,,,,,,,R,A,R,,R,,,,,,,341,U1421,A,2,H,CC,PAL,c775b0920d17e496088821b4e7c638a2
341-U1421A-3H-CC-PAL,0,5,25.91,25.96,CM1,"N. Pachyderma B partial range zone (Kennett et al., 1990)",,G [P15],P,A,,A,F,,,,,,,,,,A,,,,,,,,,,341,U1421,A,3,H,CC,PAL,fc046797890225dfdf982a215682d8aa
341-U1421A-4H-CC-PAL,0,5,27.25,27.3,CM1,"N. Pachyderma B partial range zone (Kennett et al., 1990)",,G [P15],P,A,,A,,,,,,,,,,R,A,,,,,,,,,,341,U1421,A,4,H,CC,PAL,3b557deaf89ecc5cbd81f11876a3cbff
341-U1421A-5H-CC-PAL,0,5,35.35,35.4,CM1,"N. Pachyderma B partial range zone (Kennett et al., 1990)",,G [P15],P,D,,D,,,,,,,,,,,A,,,,,,,,,,341,U1421,A,5,H,CC,PAL,d0294961f21c9c4dc5824c7936858ed6
341-U1421A-6H-CC-PAL,0,5,50.82,50.87,CM1,"N. Pachyderma B partial range zone (Kennett et al., 1990)",,G [P15],P,A,,A,,,,,,,,,,,D,,,R,,,brown benthic foraminifers,,,,341,U1421,A,6,H,CC,PAL,d47241cebc17ad5a5979fc476040a90b
341-U1421A-7H-CC-PAL,0,5,60.46,60.51,CM1,"N. Pachyderma B partial range zone (Kennett et al., 1990)",,G [P15],P,R,,R,F,,P,,,,,,,P,D,P,,R,,,,,,,341,U1421,A,7,H,CC,PAL,1f4bbf0517422c0dbce6dd7f55aab4b6
341-U1421A-8H-CC-PAL,0,7,65.47,65.54,CM1,"N. Pachyderma B partial range zone (Kennett et al., 1990)",,G [P15],P,D,,D,,,,,,,,,,,D,,,,,,brown forams,,,,341,U1421,A,8,H,CC,PAL,b9af6e5e1b5b135629e54c97a5658bdd
341-U1421A-9H-CC-PAL,0,5,70.25,70.3,CM1,"N. Pachyderma B partial range zone (Kennett et al., 1990)",,G [P15],P,D,,D,,,,,,,,,,,D,,,R,,,,,,,341,U1421,A,9,H,CC,PAL,31ac1a5cce425cef5061739adfd18277
341-U1421A-10H-CC-PAL,0,5,70.82,70.87,CM1,"N. Pachyderma B partial range zone (Kennett et al., 1990)",,G [P15],P,D,,D,,,,,,,,,,,D,,,,,,,,,,341,U1421,A,10,H,CC,PAL,55810e0fe08e509d27e4e87a974139f9
341-U1421A-11H-CC-PAL,0,5,75.69,75.74,CM1,"N. Pachyderma B partial range zone (Kennett et al., 1990)",,G [P15],P,D,,D,,,,,,,,,,,,,,,,,,,,,341,U1421,A,11,H,CC,PAL,ee9e31975937cb12ca8545013c02a33a
341-U1421A-13H-CC-PAL,0,5,83.31,83.36,CM1,"N. Pachyderma B partial range zone (Kennett et al., 1990)",,G [P15],P,D,,D,,,,,,,,,,,D,,,,,,,,,,341,U1421,A,13,H,CC,PAL,d638170da8149b050527268cf121d542
341-U1421A-15H-CC-PAL,0,5,87.32,87.37,CM1,"N. Pachyderma B partial range zone (Kennett et al., 1990)",,G [P15],P,D,,D,,,,,,,,,,,D,,,,,,,,,,341,U1421,A,15,H,CC,PAL,0acb6d7f41eca7cb3184ecf7720c60d7
341-U1421A-17H-CC-PAL,0,5,91.71,91.76,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,341,U1421,A,17,H,CC,PAL,18ee845ab18d5fc960b94c5eb6f7fc51
341-U1421A-19H-cc-PAL,0,5,96.33,96.38,CM1,"N. Pachyderma B partial range zone (Kennett et al., 1990)",,G [P15],P,D,,D,,,,,,,,,,,D,,,,,,,,,,341,U1421,A,19,H,cc,PAL,9b5e0158d79607fdb89981d92d706238
341-U1421A-21X-CC-PAL,0,5,103.18,103.23,,,,,B,,,,P,,,,,,,,,,,,,,,,,,,,341,U1421,A,21,X,CC,PAL,3271ff72ed20ac0c72b6624f510bd5c3
341-U1421A-22X-CC-PAL,0,5,114.65,114.7,CM1,"N. Pachyderma B partial range zone (Kennett et al., 1990)",,M [P15],D,A,,A,,,,,,,,,,,D,R,,P,,,,,,,341,U1421,A,22,X,CC,PAL,81d702575f806a05953a2dedc6e25f5c
341-U1421A-23X-CC-PAL,0,5,122.83,122.88,,,,G [P15],P,D,,,,,,,,,,,,,D,,,,,,,,,,341,U1421,A,23,X,CC,PAL,93e9dc8787ec359994adf6177ea2a70a
341-U1421A-25X-CC-PAL,0,5,142.19,142.24,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,341,U1421,A,25,X,CC,PAL,b0e31c988ed594b3b4b5319d36bb56ae
341-U1421A-27X-CC-PAL,0,5,161.1,161.15,CM1,"N. Pachyderma B partial range zone (Kennett et al., 1990)",,G [P15],P,D,,D,,,,,,,,,,,D,,,,,,,,,,341,U1421,A,27,X,CC,PAL,5d50f4593109a7626f79bdfcf382412a
341-U1421A-29X-CC-PAL,0,5,180.63,180.68,CM1,"N. Pachyderma B partial range zone (Kennett et al., 1990)",,G [P15],P,F,,D,,,,,,,,,,,D,,,,,,,,,,341,U1421,A,29,X,CC,PAL,fe64f60f5ddaed68086714eb9b764805
341-U1421A-31X-CC-PAL,0,5,200.22,200.27,CM1,"N. Pachyderma B partial range zone (Kennett et al., 1990)",,G [P15],P,,,A,,,,,,,,,,,D,,,,,,,,,,341,U1421,A,31,X,CC,PAL,28a45e2c98e235b0ee89a942fc9f5c93
341-U1421A-35X-CC-PAL,0,5,238.75,238.8,CM1,"N. Pachyderma B partial range zone (Kennett et al., 1990)",,G [P15],P,,,,,,,,,,,,,,,,,,,,,,,,341,U1421,A,35,X,CC,PAL,5ad1b55383b7bebef3962b082c315cce
