Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Preservation,Group abundance,Agglutinated,Elongated,Planispiral,Trochospiral,Tapered,Comments,File Data,eodp_id
342-U1403A-18X-1-W 36/38-FORAM,342,U1403,A,18,18-1,X,1,W,36/38-FORAM,0,2,148.36,148.38,M,P,B,P,B,D,R,,,9200474f2eb81f0f4671052a1f36a93c
342-U1403A-20X-1-W 78/80-FORAM,342,U1403,A,20,20-1,X,1,W,78/80-FORAM,0,2,166.48,166.5,G,P,B,B,P,D,P,,,484f53ea1a7b1e2f57a49adbe4609638
342-U1403A-20X-2-W 10/12-FORAM,342,U1403,A,20,20-2,X,2,W,10/12-FORAM,0,2,167.3,167.32,M,P,B,B,B,D,P,,,3a9d3220b16e26bcd47cbb99a61bc275
342-U1403A-20X-3-W 56/58-FORAM,342,U1403,A,20,20-3,X,3,W,56/58-FORAM,0,2,169.26,169.28,G,R,B,B,B,D,P,,,1bd70e2dc8a20e57943d5fe6d857f977
342-U1403A-20X-4-W 78/80-FORAM,342,U1403,A,20,20-4,X,4,W,78/80-FORAM,0,2,170.98,171.0,G,F,B,P,B,D,B,,,fa0ee75f92f0a61ac455063202f71710
342-U1403A-20X-5-W 86/88-FORAM,342,U1403,A,20,20-5,X,5,W,86/88-FORAM,0,2,172.56,172.58,G,F,B,B,B,D,B,,,e9324835adfbd93b49a9291d76e4a5cb
342-U1403A-20X-6-W 75/77-FORAM,342,U1403,A,20,20-6,X,6,W,75/77-FORAM,0,2,173.95,173.97,M,P,P,B,B,D,P,,,0a20077d4c18230427e925b039a67347
342-U1403A-20X-7-W 49/51-FORAM,342,U1403,A,20,20-7,X,7,W,49/51-FORAM,0,2,175.09,175.11,P,P,B,P,B,D,B,,,d1e77a864e7c80c3457759be3c098491
342-U1403A-23X-4-W 120/122-FORAM,342,U1403,A,23,23-4,X,4,W,120/122-FORAM,0,2,200.4,200.42,G,P,P,R,P,D,P,,,23dae8bc4c0a087b1966f1c1a84c7c28
342-U1403A-23X-5-W 65/67-FORAM,342,U1403,A,23,23-5,X,5,W,65/67-FORAM,0,2,201.25,201.27,G,P,P,F,B,D,P,,,4fc1087b48518eac0aadaf98c2823e5c
342-U1403A-23X-6-W 48/48-FORAM,342,U1403,A,23,23-6,X,6,W,48/48-FORAM,0,2,202.58,202.6,G,P,P,F,P,D,P,,,03d9d138ecc0df4793f75c6eb2f917fa
342-U1403A-23X-7-W 15/17-FORAM,342,U1403,A,23,23-7,X,7,W,15/17-FORAM,0,2,203.65,203.67,G,P,B,R,P,D,B,,,a24043b4a63da28b3ee2da05d4e4b0d4
342-U1403A-25X-2-W 89/91-FORAM,342,U1403,A,25,25-2,X,2,W,89/91-FORAM,0,2,212.09,212.11,G,P,P,R,B,D,P,,,afaa8f34b1f3795e3901161ebb1da231
342-U1403A-25X-3-W 72/74-FORAM,342,U1403,A,25,25-3,X,3,W,72/74-FORAM,0,2,213.42,213.44,M,P,P,B,B,D,P,,,ce232f83a16148f19ed2f9ec7c95a3e0
342-U1403A-25X-4-W 50/52-FORAM,342,U1403,A,25,25-4,X,4,W,50/52-FORAM,0,2,214.7,214.72,G,P,P,P,B,D,P,,,1108e0f9014f83cb2187e76e0c880d46
