Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Preservation,Group abundance,Collosphaera tuberosa,Lamaprocyrtis nigriniae,Theocorythium trachelium,Cycladophora davisiana,Amphirhopalum ypsilon,Spongaster tetras tetras,Nephrospyris renila,Acrobotrys disolenia,Stylatractus universus,Lamaprocyrtis neoheteroporos,Anthocyrtidium angulare,Theocorythium vetulum,Lamaprocyrtis heteroporos,Pterocorys minythorax,Pterocanium prismatium,Didymocyrtis avita,Stichocorys pergrina,Anthocyrtidum pliocenica,Phormostichoartus fistula,Lychnodictyum audax,Phormostichoartus doliolum,Spongaster pentas,Didymocyrtis penultima,Solenosphaera omnitubus,Spongaster berminghami,Didymocyrtis antipenultima,Stichocorys johnsoni,Calocycletta caepa,Didymocyrtis tetratharamus,Stichocorys delmontensis,Acrobotrys tritubus,Diartus hughesi,Diartus petterssoni,Didymocyrtis laticonus,Botryostrobus miralestensis,Stichocorys wolffii,Cladococcus abietinus,Stauroxiphos commuinis,Cyrtocapsella japonica,Carpocanopsis cristata,Lithopera neotera,Cyrtocapsella cornuta,Dorcadospyris alata,Cyrtocapsella tetrapera,Lithopera renzae,Calocycletta robusta,Stichocorys armata,Acrocubus octopylus,Didymocyrtis mammifera,Liriospyris parkerae,Eucyrtidium diaphanes,Didymocyrtis violina,Calocycletta costata,Calocycletta virginis,Carpocanopsis bramlettei,Didymocyrtis tubaria,Dorcadospyris forcipata,Dorcadospyris dentata,Liriospyris stauropora,Carpocanopsis cingulata,Lychnocanoma elongata,Didymocyrtis prismatica,Dorcadospyris scambos,Dorcadospyris ateuchus,Dorcadospyris simplex,Dorcadospyris praeforcipata,Calocycletta serrata,Lophocyrtis pegetrum,Theocyrtis annosa,Lophocyrtis leptetrum,Eucyrtidium mitodes,Artophormis gracilis,Didymocyrtis bassanii,Dorcadospyris cyclacantha,Dorcadospyris riedeli,Dorcadospyris papilio,Dorcadospyris circulus,Liriospyris longicornuta,Lychnocanoma apodora,Theocorys puriri,Eucyrtidium plesiodiaphanes,Lithocyclia angusata,Theocyrtis setanios,Theocyrtis perysinos,Tristylospyris triceros,Lophocyrtis milowi,Lophocyrtis oberhaensliae,Lythocyclia crux,Theocyrtis tuberosa,Dorcadospyris quadripes,Dorcadospyris spinosa,Spirocyrtis subtilis,Dorcadospyris pseodopapilio,Centrobotrys gravida,Centrobotris petrushevskayae,Theocyrtis careotuberosa,Dictyoprora  mongolfieri,Thyrsocyrtis triacantha,Lithocyclia ocellus group,Lithocyclia aristotelis group,Calocyclas hispida,Cryptocarpium ornatum,Calocycletta anekathen,Dictyoprora armadillo,Dictyoprora pirum,Lophocyrtis jacchia,Lophocyrtis exitelus,Lophocyrtis hadra,Lychnocanoma amhitrite,Lychnocanoma babylonis,Thyrsocyrtis bromia,Dorcadospyris copelata,Zealithapium mitra,Artophormis barbadensis,Thyrsocyrtis lochites,Thyrsocyrtis tetracantha,Rhopalocanium aff. contiguum,Dorcadospyris omboros,Calocyclas bandyca,Calocyclas turris,Eusyringium fistuligerum,Cyrtocarpium azyx,Thyrsocyrtis rhizodon,Thysocyrtis krooni,Artophormis dominasinensis,Lychnocanoma turgidum,Thysocyrtis perpumila,Thyrsocyrtis orthotenes,Podocyrtis papalis,Thysocyrtis lochites,Spongastractus pachystylus,Anthocyrtoma spp.,Calocycletta ampulla,Zygocircus cimelium,Rhopalocanium ornatum,Dorcadospyris anastasis,Theocotylissa ficus,Dictyophimus craticula,Podocyrtis goetheana,Podocyrtis chalara,Botryocella sp. group,Podocyrtis apeza,Lithochytris vespertilio,Sethochyrtis triconiscus,Podocyrtis mitra,Lophocyrtis biaurita,Podocyrtis trachodes,Pterocodon ampla,Buryella clinata,Zealithapium anoectum,Eusyringium lagena,Podocyrtis fasciolata,Zealithapium plegmacantha,Podocyrtis sinuosa,Podocyrtis helenae,Podocyrtis diamesa,Podocyrtis phyxis,Podocyrtis ampla,Spongastractus balbis,Thyrsocyrtis tensa,Theocotyle venezuelensis,Theocotyle conica,Lamptonium fabaeforme fabaeforme,Theocotyle cryptocephala,Periphaena tripyramis triangula,Theocyrtis orthotenes,Thyrsocyris robusta,Thysocyrtis hirsuta,Lamptonium fabaeforme chaunothorax,Lamptonium fabaeforme constrictum,Theocorys anaclasta,Calocycloma castum,Phormocyrtis stnata striata,Theocotylissa fimbria,Amphicraspedum murrayanum,Dendospyris fragoides,Diploplegma somophum,Giraffospyris lata,Lamptonium pennatum,Lamptonium sanfilippoae,Lithochytris archaea,Lithocyrtis vespertilio,Lychnocanoma auxilla,Phormocyrtis cubensis,Phormocyrtis stnata exquisita,Pterocodon tenellus,Theocotylissa alpha,Thysocyrtis rhizodon,Lychnocanoma pileus,Periphaena delta,Pterocodon anteclinata,Phormocyrtis turgida,eodp_id
321-U1338A-1H-1-W 83/85-RADS65,321,U1338,A,1,1-1,H,1,W,83/85-RADS65,0,0,0.83,0.83,G,A,R,R,,R,R,F,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38c71873246b567b2e74985c9cd7ff62
321-U1338A-1H-CC-PAL,321,U1338,A,1,1-CC,H,CC,PAL,,0,0,2.68,2.68,G,A,R,R,R,R,R,F,,,,,,,,R,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82ad2d12a3a9256369e5aef19a71947c
321-U1338A-2H-2-W 67/69-RADS6,321,U1338,A,2,2-2,H,2,W,67/69-RADS6,0,0,4.87,4.87,M,A,,R,R,R,R,R,,,R,,,,,R,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22fde1194833e1fb7be6dfbba4f7e965
321-U1338A-2H-5-W 110/112-RADS7,321,U1338,A,2,2-5,H,5,W,110/112-RADS7,0,0,9.8,9.8,G,A,,R,R,R,R,F,,,R,,,,,R,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f7309fb5378b169adef702db9f3fc76e
321-U1338A-2H-CC-PAL,321,U1338,A,2,2-CC,H,CC,PAL,,0,0,12.6,12.6,G,A,,,R,R,R,F,,,R,,R,R,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ab202fbbcbae0e3fa0da5ff426792203
321-U1338A-3H-2-W 67/69-CYL35,321,U1338,A,3,3-2,H,2,W,67/69-CYL35,0,0,14.37,14.37,M,A,,,R,,R,F,,,R,,R,R,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3577f33ee77f0b38191d41130b1ad056
321-U1338A-3H-5-W 110/112-CYL38,321,U1338,A,3,3-5,H,5,W,110/112-CYL38,0,0,19.3,19.3,M,A,,,,,R,F,,,R,R,,R,R,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2bc69791953df6a981fd450cad31349a
321-U1338A-3H-CC-PAL,321,U1338,A,3,3-CC,H,CC,PAL,,0,0,22.12,22.12,M,A,,,,,R,F,,,,R,,R,R,,R,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,688ef5845b1cba2928a2075e16c0cff4
321-U1338A-4H-2-W 97/99-RADS12,321,U1338,A,4,4-2,H,2,W,97/99-RADS12,0,0,24.17,24.17,M,A,,,,,R,R,,,,,,R,R,,R,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e59ed91ec3e0f42ae723f2fdec6fa3e0
321-U1338A-4H-4-W 34/36-RADS7,321,U1338,A,4,4-4,H,4,W,34/36-RADS7,0,0,26.54,26.54,M,A,,,,,R,R,,,,,,R,R,,R,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d6b2a1452b92b8176cc38a46b835351f
