Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Technitella sp.,Textularia pseudogramen,Textularia spp.,Textulariella spp.?,Tolypammina vagans,Trifarina angulosa,Trifarina bradyi,Trifarina fornasinii,Trifarina spp.,Triloculina sp. 1,Triloculina spp.,Triloculina tricarinata,Triloculinella obliquinodus,Tritaxa spp.,Tritaxis fusca,Trochammina bellingshauseni,Trochammina earlandi,Trochammina globigeriniformis,Trochammina spp.,Trochammina squammata,Trochamminoides spp.,Uvigerina auberiana,Uvigerina cf. auberiana,Uvigerina cf. hispida,Uvigerina cf. mexicana,Uvigerina cf. proboscidea,Uvigerina bradyana,Uvigerina elongatastriata,Uvigerina hispida,Uvigerina mediterranea,Uvigerina peregrina,Uvigerina spp.,Uvigerinidae indet.,Vaginulina spp.,Vaginulinopsis spp.,Vaginulinidae indet.,Vaginulina subelegans,Valvulineria spp.,Verneuinulla spp.?,Virgulinella spp.,Vulvulina pennatula,Comment,File Data,eodp_id
339-U1387C-2R-CC-PAL-FORAM,339,U1387,C,2,2-CC,R,CC,PAL,FORAM,0,5,299.54,299.59,,,,,,F,,,,,,,,,,,,,,,,P,,,,,,,,R,,R,,,,,,,,,,,,8db65ef436624fc0358ef25864dcd1b1
339-U1387C-3R-CC-PAL-FORAM,339,U1387,C,3,3-CC,R,CC,PAL,FORAM,0,5,308.31,308.36,,,R,,,F,P,,,,,,,,,,,,,,,P,,,,,,,,P,P,R,,,,,,,,,,,,1c71c1f2f96f9fe28643a476766b6606
339-U1387C-5R-CC-PAL-FORAM,339,U1387,C,5,5-CC,R,CC,PAL,FORAM,0,5,327.64,327.69,,,P,,,,,,,,,,,,,,,,,,,,,R,,,,,,,R,D,,,P,,,,,,,,,6a07bd653dae8f6d6367a3e24ae6bd2a
339-U1387C-7R-CC-PAL-FORAM,339,U1387,C,7,7-CC,R,CC,PAL,FORAM,0,5,346,346.05,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,,,,,,,2148eb01af387e13a90fd5a0ef4902d3
339-U1387C-9R-CC-PAL-FORAM,339,U1387,C,9,9-CC,R,CC,PAL,FORAM,0,5,365.2,365.25,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,A,,,,,,,,,,,,01f73f53d2cad5ace6f2feeafae9a3ae
339-U1387C-11R-CC-PAL-FORAM,339,U1387,C,11,11-CC,R,CC,PAL,FORAM,0,5,386.08,386.13,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,P,P,R,,,,,,,,,,,,eadb901513deaf495746fb9ab0022fd9
339-U1387C-13R-CC-PAL-FORAM,339,U1387,C,13,13-CC,R,CC,PAL,FORAM,0,5,404.86,404.91,,,R,,,,,,,,,,,,,,,,,,,F,,,,,,,,R,R,F,,,,,,,P,,,,,748cbefdb439b461634ce135df19c190
339-U1387C-15R-CC-PAL-FORAM,339,U1387,C,15,15-CC,R,CC,PAL,FORAM,0,6,422.92,422.98,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,R,,,,,,,,,,,,d35accd22d384e185faf938cfdcc9233
339-U1387C-17R-CC-PAL-FORAM,339,U1387,C,17,17-CC,R,CC,PAL,FORAM,0,5,436.81,436.86,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,R,,P,,,,,,,,,,,,50d78443c536a4e07886f14ce02ef7ce
339-U1387C-18R-CC-PAL-FORAM,339,U1387,C,18,18-CC,R,CC,PAL,FORAM,0,5,452.57,452.62,,,P,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,90742836b93869d9db72ecb23101ea33
