Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Quadrimorphina spp.,Quinqueloculina aspera,Quinqueloculina intricata,Quinqueloculina seminula,Quinqueloculina spp.,Ramulina spp.,Rectobolivina sp.,Rectuvigerina spp.,Recurvoides spp.,Reophax bilocularis,Reophax pilulifer,Reophax scorpiusus,Reophax spp.,Reophax subfusiformis,Reticulophragmium spp.,Reusella spp.,Rhabdammina abyssorum,Rhabdammina spp.,Rhizammina algaeformis,Rhizammina spp.,Robertinoides spp.,Robertinoides spp.?,Robertina spp.,Rosalia sp.,Rosalina anomala,Rosalina bradyi,Rosalina cf. australis,Rosalina globularis,Rosalina sp.,Rotalia sp.,Rupertina stabilis,Saccammina sphaerica,Saccammina spp.,Saccorhiza ramosa,Sahulia spp.,Saracenaria latiforns,Saracenaria spp.,Sigmoilinita spp.,Sigmoilopsis schlumbergeri,Sigmoilopsis woodi,Siphogenerina dimorpha,Siphogenerina sp.?,Siphonina tubulosa,Siphonodosaria cf. ketienziensis,Siphonodosaria hispidula,Siphonodosaria ketienziensis,Siphonodosaria lepidula,Siphonodosasria lepidula f. huagaensis,Siphonodosaria sp. 1,Siphonodosaria sp. 2,Siphonodosaria spp.,Siphonodosaria subtertenuata,Siphogenerina columellaris,Siphotextularia rolshauseni,Siphogenerina spp.,Siphotextularia sp.,Siphouvigerina ampullacea,Sphaeroidina bulloides,Sphaeroidina spp.,Spirillina spp.,Spiroloculina spp.?,Spirosigmoilina pusilla,Spiloloculina sp.,Spiroloculina excavata,Spiroloculina spp.,Spiroloculina tenui,Spirophtalmidium cf. actuimargo,Spiroplectammina spp.,Spiroplectinella sagittula,Stainforthia spp.,Stilostomella consobrina,Stilostomella fistuca,Stillostomellidae indet.,Siphonodosaria cf. holoserica,Stilostomella holoserica,Stilostomella spp.,Stilostominella spp.,Comment,File Data,eodp_id
339-U1386B-38X-CC-PAL-FORAM,339,U1386,B,38,38-CC,X,CC,PAL,FORAM,0,5,350.3,350.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,R,,,,,,,,,,,,,,,,,,,F,,,,,,,,P,,,P,,,,ad49af195962864907e46c3790a084bb
339-U1386B-39X-CC-PAL-FORAM,339,U1386,B,39,39-CC,X,CC,PAL,FORAM,0,5,359.75,359.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,R,,,,,,,R,,,,,,,,P,,,P,,,,6f5e0a447a89f35509a26ca2680e7644
339-U1386B-40X-CC-PAL-FORAM,339,U1386,B,40,40-CC,X,CC,PAL,FORAM,0,5,369.26,369.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,P,A,,,,,,,,,P,,,,,,,,,,,,,,,R,R,,R,,,,f9d861fbfa7af3c49666b377db244849
339-U1386B-41X-CC-PAL-FORAM,339,U1386,B,41,41-CC,X,CC,PAL,FORAM,0,5,379.29,379.34,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e281f2bacf99ced34d70910af34d8bf5
339-U1386B-42X-CC-PAL-FORAM,339,U1386,B,42,42-CC,X,CC,PAL,FORAM,0,5,388.52,388.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,P,,,,R,,,,,,,,,,,,,,,,,,,R,,,R,,,,,R,,,R,,,,1b36789eae9df5af651ce805958ea818
339-U1386B-43X-CC-PAL-FORAM,339,U1386,B,43,43-CC,X,CC,PAL,FORAM,0,5,398.03,398.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,cc4ab55155ce86e2d4bb251f3ec45136
339-U1386B-45X-CC-PAL-FORAM,339,U1386,B,46,46-CC,X,CC,PAL,FORAM,0,5,407.88,407.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,296c98f04143ec28731446219d21fd26
339-U1386B-46X-CC-PAL-FORAM,339,U1386,B,48,48-CC,X,CC,PAL,FORAM,0,5,423.61,423.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,32db3bd0c91c9dc100d50d26a82d03e0
339-U1386B-49X-CC-PAL-FORAM,339,U1386,B,49,49-CC,X,CC,PAL,FORAM,0,5,451.11,451.16,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,P,,,,R,,P,,,,,,P,,,,,,,,,,,,,,,R,,,R,,,,9c4d2a7572e0c7e8d5d15419b7246f7e
339-U1386B-50X-CC-PAL-FORAM,339,U1386,B,50,50-CC,X,CC,PAL,FORAM,0,5,455.73,455.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,P,F,,,,,,,,R,,,,,,,,,,,,,,,,,F,,,,,0919287f8ebe6d46ece1c4fc4ec917ae
