342-U1408A-2H-2-W 100/102-FORAM,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],,Preservation,Group abundance,Agglutinated,Elongated,Planispiral,Trochospiral,Tapered,Comments,File Data,Sample,eodp_id
342-U1408A-2H-5-W 100/102-FORAM,342,U1408,A,2,2-2,H,2,W,100/102-FORAM,0,2,6.8,6.82,6.81,VG [P21],P,,,,,,,,342-U1408A-2H-2-W 100/102-FORAM,d4e468ad4e07b348eaa49d1f485203ef
342-U1408A-3H-2-W 100/102-FORAM,342,U1408,A,2,2-5,H,5,W,100/102-FORAM,0,2,11.3,11.32,11.31,P [P21],F,,,,,,,,342-U1408A-2H-5-W 100/102-FORAM,cfd565c32d9fe880776f774edf2104f3
342-U1408A-3H-5-W 100/102-FORAM,342,U1408,A,3,3-2,H,2,W,100/102-FORAM,0,2,16.3,16.32,16.31,P [P21],D,,,,,,,,342-U1408A-3H-2-W 100/102-FORAM,25d9a8404923f98efc8e3f1b0239697a
342-U1408A-4H-2-W 100/102-FORAM,342,U1408,A,3,3-5,H,5,W,100/102-FORAM,0,2,20.8,20.82,20.81,P [P21],D,,,,,,,,342-U1408A-3H-5-W 100/102-FORAM,019e4dbd18f02d872b5a75740de828c3
342-U1408A-4H-5-W 50/52-FORAM,342,U1408,A,4,4-2,H,2,W,100/102-FORAM,0,2,25.8,25.82,25.81,P [P21],D,,,,,,,,342-U1408A-4H-2-W 100/102-FORAM,c3eb1ad0f34697c70b165733d310cdb7
342-U1408A-5H-2-W 100/102-FORAM,342,U1408,A,4,4-5,H,5,W,50/52-FORAM,0,2,29.8,29.82,29.81,VG [P21],P,,,,,,,,342-U1408A-4H-5-W 50/52-FORAM,b5097a7e7a79d7d99512c27645bfd520
342-U1408A-5H-5-W 100/102-FORAM,342,U1408,A,5,5-2,H,2,W,100/102-FORAM,0,2,35.3,35.32,35.31,VG [P21],P,,,,,,,,342-U1408A-5H-2-W 100/102-FORAM,4cf39f0511220a67fb56e39f5a17449d
342-U1408A-6H-2-W 100/102-FORAM,342,U1408,A,5,5-5,H,5,W,100/102-FORAM,0,2,39.8,39.82,39.81,VG [P21],R,,,,,,,,342-U1408A-5H-5-W 100/102-FORAM,38b1357f0875a9ff582f7b5a8330a5fa
342-U1408A-6H-5-W 100/102-FORAM,342,U1408,A,6,6-2,H,2,W,100/102-FORAM,0,2,44.8,44.82,44.81,VG [P21],P,,,,,,,,342-U1408A-6H-2-W 100/102-FORAM,78ea102e00bc3fdbadadcf66f863c8e0
342-U1408A-7H-2-W 100/102-FORAM,342,U1408,A,6,6-5,H,5,W,100/102-FORAM,0,2,49.3,49.32,49.31,G [P21],P,,,,,,,,342-U1408A-6H-5-W 100/102-FORAM,c0dd2e34a050133f82b2f5516bd45357
342-U1408A-7H-5-W 100/102-FORAM,342,U1408,A,7,7-2,H,2,W,100/102-FORAM,0,2,54.3,54.32,54.31,VG [P21],F,,,,,,,,342-U1408A-7H-2-W 100/102-FORAM,5de77e5fbf8974be4ea36f4e576413ae
342-U1408A-8H-2-W 100/102-FORAM,342,U1408,A,7,7-5,H,5,W,100/102-FORAM,0,2,58.8,58.82,58.81,VG [P21],F,,,,,,,,342-U1408A-7H-5-W 100/102-FORAM,de75b9e234ce09eee0f2c7b00b2531ae
342-U1408A-8H-5-W 100/102-FORAM,342,U1408,A,8,8-2,H,2,W,100/102-FORAM,0,2,63.8,63.82,63.81,G [P21],R,,,,,,,,342-U1408A-8H-2-W 100/102-FORAM,99217aa68adcd4b8512ea8e66334be50
342-U1408A-9H-2-W 100/102-FORAM,342,U1408,A,8,8-5,H,5,W,100/102-FORAM,0,2,68.3,68.32,68.31,G [P21],R,,,,,,,,342-U1408A-8H-5-W 100/102-FORAM,105876c600c461601eaef17d2e3d5f89
342-U1408A-9H-4-W 100/102-FORAM,342,U1408,A,9,9-2,H,2,W,100/102-FORAM,0,2,73.3,73.32,73.31,G [P21],P,,,,,,,,342-U1408A-9H-2-W 100/102-FORAM,b8096d4dbcdc7df985aa7ee06ef2d5b9
342-U1408A-10H-2-W 100/102-FORAM,342,U1408,A,9,9-4,H,4,W,100/102-FORAM,0,2,76.3,76.32,76.31,VG [P21],R,,,,,,,,342-U1408A-9H-4-W 100/102-FORAM,51175d7853fe96507ad63243397a075d
342-U1408A-10H-5-W 100/102-FORAM,342,U1408,A,10,10-2,H,2,W,100/102-FORAM,0,2,82.8,82.82,82.81,VG [P21],P,,,,,,,,342-U1408A-10H-2-W 100/102-FORAM,f22724edb6cdade89fce9aa68942cecd
342-U1408A-11H-2-W 130/132-FORAM,342,U1408,A,10,10-5,H,5,W,100/102-FORAM,0,2,87.3,87.32,87.31,VG [P21],P,,,,,,,,342-U1408A-10H-5-W 100/102-FORAM,b19fe4e96629e831dad19b8162163fe9
342-U1408A-11H-5-W 100/102-FORAM,342,U1408,A,11,11-2,H,2,W,130/132-FORAM,0,2,92.6,92.62,92.61,G [P21],F,,,,,,,,342-U1408A-11H-2-W 130/132-FORAM,645619ac63a99b49fd363c8106f7d712
342-U1408A-12H-2-W 100/102-FORAM,342,U1408,A,11,11-5,H,5,W,100/102-FORAM,0,2,96.8,96.82,96.81,VG [P21],P,,,,,,,,342-U1408A-11H-5-W 100/102-FORAM,a10a5da3833142e88e41d6d5b6964bdb
342-U1408A-12H-5-W 100/102-FORAM,342,U1408,A,12,12-2,H,2,W,100/102-FORAM,0,2,100.71,100.73,100.72,VG [P21],P,,,,,,,,342-U1408A-12H-2-W 100/102-FORAM,53ad828fb5088e5dbac6f74d35ddc790
342-U1408A-13H-2-W 100/102-FORAM,342,U1408,A,12,12-5,H,5,W,100/102-FORAM,0,2,105.21,105.23,105.22,G [P21],P,,,,,,,,342-U1408A-12H-5-W 100/102-FORAM,e7e6845d349a6116fd41ca8462f3cbca
