Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Technitella sp.,Textularia pseudogramen,Textularia spp.,Textulariella spp.?,Tolypammina vagans,Trifarina angulosa,Trifarina bradyi,Trifarina fornasinii,Trifarina spp.,Triloculina sp. 1,Triloculina spp.,Triloculina tricarinata,Triloculinella obliquinodus,Tritaxa spp.,Tritaxis fusca,Trochammina bellingshauseni,Trochammina earlandi,Trochammina globigeriniformis,Trochammina spp.,Trochammina squammata,Trochamminoides spp.,Uvigerina auberiana,Uvigerina cf. auberiana,Uvigerina cf. hispida,Uvigerina cf. mexicana,Uvigerina cf. proboscidea,Uvigerina bradyana,Uvigerina elongatastriata,Uvigerina hispida,Uvigerina mediterranea,Uvigerina peregrina,Uvigerina spp.,Uvigerinidae indet.,Vaginulina spp.,Vaginulinopsis spp.,Vaginulinidae indet.,Vaginulina subelegans,Valvulineria spp.,Verneuinulla spp.?,Virgulinella spp.,Vulvulina pennatula,Comment,File Data,eodp_id
339-U1391A-1H-CC-PAL-FORAM,339,U1391,A,1,1-CC,H,CC,PAL,FORAM,0,5,4.11,4.16,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,P,,,F,,,,3706f253689ed3bb36b36634c03d088e
339-U1391A-2H-CC-PAL-FORAM,339,U1391,A,2,2-CC,H,CC,PAL,FORAM,0,5,13.8,13.85,,,,,,,,,P,,,,,,,,,,,,,,R,,,,,,,,,R,,,,,,,,,,,,3c7479b19e87f46d103c0bd20d65825d
339-U1391A-4H-CC-PAL-FORAM,339,U1391,A,4,4-CC,H,CC,PAL,FORAM,0,5,32.92,32.97,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,P,,F,,,,,,,,R,,,,68ad32d3dd96310fa27d2799d4bc6f1d
339-U1391A-6H-CC-PAL-FORAM,339,U1391,A,6,6-CC,H,CC,PAL,FORAM,0,5,52.13,52.18,,,,,,,,,,,,,,,,,,,,,,,,,,,D,,,,R,,,,,,,,,P,,,,c663bfcf0a6b04c37eb828af477b8a34
339-U1391A-8H-CC-PAL-FORAM,339,U1391,A,8,8-CC,H,CC,PAL,FORAM,0,5,71.13,71.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,F,R,,,,,,,,,,,,5ee7525587640fbee1264664d8275358
339-U1391A-10H-CC-PAL-FORAM,339,U1391,A,10,10-CC,H,CC,PAL,FORAM,0,8,90.09,90.17,,,,,,P,,,P,,,,,,,,,,,,,,,,,,R,,,P,P,F,,,,,,,,,,,,2650bb92192a9e6e31068731de6ea9fc
339-U1391A-12H-CC-PAL-FORAM,339,U1391,A,12,12-CC,H,CC,PAL,FORAM,0,5,109.12,109.17,,,,R,,P,P,,P,,,,,,,,,,,,,,P,,,,,P,,,P,P,,,,,,,F,,,,,bb2f9661d8a0490f6edde1508a5061dd
339-U1391A-14H-CC-PAL-FORAM,339,U1391,A,14,14-CC,H,CC,PAL,FORAM,0,5,128.14,128.19,,,,,,R,P,,R,,,,,,,,,,,,,,,,,,,,,,P,P,,,,,,P,,R,,,,09436466c5b43000064e1afa1b5061b6
339-U1391A-16H-CC-PAL-FORAM,339,U1391,A,16,16-CC,H,CC,PAL,FORAM,0,5,147.98,148.03,,,,,,P,P,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,P,,,,,,83f988db723eb6efa662a95968416117
339-U1391A-18H-CC-PAL-FORAM,339,U1391,A,18,18-CC,H,CC,PAL,FORAM,0,5,167.17,167.22,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,R,F,,P,,,,,,,,,,c65dae5bd5527f2da78923568dda3a62
