Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Pteropod group abundance,Pteropod comment,PF preservation,PF group abundance,Globigerina bulloides,Globigerinoides ruber (white),Globigerinoides ruber (pink),Globigerinoides sacculifer,Globigerinoides trilobus,Globorotalia inflata,Globorotalia hirsuta (dex),Globorotalia hirsuta (sin),Globorotalia crassaformis s.l. (dex),Globorotalia crassaformis s.l. (sin),Globorotalia truncatulinoides (dex),Globorotalia truncatulinoides (sin),Beella digitata,Dentoglobigerina altispira,Globigerina apertura,Globigerina calida,Globigerina decoraperta,Globigerina falconensis,Globigerina nepenthes,Globigerinella siphonifera,Globigerinita glutinata,Globigerinoides conglobatus,Globigerinoides extremus,Globorotalia cf. crassula,Globorotalia margaritae,Globorotalia menardii (dex),Globorotalia menardii (sin),Globorotalia miocenica,Globorotalia miotumida,Globorotalia multicamerata,Globorotalia puncticulata,Globorotalia scitula (dex),Globorotalia scitula (sin),Globoturborotalita rubescens,Globoturborotalita tenella,Neogloboquadrina atlantica (dex),Neogloboquadrina atlantica (sin),Neogloboquadrina dutertrei,Neogloboquadrina pachyderma (dex),Neogloboquadrina pachyderma (sin),Orbulina universa,Pulleniatina obliquiloculata,Sphaeroidinella dehiscens,Sphaeroidinellopsis seminulina,Sphaeroidinellopsis subdehiscens,Turborotalita humilis,Turborotalita iota,Turborotalita quinqueloba,Comment,File Data,,eodp_id
339-U1385B-1H-CC-PAL-FORAM,339,U1385,B,1,1-CC,H,CC,PAL,FORAM,0,5,6.09,6.14,B,,G,D,D,P,,,,F,,,,,P,P,,,,,,,,P,P,,,,,,,,,,,F,,,,,,,D,F,P,,,,,,,R,lithics (IRD)  present,,,ade6d805a5b4c203c62013845a2fa4f4
339-U1385B-2H-CC-PAL-FORAM,339,U1385,B,2,2-CC,H,CC,PAL,FORAM,0,5,15.96,16.01,B,,G,D,A,P,,,,A,,,,,F,,,,,P,,,,P,P,P,,,,,,,,,,P,,,,,,,F,,F,,,,,,,R,,,,599af6b8f70951906859142b49a70743
339-U1385B-3H-CC-PAL-FORAM,339,U1385,B,3,3-CC,H,CC,PAL,FORAM,0,5,25.39,25.44,B,,G,D,F,R,,,,F,P,,P,,P,,,,,P,,,,P,P,,,,,,,,,,,,P,P,P,,,,,A,F,,,,,,,P,,,,b073ab68df316f61efbf592f6d489c59
339-U1385B-4H-CC-PAL-FORAM,339,U1385,B,4,4-CC,H,CC,PAL,FORAM,0,5,35.07,35.12,B,,M,D,D,P,,,,F,,,P,,P,P,,,,,,P,,P,,,,,,,,,,,,R,,,,,,,A,P,R,,,,,,P,P,,,,5d20b98a46491ebcf5cc18cce77f3c6f
339-U1385B-5H-CC-PAL-FORAM,339,U1385,B,5,5-CC,H,CC,PAL,FORAM,0,5,44.73,44.78,B,,G,D,A,R,,,,F,,,,P,P,P,,,,,,,,P,P,,,,,,,,,,,F,,,,,,P,A,P,A,,,,,,P,P,,,,29a11097faafc1e1b4ffd75411a09ac4
339-U1385B-6H-CC-PAL-FORAM,339,U1385,B,6,6-CC,H,CC,PAL,FORAM,0,5,53.8,53.85,B,,G,D,F,,,,,,,,,,,P,,,,,,F,,,,,,,,,,,,,,,,P,,,,,D,R,R,,,,,,P,R,,,,e21a6197d4fcc7ffe4b0e5663b5d4945
339-U1385B-7H-CC-PAL-FORAM,339,U1385,B,7,7-CC,H,CC,PAL,FORAM,0,5,63.6,63.65,B,,G,D,A,R,,,,A,,,,R,,R,,,,,,P,,P,,,,,,,,,,,,,,,,,,,F,P,R,,,,,,,P,,,,0e12597dfd4c408f5414eed94b80140c
339-U1385B-8H-CC-PAL-FORAM,339,U1385,B,8,8-CC,H,CC,PAL,FORAM,0,5,72.63,72.68,B,,G,D,A,P,,,,A,,,P,P,R,P,,,,P,,,,P,P,,,,,,,,,,,P,,,,,,,A,,,,,,,,,,,,,9133e2c6f0934a2cd949c4db1ab9c40f
339-U1385B-9H-CC-PAL-FORAM,339,U1385,B,9,9-CC,H,CC,PAL,FORAM,0,5,82.08,82.13,B,,M,D,F,,,,,,,,,,,,,,,,,R,,,P,,,,,,,,,,,P,,,,,,,F,D,F,,,,,,,R,,,,6008bb11240f5b5143f8d35449236eb6
339-U1385B-10H-CC-PAL-FORAM,339,U1385,B,10,10-CC,H,CC,PAL,FORAM,0,5,92.11,92.16,B,,G,D,P,P,,,,R,,,,,R,P,,,,,,,,P,P,,,,,,,,,,,P,,,,,,,A,A,R,,,,,,,,,,,98f431444f0da2f9f4c0cbe296d05ae5
