Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Nuttallides truempyi	Indeterminate radiolarians	Globocassidulina subglobosa	Cibicidoides praemundulus	Aragonia aragonensis	Anomalinoides spissiformis	Alabamina dissonata	Spiroplectammina spectabilis	Quadrimorphina profunda	Indeterminate fish bone fragments	Gaudryina laevigata	Anomalinoides semicribratus	Vulvulina spinosa	Stilostomella aculeata	Pullenia quinqueloba	Orthomorphina havanensis	Oridorsalis umbonatus	Indeterminate polymorphinidae	Indeterminate ostracodes	Gyroidinoides altiformis	Eggerella trochoides	Clinapertina complanata	Cibicidoides micrus	Cibicidoides havanensis	Cibicidoides grimsdalei	Bulimina tuxpamensis	Abyssamina quadrata	Abyssamina poagi	Turrilina brevispira	Textularia sp.	Stilostomella subspinosa	Pullenia bulloides	Karreriella chapapotensis	Gyroidinoides globosa	Gaudryina pyramidata	Dorothia pupa	Cibicidoides eocaenus	Bulimina semicostata	Indeterminate sponge spicules	Indeterminate nodosariidae	Cibicidoides sp. 13	Cibicidoides dayi	Rhabdammina abyssorum	Hormosinella ovicula	Spiroplectammina deperdita	Gyroidinoides soldanii	Karreriella chapapotensis monumentensis	Cibicidoides haitensis	Stilostomella gracillima	Adercotryma glomerata	Cibicidoides mexicanus	Comment



  IR	                 	                 	                  	              	192	1185	A	  2	R	 2	  62.00	    252.7200	Sikora   	Benthic Foraminifers                         	R              	M                 	                    	A                         	T                          	                         	                    	T                         	                   	                            	                       	                                 	                   	                           	                 	                      	                    	                        	                     	                             	                        	                        	                    	                       	                   	                       	                       	                    	                   	                	                    	              	                        	                  	                         	                     	                    	             	                     	                    	                             	                          	                   	                 	                     	                    	                          	                      	                                       	                      	                        	                     	                      	latest Eocene - upper P16 to P17; thin section #107

  IR	                 	                 	                  	              	192	1185	A	  2	R	CC	  18.00	    253.2200	Sikora   	Benthic Foraminifers                         	C              	G                 	F                   	A                         	R                          	R                        	                    	T                         	T                  	T                           	                       	T                                	                   	T                          	                 	T                     	                    	                        	R                    	                             	T                       	T                       	                    	T                      	                   	                       	C                      	T                   	T                  	                	T                   	              	                        	R                 	T                        	                     	                    	             	                     	                    	F                            	F                         	                   	                 	                     	                    	                          	T                     	                                       	                      	                        	T                    	T                     	latest Eocene - upper P16 to P17

  IR	                 	                 	                  	              	192	1185	A	  3	R	CC	  13.00	    262.2100	Sikora   	Benthic Foraminifers                         	C              	G                 	F                   	A                         	T                          	F                        	                    	T                         	T                  	R                           	                       	R                                	                   	                           	R                	F                     	                    	                        	F                    	T                            	                        	R                       	T                   	T                      	T                  	                       	C                      	                    	T                  	                	                    	              	                        	                  	                         	                     	                    	T            	                     	                    	F                            	T                         	                   	                 	R                    	T                   	                          	T                     	T                                      	                      	T                       	R                    	                      	latest Eocene - upper P16 to P17

  IR	                 	                 	                  	              	192	1185	A	  4	R	 1	  22.00	    270.0200	Sikora   	Benthic Foraminifers                         	R              	G                 	                    	A                         	R                          	                         	                    	T                         	                   	                            	                       	                                 	                   	                           	                 	                      	                    	                        	                     	                             	                        	                        	                    	                       	                   	                       	                       	                    	                   	                	                    	              	                        	                  	                         	                     	                    	             	                     	                    	                             	                          	                   	                 	                     	                    	                          	                      	                                       	                      	                        	                     	                      	thin section #108
