Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Hedbergella gorbachikae	Blefuscuiana daminiae	Turborotalia cerroazulensis	Globigerinatheka senni	Subbotina hagni	Hastigerina cf. bolivariana	Subbotina frontosa	Pseudohastigerina micra	Globigerinatheka subconglobata micra	Globigerinatheka index	Turborotalia (Globigerina) wilsoni Cole bolivariana	Globigerinatheka subconglobata	Globigerina cryptomphala	Catapsydrax dissimilis	Turborotalia increbescens	Subbotina angiporoides	Globigerina euapertura	Globigerina yeguaensis	Turborotalia ampliapertura	Globigerina tapuriensis	Turborotalia pomeroli	Subbotina eocaena	Globoquadrina tripartita	Subbotina gortanii	Globigerina venezuelana	Comment



  IR	                 	                 	                  	              	192	1185	A	  2	R	 2	  62.00	    252.7200	Sikora   	Planktonic Foraminifers                      	F              	G                 	                       	                     	P                          	                      	               	                           	                  	R                      	                                    	                      	                                                   	                              	                        	                      	                         	                      	F                     	P                     	R                         	                       	                     	                 	                        	P                 	R                      	latest Eocene - upper P16-P17; thin section #107

  IR	                 	                 	                  	              	192	1185	A	  2	R	CC	  18.00	    253.2200	Sikora   	Planktonic Foraminifers                      	F              	M                 	                       	                     	                           	                      	               	                           	                  	                       	                                    	                      	                                                   	                              	                        	                      	P                        	                      	F                     	                      	R                         	                       	P                    	P                	P                       	                  	                       	latest Eocene - upper P16-P17

  IR	                 	                 	                  	              	192	1185	A	  3	R	CC	  13.00	    262.2100	Sikora   	Planktonic Foraminifers                      	R              	P                 	                       	                     	                           	                      	               	                           	                  	                       	                                    	                      	                                                   	                              	                        	R                     	                         	R                     	P                     	                      	P                         	F                      	                     	                 	                        	                  	                       	latest Eocene - upper P16-P17

  IR	                 	                 	                  	              	192	1185	A	  4	R	 1	  22.00	    270.0200	Sikora   	Planktonic Foraminifers                      	T              	P                 	                       	                     	                           	                      	               	                           	                  	                       	                                    	                      	                                                   	                              	                        	                      	                         	                      	P                     	P                     	                          	                       	                     	                 	                        	                  	                       	nearly barren of planktonic species; thin section #108

  IR	                 	                 	                  	              	192	1185	A	  5	R	 1	  21.00	    279.7100	Sikora   	Planktonic Foraminifers                      	R              	P                 	                       	                     	P                          	                      	               	                           	                  	                       	                                    	                      	                                                   	P                             	                        	P                     	                         	                      	P                     	                      	                          	                       	                     	                 	                        	                  	                       	late Eocene - P16?; thin section #109

  IR	                 	                 	                  	              	192	1185	A	  5	R	CC	   9.00	    281.2800	Sikora   	Planktonic Foraminifers                      	T              	M                 	                       	                     	                           	                      	               	                           	                  	                       	                                    	                      	                                                   	                              	R                       	P                     	P                        	P                     	                      	                      	                          	                       	                     	                 	                        	                  	                       	latest Eocene - upper P16-P17

  IR	                 	                 	                  	              	192	1185	A	  6	R	CC	  21.00	    291.2700	Sikora   	Planktonic Foraminifers                      	F              	M                 	                       	                     	                           	D                     	               	                           	                  	                       	                                    	                      	P                                                  	R                             	P                       	P                     	                         	                      	                      	                      	                          	                       	                     	                 	                        	                  	                       	middle Eocene - P10-P13

  IR	                 	                 	                  	              	192	1185	A	  7	R	 1	  89.00	    299.6900	Sikora   	Planktonic Foraminifers                      	C              	P                 	                       	                     	                           	F                     	               	                           	P                 	R                      	P                                   	P                     	                                                   	                              	                        	                      	                         	                      	                      	                      	                          	                       	                     	                 	                        	                  	                       	thin section 111; co-occurrence of index with frontosa and micra indicates P12

  IR	                 	                 	                  	              	192	1185	A	  7	R	CC	  48.00	    301.8200	Sikora   	Planktonic Foraminifers                      	F              	P                 	                       	                     	                           	D                     	P              	P                          	                  	                       	                                    	                      	                                                   	                              	                        	                      	                         	                      	                      	                      	                          	                       	                     	                 	                        	                  	                       	middle Eocene - P10-13

  IR	                 	                 	                  	              	192	1185	A	  8	R	 1	   3.00	    308.4300	Sikora   	Planktonic Foraminifers                      	               	                  	                       	                     	P                          	R                     	               	                           	                  	                       	                                    	                      	                                                   	                              	                        	                      	                         	                      	                      	                      	                          	                       	                     	                 	                        	                  	                       	Thin section #112; base cerroazulensis indicates upper P12; planktonic spp. are frequent but poorly preserved; includes tiny globigerinids

  IR	                 	                 	                  	              	192	1185	A	 10	R	 1	  38.00	    322.9800	Sikora   	Planktonic Foraminifers                      	               	                  	P                      	R                    	                           	                      	               	                           	                  	                       	                                    	                      	                                                   	                              	                        	                      	                         	                      	                      	                      	                          	                       	                     	                 	                        	                  	                       	Thin-section #117; ?gorbachikae to planispira?

