Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Zygrhablithus bijugatus	Sphenolithus moriformis	Reticulofenestra umbilica	Reticulofenestra samodurovii	Reticulofenestra onusta	Neococcolithes dubius	Markalius inversus	Discoaster bifax	Discoaster barbadiensis	Coccolithus pelagicus	Coccolithus formosus	Chiasmolithus solitus	Chiasmolithus expansus	Chiasmolithus altus	Discoaster spp.	Discoaster saipanensis	Cyclicargolithus floridanus	Blackites spinosus	Reticulofenestra daviesii	Reticulofenestra reticulata	Chiasmolithus grandis	Lanternithus minutus	Helicosphaera spp.	Clausicoccus fenestratus	Thoracosphaera spp.	Discoaster tanii	Discoaster deflandrei	Sphenolithus radians	Reticulofenestra bisecta	Chiasmolithus oamaruensis	Isthmolithus recurvus	Pyrocyclus orangensis	Reticulofenestra bisecta filewiczii	Pontosphaera sp.	Reticulofenestra oamaruensis	Bicolumnus ovatus	Pontosphaera multipora	Sphenolithus ciperoensis	Helicosphaera recta	Cyclicargolithus abisectus	Helicosphaera euphratis	Braarudosphaera bigelowii	Helicosphaera compacta	Discoaster variabilis	Calcidiscus macintyrei	Reticulofenestra producta	Calcidiscus leptoporus	Reticulofenestra hesslandii	Reticulofenestra gelida	Reticulofenestra perplexa	Comment



  SR	                 	                 	                  	              	119	 737	B	  3	R	 1	  45.00	    124.6500	Wei      	Nannofossils                                 	R              	P                 	                       	                       	                         	                            	                       	                     	                  	                	                       	R                    	                    	                     	                      	                   	               	                      	                           	                  	                         	                           	                     	                    	                  	                        	                   	                	                     	                    	                        	                         	                     	                     	                                   	                	                            	                 	                      	                        	                   	                          	                       	                         	                      	                     	                      	                         	                      	                           	                       	                         	from 119 SR Chapter 26 Table 3 fold-out back pocket.

  SR	                 	                 	                  	              	119	 737	B	  3	R	 2	  45.00	    126.1500	Wei      	Nannofossils                                 	R              	P                 	                       	                       	                         	                            	                       	                     	                  	                	                       	R                    	                    	                     	                      	                   	               	                      	                           	                  	                         	                           	                     	                    	                  	                        	                   	                	                     	                    	                        	                         	                     	                     	                                   	                	                            	                 	                      	                        	                   	                          	                       	                         	                      	                     	                      	                         	                      	                           	R                      	                         	from 119 SR Chapter 26 Table 3 fold-out back pocket.

  SR	                 	                 	                  	              	119	 737	B	  3	R	 3	  45.00	    127.6500	Wei      	Nannofossils                                 	R              	P                 	                       	                       	                         	                            	                       	                     	                  	                	                       	R                    	                    	                     	                      	                   	               	                      	                           	                  	                         	                           	                     	                    	                  	                        	                   	                	                     	                    	                        	                         	                     	                     	                                   	                	                            	                 	                      	                        	                   	                          	                       	                         	                      	                     	                      	                         	                      	                           	                       	                         	from 119 SR Chapter 26 Table 3 fold-out back pocket.

  SR	Miocene          	                 	                  	              	119	 737	B	  5	R	 1	 122.00	    254.7200	Wei      	Nannofossils                                 	A              	G                 	                       	                       	                         	                            	                       	                     	                  	                	                       	R                    	                    	                     	                      	                   	               	                      	                           	                  	                         	                           	                     	                    	                  	                        	                   	                	                     	                    	                        	                         	                     	                     	                                   	                	                            	                 	                      	                        	                   	                          	                       	                         	                      	                     	                      	                         	                      	                           	A                      	A                        	from 119 SR Chapter 26 Table 3 fold-out back pocket.
