Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Denticulopsis hyalina	Azpeitia endoi/tabularis	Actinocyclus ingens  var. nodus	Actinocyclus ingens	Rhizosolenia praebarboi	Nitzschia grossepunctata	Crucidenticula nicobarica	Stellarima (all generic taxa)	Nitzschia denticuloides	Denticulopsis lauta	Denticulopsis hustedtii	Denticulopsis dimorpha	Triceratium condecorum	Nitzschia sp. 17	Coscinodiscus lewisianus	Thalassiosira yabei	Rhizosolenia miocenica	Denticulopsis praedimorpha	Rhizosolenia barboi	Thalassiosira grunowii	Thalassiosira nativa	Rhizosolenia hebetata	Thalassiosira torokina	Denticulopsis hustedtii var. ovata	Cosmiodiscus intersectus	Actinocyclus fryxellae	Thalassiosira burckliana	Asteromphalus kennettii	Thalassiosira sp.1	Nitzschia praecurta	Comment



  SR	                 	                 	                  	              	119	 737	B	  5	R	 2	  20.00	    255.2000	Baldauf  	Diatoms                                      	A              	G                 	                     	F                       	                               	R                  	                       	                        	                         	                             	                       	                   	A                      	                      	                      	                	                        	                   	                      	                          	                   	                      	F                   	F                    	R                     	                                  	                        	                      	F                       	                       	                  	R                  	from 119 SR Chapter 29 Table 6 page 564.

  SR	                 	                 	                  	              	119	 737	B	  5	R	 4	  20.00	    258.2000	Baldauf  	Diatoms                                      	A              	G                 	                     	R                       	                               	R                  	                       	                        	                         	                             	                       	                   	A                      	                      	                      	                	                        	                   	                      	                          	                   	                      	R                   	R                    	                      	R                                 	                        	                      	C                       	R                      	R                 	                   	from 119 SR Chapter 29 Table 6 page 564.

  SR	                 	                 	                  	              	119	 737	B	  5	R	CC	  11.00	    258.4300	Baldauf  	Diatoms                                      	A              	M                 	                     	F                       	                               	C                  	                       	                        	                         	                             	                       	                   	A                      	R                     	                      	                	                        	                   	                      	                          	R                  	                      	F                   	R                    	                      	R                                 	                        	                      	F                       	R                      	                  	                   	from 119 SR Chapter 29 Table 6 page 564.

  SR	                 	                 	                  	              	119	 737	B	  6	R	 2	  57.00	    265.2700	Baldauf  	Diatoms                                      	A              	G                 	                     	F                       	                               	C                  	R                      	                        	                         	R                            	                       	                   	C                      	C                     	                      	                	                        	F                  	                      	                          	R                  	R                     	C                   	R                    	R                     	R                                 	rC                      	R                     	                        	                       	                  	                   	from 119 SR Chapter 29 Table 6 page 564.

  SR	                 	                 	                  	              	119	 737	B	  6	R	 4	  57.00	    268.2700	Baldauf  	Diatoms                                      	A              	M                 	                     	R                       	                               	C                  	R                      	                        	R                        	R                            	                       	F                  	F                      	A                     	                      	                	                        	R                  	                      	                          	R                  	                      	F                   	R                    	                      	                                  	                        	                      	                        	                       	                  	                   	from 119 SR Chapter 29 Table 6 page 564.

