Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Bacinella irregularis,Textulariid taxa,Vercorsella sp. cf. V. arenata,Miliolid taxa,Debarina sp. cf. D. hahounerensis,Valvulineria ? n. sp. 1,Novalesia producta,Nezzazata sp. C,Istriloculina unspecified taxon,Foraminifers (attached),Bdelloidina sp. cf. B. urgonensis,Glomospira unspecified taxon,Voloshinoides ? sp. D,Verneuilinidae taxa,Vercorsella sp. cf. V. scarsellai,Vercorsella sp. cf. V. immaturata,Foraminifers (planispiral taxa),Ammobaculites celatus,Cuneolina sliteri,Vercorsella sp.,Praechrysalidina sp. cf. P. infracretacea,Orbitolinid taxa,Orbitolina sp.,Tubiphytes sp.,Belorussiella sp.,Arenobulimina cochleata,Cayeuxia sp.,Lituola stogguloides,Orbitolina (Mesorbitolina) texana oculata,Voloshinoides ? sp. C,Nezzazata isabellae,Sabaudia minuta,Pseudonummoloculina aurigerica,Cuneolina parva,Hagenowina sp.,Arenobulimina sp.cf. A.chapmani,Nummoloculina(?) sp.,Cuneolina sp. cf. C. pavonia,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Albian           ,                 ,                  ,              ,144, 878,A,  3,R, 1,  40.00,     19.4000,Arnaud-Vanneau,Benthic Foraminifers                         ,               ,                  ,                     ,                ,A                             ,C            ,                                 ,                       ,                  ,               ,C                              ,                       ,                                 ,                            ,                     ,                   ,                                 ,                                 ,                               ,                     ,F                ,               ,                                         ,                ,              ,              ,                 ,                       ,            ,                    ,                                         ,                     ,R                  ,               ,                              ,               ,              ,                               ,                    ,                            ,from ODP Leg 144 SR; Ch 10; Tables 1 & 4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Albian           ,                 ,                  ,              ,144, 878,A,  4,R, 1,  41.00,     28.9100,Arnaud-Vanneau,Benthic Foraminifers                         ,               ,                  ,                     ,                ,F                             ,             ,                                 ,                       ,                  ,               ,R                              ,                       ,                                 ,                            ,                     ,                   ,C                                ,                                 ,                               ,                     ,                 ,               ,                                         ,                ,              ,              ,                 ,                       ,R           ,                    ,                                         ,                     ,                   ,               ,                              ,F              ,              ,                               ,                    ,                            ,from ODP Leg 144 SR; Ch 10; Tables 1 & 4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Albian           ,                 ,                  ,              ,144, 878,A,  5,R, 1,   4.00,     38.0400,Arnaud-Vanneau,Benthic Foraminifers                         ,               ,                  ,                     ,                ,                              ,A            ,                                 ,                       ,                  ,               ,C                              ,                       ,                                 ,                            ,                     ,                   ,                                 ,                                 ,                               ,                     ,                 ,               ,                                         ,                ,              ,              ,                 ,                       ,            ,                    ,                                         ,                     ,C                  ,               ,                              ,C              ,              ,R                              ,C                   ,R                           ,from ODP Leg 144 SR; Ch 10; Tables 1 & 4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Albian           ,                 ,                  ,              ,144, 878,A,  6,R, 1,   8.00,     47.6800,Arnaud-Vanneau,Benthic Foraminifers                         ,B              ,                  ,                     ,                ,R                             ,             ,                                 ,                       ,                  ,               ,                               ,                       ,                                 ,                            ,                     ,                   ,                                 ,                                 ,                               ,                     ,                 ,               ,                                         ,                ,              ,              ,                 ,                       ,            ,                    ,                                         ,                     ,                   ,               ,                              ,               ,              ,                               ,                    ,                            ,from ODP Leg 144 SR; Ch 10; Tables 1 & 4
