Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Zygrhablithus bijugatus	Sphenolithus moriformis	Sphenolithus intercalaris	Rhabdosphaera tenuis	Reticulofenestra umbilica	Reticulofenestra samodurovii	Reticulofenestra minutula	Pedinocyclus larvalis	Helicosphaera wilcoxonii	Helicosphaera euphratis	Helicosphaera compacta	Discoaster saipanensis	Discoaster barbadiensis	Dictyococcites bisectus	Cyclicargolithus floridanus	Cribrocentrum reticulatum	Coronocyclus nitescens	Coccolithus pelagicus	Coccolithus miopelagicus	Coccolithus formosus	Clausicoccus fenestratus	Chiasmolithus titus	Calcidiscus protoannulus	Bramletteius serraculoides	Braarudosphaera bigelowii	Bicolumnus ovatus	Sphenolithus radians	Rhabdosphaera crebra	Pontosphaera scissura	Pontosphaera ovata	Helicosphaera bramlettei	Discoaster tanii ssp. indet.	Discoaster nodifer	Discoaster deflandrei	Dictyococcites daviesii	Cyclicargolithus luminis	Pyrocyclus hermosus	Isthmolithus recurvus	Helicosphaera reticulata	Chiasmolithus oamaruensis	Braarudosphaera discula	Chiasmolithus grandis	Sphenolithus pseudoradians	Discoaster tanii ornatus	Sphenolithus predistentus	Pemma papillatum	Micrantholithus flos	Micrantholithus aequalis	Sphenolithus predistentus/distentus intergrade	Micrantholithus truncus	Cyclicargolithus abisectus	Chiasmolithus altus	Sphenolithus distentus	Sphenolithus dissimilis	Triquetrorhabdulus carinatus	Sphenolithus ciperoensis	Peritrachelina joidesa	Helicosphaera recta	Pyrocyclus orangensis	Triquetrorhabdulus milowii	Syracosphaera sp.	Sphenolithus sp. cf. S. capricornutus	Helicosphaera perch-nielseniae	Hayaster perplexus	Scyphosphaera spp.	Ilselithina fusa	Sphenolithus belemnos	Helicosphaera carteri	Cryptococcolithus takayamae	Calcidiscus tropicus	Sphenolithus heteromorphus	Reticulofenestra minuta	Discoaster druggii	Umbilicosphaera sibogae	Calcidiscus leptoporus	Discoaster variabilis	Pontosphaera spp.	Calcidiscus premacintyrei	Pontosphaera multipora	Helicosphaera ampliaperta	Geminilithella rotula	Discoaster signus	Solidopons petrae	Rhabdosphaera procera	Pontosphaera discopora	Discoaster musicus	Triquetrorhabdulus rugosus	Reticulofenestra pseudoumbilicus	Helicosphaera walbersdorfensis	Hayella aperta	Discoaster brouweri	Triquetrorhabdulus auritus	Syracosphaera spp.	Holodiscolithus macroporus	Discoaster bollii	Catinaster coalitus	Discoaster pseudovariabilis	Discoaster kugleri	Holodiscolithus solidus	Calcidiscus macintyrei	Sphenolithus abies	Lithostromation perdurum	Discoaster hamatus	Catinaster calyculus	Helicosphaera stalis	Helicosphaera orientalis	Discoaster bellus	Minylitha convallis	Discoaster prepentaradiatus	Discoaster neohamatus	Triquetrorhabdulus extensus	Discoaster pentaradiatus	Discoaster loeblichii	Discoaster quinqueramus	Discoaster bergenii	Discoaster surculus	Scapholithus fossilis	Amaurolithus primus	Reticulofenestra rotaria	Amaurolithus delicatus	Amaurolithus amplificus	Discoaster asymmetricus	Amaurolithus tricorniculatus	Amaurolithus ninae	Comment



  SR	Early Pliocene   	                 	CN10              	              	157	 950	A	 20	X	 6	   5.00	    177.4500	Howe     	Nannofossils                                 	H              	G                 	                       	                       	                         	                    	                         	                            	A                        	                     	                        	S                      	                      	                      	                       	                       	                           	                         	                      	F                    	                        	                    	                        	                   	                        	                          	                         	                 	                    	                    	                     	                  	                        	                            	                  	                     	                       	                        	S                  	                     	                        	                         	                       	                     	                          	                        	                         	                	                    	                        	                                              	                       	                          	                   	                      	                       	                            	                        	                      	                   	                     	                          	                 	                                     	                              	                  	                  	                	                     	F                    	                           	                    	                          	A                      	                  	                       	F                     	F                    	R                	                         	R                     	                         	C                    	                 	                 	C                    	R                     	                  	                          	C                               	                              	              	F                  	                          	R                 	                          	                 	                   	                           	                  	                       	R                     	F                 	                        	                  	                    	                    	                        	                 	                   	                           	                     	                           	C                       	                     	S                      	                   	R                  	                     	                   	                        	R                     	                       	                       	R                           	S                 	From SR. Ch 29. Table 1.

  SR	Early Pliocene   	                 	CN10              	              	157	 950	A	 21	X	 5	  23.50	    184.7350	Howe     	Nannofossils                                 	L-M            	P-M               	                       	                       	                         	                    	                         	                            	C                        	                     	                        	                       	                      	                      	                       	                       	                           	                         	                      	R                    	                        	                    	                        	                   	                        	                          	                         	                 	                    	                    	                     	                  	                        	                            	                  	                     	                       	                        	                   	                     	                        	                         	                       	                     	                          	                        	                         	                	                    	                        	                                              	                       	                          	                   	                      	                       	                            	                        	                      	                   	                     	                          	                 	                                     	                              	                  	                  	                	                     	R                    	                           	                    	                          	F                      	                  	                       	R                     	C                    	                 	                         	                      	                         	R                    	                 	                 	                     	                      	                  	                          	F                               	                              	              	F                  	                          	                  	                          	                 	                   	                           	                  	                       	R                     	R                 	                        	                  	                    	                    	                        	                 	                   	                           	                     	                           	F                       	                     	                       	                   	R                  	                     	                   	                        	                      	                       	                       	                            	                  	From SR. Ch 29. Table 1.

  SR	Late Miocene     	                 	CN9b              	              	157	 950	A	 21	X	 5	 108.00	    185.5800	Howe     	Nannofossils                                 	H              	M-G               	                       	                       	                         	                    	                         	                            	A                        	                     	                        	                       	                      	                      	                       	                       	                           	                         	                      	C                    	                        	                    	                        	                   	                        	                          	                         	                 	                    	                    	                     	                  	                        	                            	                  	                     	                       	                        	                   	                     	                        	                         	                       	                     	                          	                        	                         	                	                    	                        	                                              	                       	                          	                   	                      	                       	                            	                        	                      	                   	                     	                          	                 	                                     	                              	                  	R                 	                	                     	F                    	                           	                    	                          	C                      	                  	                       	R                     	F                    	                 	                         	                      	                         	F                    	                 	                 	F                    	                      	                  	R                         	C                               	                              	              	F                  	                          	                  	                          	                 	                   	                           	                  	                       	F                     	F                 	                        	                  	                    	                    	                        	                 	                   	                           	                     	                           	F                       	                     	F                      	                   	C                  	                     	                   	                        	                      	                       	                       	                            	                  	From SR. Ch 29. Table 1.

  SR	Late Miocene     	                 	CN9b              	              	157	 950	A	 21	X	CC	  20.00	    188.2100	Howe     	Nannofossils                                 	VL             	P                 	                       	                       	                         	                    	                         	                            	R                        	                     	                        	                       	                      	                      	                       	                       	                           	                         	                      	                     	                        	                    	                        	                   	                        	                          	                         	                 	                    	                    	                     	                  	                        	                            	                  	                     	                       	                        	                   	                     	                        	                         	                       	                     	                          	                        	                         	                	                    	                        	                                              	                       	                          	                   	                      	                       	                            	                        	                      	                   	                     	                          	                 	                                     	                              	                  	                  	                	                     	                     	                           	                    	                          	R                      	                  	                       	                      	F                    	                 	                         	                      	                         	                     	                 	                 	                     	                      	                  	                          	R                               	                              	              	F                  	                          	                  	                          	                 	                   	                           	                  	                       	                      	                  	                        	                  	                    	                    	                        	                 	                   	                           	                     	                           	S                       	                     	                       	                   	R                  	                     	                   	                        	S                     	                       	                       	                            	                  	From SR. Ch 29. Table 1.
