Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Uvigerina ecuadorensis,Triloculina sp.,Stichocassidulina thalmanni,Oridorsalis umbonatus,Haplophragmoides sp.,Hansenisca multilocula,Globocassidulina sublaevigata,Globocassidulina subglobosa,Globocassidulina globosa,Globobulimina diversa,Fursenkoina nuda,Eponides sp. (small),Dorothia asiphonia,Cyclammina simiensis,Cibicides sp.,Buliminella mirifica,Bulimina peruviana,Bulimina chirana,Buccella sp.,Brizalina sp.,Bolivinellina basisenta,Bolivina maculata,Bathysiphon eocenica,Amphimorphina stainforthi,Alabamina atlantisae,Unilocular species,Spirolocammina tenuis,Quinqueloculina sp.,Plectofrondicularia vaughni,Nodosaria longiscata,Gyroidina sp.,Asterigerina crassaformis,Anomalinoides alazanensis,Valvulineria peruviana,Uvigerina peruviana,Stilostomella sp.,Plectofrondicularia spp.,Nodogenerina sp.,Gyroidina perampla,Cibicidoides spp.,Cibicidoides perlucidus,Cibicidoides martinezensis,Bulimina stalacta,Bulimina alazanensis,Anomalinoides pompiloides,Nonionella sp. cf. N.ecuadorana,Buliminella peruviana,Buliminella chirana,Vaginulina elegans mexicana,Uvigerina mexicana,Uvigerina gallowayi basicordata,Uvigerina auberiana,Sphaeroidina chilostoma,Sigmomorphina trinitatensis,Robulus spp.,Robulus cristobalensis,Robulus americanus,Pullenia bulloides,Pseudoclavulina bullbrooki,Plectofrondicularia sp.,Osangularia interrupta,Melonis sp. cf. N.pompilioides,Lenticulina subpapillosa,Heterolepa(?) crebbsi,Hansenisca altiformis,Guttulina irregularis,Buliminella cf. curta,Bulimina bleeckeri,Brizalina pisciformis,Brizalina mantaensis,Bathysiphon sp. ,Amphicoryina sp. A,Alabamina polita,Uvigerina rustica,Uvigerina mantaensis,Uvigerina gallowayi,Siphonodosaria paucistriata,Robulus sp.,Plectofrondicularia californica,Plectofrondicularia advena,Planulina renzi,Cibicidoides compressus,Buliminella curta,Bulimina alligata,Amphimorphina sp.,Uvigerina hispidocostata,Rotorbinella garveyensis,Pseudoparrella subperuviana,Hansenisca zealandica,Gyroidina lamarckiana,Epistominella smithi,Eilohedra levicula,Cassidulina cushmani,Buliminella elegantissima limbosa,Bulimina elongata,Bolivinellina seminuda var.,Valvulineria compressa,Bolivinita minuta,Bolivinellina ecuadorana,Bolivina vaughani,Ambitropus thalmanni,Fontbotia wuellerstorfi,Buliminella subfusiformis,Bolivina sinuata,Uvigerina peregrina dirupta,Uvigerina marksi,Bulimina hebespinata,Bolivinellina sp.,Buccella oregonensis,Brizalina imbricata,Planulina ornata,Nonionella ecuadorana,Lagenoglandulina sp.,Galliherina uvigerinaformis charapotoensis,Holmanella sp. cf. D.valmonteensis Kleinpell,Bolivina decussata,Bolivina costata,Bolivinellina foraminata,Nodosaria consobrina,Fursenkoina restinensis,Bolivina sinuata alisoensis,Bolivina granti,Stilostomella fistuca,Sphaeroidina bulloides,Pleurostomella alternans,Melonis pompilioides,Melonis affinis,Cassidulinoides bradyi,Bulimina exilis tenuata,Bolivinellina goudkoffi,Bolivinellina girardensis,Bolivinellina californica,Anomalinoides sp.,Triloculina trigonula,Pullenia quinqueloba,Martinottiella communis,Globocassidulina depressa,Eggerella bradyi,Cassidelina complanata,Uvigerina senticosa,Globobulimina pacifica,Bulimina striata mexicana,Pyrgo murrhyna,Pseudoparrella  exigua,Nonionella auris,Hoeglundina elegans,Fursenkoina glabra,Eponides tumidulus,Ehrenbergina trigona,Bolivinellina pacifica,Astrononion schwageri,Parrelloides bradyi,Globobulimina affinis,Bolivinellina humilis,Nodosaria calomorpha,Gyroidina turgida,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Quaternary       ,                 ,                  ,              ,112, 682,A,  1,H, 3,  71.00,      3.7100,Resig    ,Benthic Foraminifers                         ,               ,                  ,                      ,2              ,                           ,2                    ,                    ,                      ,                             ,T                          ,                        ,                     ,                ,                    ,                  ,                    ,             ,                    ,                  ,                ,            ,             ,                       ,                 ,                    ,                         ,                    ,1                 ,                     ,                   ,                           ,                    ,             ,                         ,                         ,                      ,                   ,                 ,                        ,                ,                  ,                 ,                       ,                          ,                 ,                    ,                         ,                               ,                     ,                   ,                           ,                  ,                               ,                   ,                       ,                           ,            ,                      ,                  ,T                 ,                          ,                       ,                      ,                              ,                        ,                     ,                     ,                     ,                     ,                  ,                     ,                    ,                ,                  ,                ,                 ,                    ,                   ,                           ,           ,                               ,                          ,               ,                       ,4                ,                 ,                 ,                        ,                        ,9                          ,                     ,2                    ,                    ,2                 ,2                   ,4                                ,                 ,                           ,                      ,1                ,                        ,                 ,                    ,T                      ,                         ,                ,                           ,                ,                    ,                 ,                    ,                   ,                ,                     ,                    ,                                          ,                                            ,                  ,27              ,                        ,                    ,                       ,                           ,               ,                     ,                      ,                        ,1                   ,               ,                      ,                       ,                       ,                         ,                         ,                 ,                     ,2                   ,                       ,                         ,                ,1                     ,T                  ,T                     ,                         ,T             ,26                    ,T               ,2                  ,                  ,                  ,                    ,2                     ,                     ,                   ,                     ,5                    ,                    ,5                ,from ODP Leg 112 SR Chapter 16 Table 8 p 286
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Quaternary       ,                 ,                  ,              ,112, 682,A,  1,H,CC,  12.00,      9.7900,Resig    ,Benthic Foraminifers                         ,               ,                  ,                      ,               ,                           ,2                    ,                    ,                      ,                             ,2                          ,                        ,                     ,                ,                    ,                  ,                    ,             ,                    ,                  ,                ,            ,             ,                       ,                 ,                    ,                         ,                    ,5                 ,                     ,                   ,                           ,                    ,             ,                         ,                         ,                      ,                   ,                 ,                        ,                ,                  ,                 ,                       ,                          ,                 ,                    ,                         ,                               ,                     ,                   ,                           ,                  ,                               ,1                  ,                       ,                           ,            ,                      ,                  ,3                 ,                          ,                       ,                      ,                              ,                        ,                     ,                     ,                     ,                     ,                  ,                     ,                    ,                ,                  ,                ,                 ,                    ,                   ,                           ,           ,                               ,                          ,               ,                       ,                 ,                 ,                 ,                        ,                        ,                           ,                     ,1                    ,                    ,10                ,                    ,T                                ,                 ,                           ,                      ,                 ,                        ,                 ,                    ,T                      ,                         ,                ,                           ,                ,                    ,                 ,                    ,                   ,                ,                     ,                    ,                                          ,                                            ,                  ,16              ,                        ,                    ,                       ,                           ,               ,                     ,                      ,                        ,2                   ,1              ,                      ,                       ,                       ,                         ,                         ,                 ,                     ,2                   ,                       ,31                       ,                ,T                     ,25                 ,                      ,                         ,T             ,T                     ,T               ,                   ,                  ,                  ,                    ,                      ,                     ,                   ,                     ,                     ,                    ,                 ,from ODP Leg 112 SR Chapter 16 Table 8 p 286
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Quaternary       ,                 ,                  ,              ,112, 682,A,  2,H, 4,  55.00,     14.8500,Resig    ,Benthic Foraminifers                         ,               ,                  ,                      ,               ,                           ,2                    ,                    ,                      ,                             ,1                          ,                        ,                     ,                ,                    ,                  ,                    ,             ,                    ,                  ,                ,            ,             ,                       ,                 ,                    ,                         ,                    ,5                 ,                     ,                   ,                           ,                    ,             ,                         ,                         ,                      ,                   ,                 ,                        ,                ,                  ,                 ,                       ,                          ,                 ,T                   ,                         ,                               ,                     ,                   ,                           ,                  ,                               ,3                  ,                       ,                           ,            ,                      ,                  ,1                 ,                          ,                       ,                      ,                              ,                        ,                     ,                     ,                     ,                     ,                  ,                     ,                    ,                ,                  ,                ,                 ,                    ,                   ,                           ,           ,                               ,                          ,               ,                       ,                 ,                 ,                 ,                        ,                        ,                           ,                     ,4                    ,                    ,19                ,                    ,                                 ,                 ,                           ,                      ,T                ,                        ,                 ,                    ,                       ,                         ,                ,                           ,                ,                    ,                 ,                    ,                   ,                ,                     ,                    ,                                          ,                                            ,                  ,24              ,                        ,                    ,                       ,                           ,               ,                     ,1                     ,                        ,                    ,3              ,                      ,                       ,                       ,                         ,                         ,                 ,                     ,3                   ,T                      ,3                        ,3               ,1                     ,2                  ,                      ,                         ,T             ,7                     ,                ,                   ,                  ,2                 ,11                  ,T                     ,2                    ,T                  ,T                    ,                     ,T                   ,                 ,from ODP Leg 112 SR Chapter 16 Table 8 p 286
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Quaternary       ,                 ,                  ,              ,112, 682,A,  2,H,CC,  18.00,     18.9300,Resig    ,Benthic Foraminifers                         ,               ,                  ,                      ,               ,                           ,T                    ,                    ,                      ,                             ,1                          ,                        ,                     ,                ,                    ,                  ,                    ,             ,                    ,                  ,                ,            ,             ,                       ,                 ,                    ,                         ,                    ,1                 ,T                    ,                   ,                           ,                    ,             ,                         ,                         ,                      ,                   ,                 ,T                       ,                ,                  ,                 ,                       ,                          ,                 ,T                   ,                         ,                               ,                     ,                   ,                           ,                  ,                               ,4                  ,                       ,                           ,            ,                      ,                  ,T                 ,                          ,                       ,                      ,                              ,                        ,                     ,T                    ,                     ,                     ,                  ,                     ,                    ,                ,                  ,                ,                 ,                    ,                   ,                           ,           ,                               ,                          ,               ,                       ,T                ,                 ,                 ,                        ,                        ,                           ,                     ,1                    ,                    ,5                 ,                    ,T                                ,                 ,                           ,                      ,1                ,                        ,                 ,                    ,T                      ,                         ,                ,                           ,                ,                    ,                 ,                    ,                   ,                ,                     ,                    ,                                          ,                                            ,                  ,12              ,                        ,                    ,                       ,                           ,               ,                     ,                      ,T                       ,                    ,T              ,2                     ,                       ,                       ,                         ,                         ,                 ,                     ,1                   ,T                      ,4                        ,1               ,1                     ,2                  ,                      ,                         ,T             ,49                    ,                ,T                  ,                  ,2                 ,4                   ,T                     ,8                    ,T                  ,T                    ,T                    ,                    ,                 ,from ODP Leg 112 SR Chapter 16 Table 8 p 286
