Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Neogloboquadrina pachyderma (sinistral)	Globigerinita glutinata	Globigerina bulloides	Turborotalita quinqueloba	Globorotalia scitula	Globigerina bulloides umbilicata	Globigerinita uvula minuta	Globigerinita uvula uvula	Orbulina universa	Neogloboquadrina pachyderma (dextral)	Comment



  IR	                 	Holocene         	                  	CD1           	169	1035	D	  1	H	 1	   0.00	      0.0000	Brunner  	Planktonic Foraminifers                      	A              	M                 	C                                      	F                      	C                    	C                        	R                   	                                	F                         	                         	R                	R                                    	Planktonic foraminifers dominate with agglutinated benthonic foraminifers, radiolarians, diatoms, iron staining. Is this really Holocene?

  IR	                 	Pleistocene      	                  	CD2           	169	1035	D	  1	H	 1	  50.00	      0.5000	Brunner  	Planktonic Foraminifers                      	A              	G                 	C                                      	F                      	C                    	F                        	                    	                                	C                         	F                        	                 	                                     	Planktonic foraminifers dominate the sand. Common radiolarians.

  IR	                 	Pleistocene      	                  	CD2           	169	1035	D	  1	H	 1	  76.00	      0.7600	Brunner  	Planktonic Foraminifers                      	A              	G                 	C                                      	F                      	C                    	F                        	                    	F                               	C                         	F                        	                 	                                     	Planktonic foraminifers dominate the sand with few benthonic foraminifers, mineral grains like mica, quartz, etc., a trace of ostracodes, urchin spines

  IR	                 	Pleistocene      	                  	CD2           	169	1035	D	  1	H	 1	 109.00	      1.0900	Brunner  	Planktonic Foraminifers                      	A              	M                 	C                                      	R                      	C                    	F                        	R                   	R                               	C                         	F                        	                 	                                     	Planktonic foraminifers dominate with benthonic foraminifers rare, no mineral grains in the sand!

  IR	                 	Pleistocene      	                  	CD2           	169	1035	D	  1	H	 2	   0.00	      1.5000	Brunner  	Planktonic Foraminifers                      	A              	M                 	C                                      	R                      	C                    	R                        	R                   	R                               	C                         	R                        	                 	                                     	Planktonic foraminifers dominate with rare benthonic foraminifers, mineral grains, a trace of radiolarians, pyrite (framboidal)

  IR	                 	Pleistocene      	                  	CD2           	169	1035	D	  1	H	 2	  46.00	      1.9600	Brunner  	Planktonic Foraminifers                      	A              	M                 	C                                      	R                      	C                    	R                        	                    	                                	C                         	F                        	                 	                                     	Planktonic foraminifers dominate with rare benthonic foraminifers, a trace of mineral grains, pyrite, and radiolarians. Some of the pyrite is framboidal.

  IR	                 	Pleistocene      	                  	CD2           	169	1035	D	  1	H	 2	 138.00	      2.8800	Brunner  	Planktonic Foraminifers                      	A              	M                 	C                                      	R                      	C                    	F                        	R                   	F                               	C                         	F                        	                 	                                     	Half planktonic foraminifers and half sulfides. Rare benthonic foraminifers, mineral grains, a trace of radiolarians

  IR	                 	Pleistocene      	                  	CD2           	169	1035	D	  1	H	 3	   0.00	      3.0000	Brunner  	Planktonic Foraminifers                      	C              	P                 	C                                      	R                      	C                    	R                        	                    	R                               	R                         	                         	                 	                                     	Dominated by sulfides with rare planktonic foraminifers, a trace of benthonic foraminifers

