Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Uvigerina peregrina	Oridorsalis umbonatus	Melonis barleeanus	Bulimina striata mexicana	Melonis pompilioides	Globobulimina affinis	Cibicidoides mckannai	Bolivina sp.	Pullenia bulloides	Dentalina sp.	Uvigerina mantaensis	Uvigerina bifurcata	Stilostomella cf. consobrina	Mucronina sp.	Chilostomella ovoidea	Bulimina alazanensis	Nodogenerina adolphina	Gyroidina zelandica	Globocassidulina subglobosa	Hoeglundina elegans	Cibicidoides wuellerstorfi	Fissurina sp.	Quinqueloculina seminulum	Globobulimina turgida	Pleurostomella alternans	Uvigerina auberiana	Cibicidoides bradyi	Lagena sp.	Frondicularia sp.	Epistominella pacifica	Gyroidina orbicularis	Parafissurina ovata	Dentalina filiformis	Trifarina angulosa	Pyrgo murrhina	Lenticulina sp.	Globobulimina spinifera	Bulimina striata striata	Ehrenbergina glabra	Comment



  SR	                 	                 	S. cf. consobrina 	              	141	 861	D	  1	R	 2	  68.00	    344.4800	Spiegler 	Benthic Foraminifers                         	F              	G                 	C                  	R                    	R                 	R                        	                    	                     	R                    	R           	                  	R            	                    	                   	R                           	R            	                     	                    	F                     	                   	R                          	R                  	                          	             	                         	                     	R                       	                   	                   	R         	                 	                      	                     	                   	R                   	                  	              	               	                       	                        	R                  	Rare unidentified taxa; from Leg 141 SR; Chapter 15; Table 2; back pocket

  SR	                 	                 	S. cf. consobrina 	              	141	 861	D	  1	R	 3	 127.00	    346.5700	Spiegler 	Benthic Foraminifers                         	R              	M                 	R                  	R                    	R                 	R                        	                    	                     	                     	            	                  	R            	                    	                   	R                           	R            	R                    	                    	R                     	                   	                           	                   	                          	             	                         	                     	                        	                   	                   	          	R                	                      	                     	                   	                    	                  	R             	R              	R                      	R                       	                   	Rare unidentified taxa; from Leg 141 SR; Chapter 15; Table 2; back pocket

  SR	                 	                 	S. cf. consobrina 	              	141	 861	D	  1	R	CC	  15.00	    347.5300	Spiegler 	Benthic Foraminifers                         	R              	M                 	R                  	R                    	F                 	R                        	                    	                     	                     	            	                  	             	                    	                   	R                           	R            	                     	                    	R                     	R                  	R                          	R                  	                          	             	                         	                     	R                       	                   	                   	          	                 	                      	                     	                   	                    	R                 	              	               	                       	                        	                   	Rare unidentified taxa; from Leg 141 SR; Chapter 15; Table 2; back pocket

  SR	                 	                 	S. cf. consobrina 	              	141	 861	D	  2	R	 2	  83.00	    354.2300	Spiegler 	Benthic Foraminifers                         	A              	G                 	                   	                     	                  	                         	                    	                     	                     	            	                  	             	                    	                   	                            	             	                     	                    	                      	                   	                           	                   	                          	             	                         	                     	                        	                   	                   	          	                 	R                     	                     	                   	                    	                  	              	               	                       	                        	                   	Reworked taxa detected; from Leg 141 SR; Chapter 15; Table 2; back pocket

