Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Thyrsocyrtis triacantha,Thyrsocyrtis rhizodon,Thyrsocyrtis lochites,Podocyrtis goetheana,Podocyrtis chalara,Lophocyrtis jacchia,Lithocyclia ocellus,Lithocyclia aristotelis group,Lithochytris vespertilio,Cryptocarpium ornatum,Calocyclas hispida,Tristylospyris triceros,Thyrsocyrtis  tetracantha,Thyrsocyrtis bromia,Theocyrtis tuberosa,Sethochytris triconiscus,Podocyrtis trachodes,Podocyrtis papalis,Eusyringium fistuligerum,Dictyoprora mongolfieri,Cryptocarpium azyx,Calocyclas turris,Calocyclas bandyca,Dictyoprora armadillo,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Eocene      ,Late Eocene      ,RP18              ,RP18          ,199,1217,C,  3,H, 1,  60.00,     42.1000,nannos   ,Radiolarians                                 ,F              ,M                 ,                       ,                     ,+                    ,+                   ,+                 ,                   ,                   ,                             ,                        ,                     ,                  ,+                      ,+                        ,                   ,                   ,                        ,                    ,                  ,                        ,                       ,                  ,                 ,+                 ,+                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Eocene      ,Late Eocene      ,RP18              ,RP18          ,199,1217,C,  3,H, 2,  10.00,     43.1000,nannos   ,Radiolarians                                 ,C              ,VG                ,                       ,                     ,                     ,+                   ,+                 ,                   ,                   ,+                            ,                        ,                     ,                  ,+                      ,+                        ,+                  ,+                  ,                        ,                    ,+                 ,+                       ,                       ,+                 ,+                ,+                 ,+                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Middle Eocene    ,Middle Eocene    ,RP17              ,RP17          ,199,1217,C,  3,H, 2,  98.00,     43.9800,nannos   ,Radiolarians                                 ,C              ,M                 ,+                      ,+                    ,+                    ,+                   ,+                 ,                   ,                   ,                             ,                        ,                     ,                  ,+                      ,+                        ,+                  ,-                  ,+                       ,+                   ,+                 ,+                       ,+                      ,+                 ,+                ,-                 ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Middle Eocene    ,Middle Eocene    ,RP15              ,RP15          ,199,1217,C,  5,H, 1, 120.00,     61.7000,nannos   ,Radiolarians                                 ,C              ,VG                ,+                      ,+                    ,+                    ,-                   ,+                 ,+                  ,+                  ,+                            ,+                       ,+                    ,+                 ,                       ,                         ,                   ,                   ,                        ,                    ,                  ,                        ,                       ,                  ,                 ,                  ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
