Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group,Group Abundance,Group Preservation,Sphenolithus moriformis,Reticulofenestra medium-sized,Pyrocyclus spp.,Discoaster druggii,Dictyococcites antarcticus,Cyclicargolithus floridanus,Coccolithus pelagicus,Discoaster dilatus,Discoaster deflandrei,Reticulofenestra,Z,Pontosphaera spp.,Cyclicargolithus abisectus,Sphenolithus dissimilis,Reticulofenestra pseudoumbilicus,Helicosphaera euphratis,Helicosphaera carteri,Geminilithella rotula,Calcidiscus leptoporus,Helicosphaera ampliaperta,Calcidiscus premacintyrei,Helicosphaera obliqua,Helicosphaera intermedia,Sphenolithus heteromorphus,Sphenolithus compactus,Reticulofenestra small-sized,Calcidiscus tropicus,Comment
IR,,,,,181,1120,D,1,X,CC,5.00,166.9300,nannos,Nannofossils,A,G,C,,R,,F,A,D,F,R,,,C,,,,,C,F,,,C,,,,,C,R,many small-sized placoliths in background
IR,,,,,181,1120,D,2,X,1,50.00,167.5000,nannos,Nannofossils,A,G,C,A,,,C,A,C,R,,,,C,,,,,C,,R,,A,,,,F,,,big Pontosphaera
IR,,,,,181,1120,D,2,X,3,130.00,171.3000,nannos,Nannofossils,A,G,C,A,F,,A,A,A,C,,,,C,,,,,C,,F,,C,,,F,F,,,big Pontosphaera
IR,,,,,181,1120,D,2,X,4,60.00,172.1000,nannos,Nannofossils,A,G,C,A,F,,C,C,A,C,R,,,F,,,C,,C,F,F,,F,,,F,,,,
IR,,,,,181,1120,D,2,X,CC,24.00,176.6800,nannos,Nannofossils,A,G,A,,F,,A,C,A,C,A,,,,R,R,,C,A,C,C,,C,R,R,,,,,WARM   AGATA PLEASE RECONFIRM
IR,,,,,181,1120,D,3,X,CC,21.00,184.9300,nannos,Nannofossils,A,G,C,A,F,,D,A,A,,,,,R,,,,F,A,,C,R,F,,,,,,,SIMILAR SIZED COCCOLITHS (5-9 UM)
IR,,,,,181,1120,D,4,X,CC,10.00,194.6800,nannos,Nannofossils,A,G,C,,F,,A,C,A,F,,,,,R,R,F,R,C,F,F,,,,,,,,,
IR,,,,,181,1120,D,5,X,CC,22.00,203.6200,nannos,Nannofossils,A,G,C,A,F,,,C,A,C,C,,,,,,,,,,,,,,,,,,,
IR,,,,,181,1120,D,6,X,CC,12.00,214.1200,nannos,Nannofossils,A,G,C,A,F,,A,C,C,,C,C,,F,,,,,,,,,,,,,,,,
IR,,,,,181,1120,D,7,X,CC,20.00,213.5000,nannos,Nannofossils,A,G,C,C,F,C,C,A,A,F,C,A,,,C,,,,,,,,,,,,,,,MANY LARGE-SIZED PLACOLITHS
IR,,,,,181,1120,D,8,X,CC,12.00,221.7500,nannos,Nannofossils,A,G,C,F,C,C,A,A,A,C,C,,,,,,,,,,,,,,,,,,,
IR,,,,,181,1120,D,9,X,CC,18.00,221.8600,nannos,Nannofossils,A,G,C,F,C,F,D,A,A,,,,,,,,,,,,,,,,,,,,,
