Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Zygodiscus diplogrammus	Zeugrhabdotus embergeri	Watznaueria ovata	Watznaueria fossacincta	Watznaueria biporta	Watznaueria barnesae	Vagalapilla stradneri	Tubodiscus jurapelagicus	Tetrapodorhabdus coptensis	Rotelapillus laffittei	Rhagodiscus pseudoangustus	Rhagodiscus infinitus	Rhagodiscus asper	Retecapsa angustiforata	Reinhardtites scutula	Polypodorhabdus madingleyensis	Pickelhaube furtiva	Percivalia fenestrata	Palaeopontosphaera salebrosa	Palaeopontosphaera dubia	Nannoconus steinmannii steinmannii	Nannoconus globulus	Nannoconus abundans	Microstaurus quadratus	Microstaurus chiastius	Markalius circumradiatus	Manivitella pemmatoidea	Flabellites oblongus	Ethmorhabdus anglicus	Ellipsagelosphaera britannica	Cyclagelosphaera margerelii	Conusphaera rothii	Calcicalathina sp. A	Biscutum rotatorium	Assipetra terebrodentarius	Assipetra infracretacea	Zygodiscus xenotus	Zeugrhabdotus choffatii	Speetonia colligata	Rhagodiscus splendens	Rhagodiscus angustus	Rhagodiscus achylostaurion	Retecapsa schizobrachiata	Nannoconus ligius	Nannoconus kamptneri kamptneri	Nannoconus bermudezi	Micrantholithus hoschulzii	Lithraphidites carniolensis	Cruciellipsis cuvillieri	Cretarhabdus conicus	Tegumentum stradneri	Micrantholithus obtusus	Conusphaera mexicana mexicana	Chiastozygus tenuis	Braarudosphaera bigelowii	Zeugrhabdotus erectus	Diazomatolithus lehmanii	Zygodiscus elegans	Vagalapilla sp. 2	Vagalapilla sp. 1	Staurolithites mutterlosei	Lithraphidites bollii	Hayesites irregularis	Axopodorhabdus dietzmannii	Calcicalathina oblongata	Tubodiscus verenae	Nannoconus bucheri	Miravetesina favula	Ellipsagelosphaera spp. (small)	Palaeopontosphaera sp. 1	Eprolithus floralis	Cyclagelosphaera deflandrei	Corollithion achylosum	Chiastozygus litterarius	Bukrylithus ambiguus	Zygrhablithus bijugatus	Tribrachiatus orthostylus	Thoracosphaera sp.	Sphenolithus moriformis	Rhabdosphaera inflata	Reticulofenestra spp. (small)	Reticulofenestra dictyoda	Pseudotriquetrorhabdulus inversus	Pemma papillatum	Neococcolithes dubius	Nannotetrina fulgens	Nannotetrina cristata	Micrantholithus spp.	Discoaster sublodoensis	Discoaster multiradiatus	Discoaster lodoensis	Discoaster barbadiensis	Coccolithus pelagicus	Coccolithus formosus	Coccolithus eopelagicus	Clausicoccus sp.	Clausicoccus fenestratus	Chiasmolithus titus	Chiasmolithus solitus	Chiasmolithus nitidus	Chiasmolithus grandis	Chiasmolithus expansus	Campylosphaera dela	Calcidiscus protoannulus	Pentaster sp.	Nannotetrina sp.	Discoaster saipanensis	Discoaster binodosus	Nannotetrina alata	Discoaster tanii tanii	Discoaster tanii nodifer	Blackites spinosus	Blackites tenuis	Pontosphaera multipora	Chiasmolithus gigas	Pyrocyclus hermosus	Pedinocyclus larvalis	Ericsonia robusta	Sphenolithus radians	Sphenolithus furcatolithoides	Helicosphaera seminulum	Chiasmolithus consuetus	Bramletteius serraculoides	Cyclicargolithus floridanus	Lanternithus minutus	Helicosphaera bramlettei	Sphenolithus editus	Helicosphaera salebrosa	Discoaster bifax	Dictyococcites retiformis	Dictyococcites bisectus	Comment



  SR	Middle Eocene    	                 	NP15              	              	149	 897	D	  1	R	 1	 146.00	    597.4600	Liu      	Nannofossils                                 	A              	M                 	                       	                       	                 	                       	                   	                    	                     	                        	                          	                      	                          	                     	                 	                       	                     	                              	                   	                     	                            	                        	                                  	                   	                   	                      	                      	                        	                       	                    	                     	                             	                           	                  	                    	                   	                          	                       	                  	                       	                   	                     	                    	                          	                         	                 	                              	                    	                          	                           	                        	                    	                    	                       	                             	                   	R                        	                     	                        	                  	                 	                 	                          	                     	                     	                          	                        	                  	                  	                   	                               	                        	                   	                           	                      	                        	                    	C                      	                         	F                 	C                      	                     	A                            	A                        	C                                	F               	R                    	R                   	F                    	                    	                       	                        	                    	F                      	A                    	C                   	F                      	F               	F                       	R                  	C                    	R                    	F                    	R                     	F                  	F                       	             	                	F                     	R                   	                  	R                     	F                       	R                 	                	                      	R                  	                   	                     	                 	                    	F                            	                       	                       	F                         	A                          	R                   	R                       	                   	R                      	F               	                         	F                      	from 149 SR. Chapter 3. Table 4. page 68.

  SR	Middle Eocene    	                 	NP15              	              	149	 897	D	  1	R	 2	  98.00	    598.4800	Liu      	Nannofossils                                 	A              	P                 	                       	                       	                 	                       	                   	                    	                     	                        	                          	                      	                          	                     	                 	                       	                     	                              	                   	                     	                            	                        	                                  	                   	                   	                      	                      	                        	                       	                    	                     	                             	                           	                  	                    	                   	                          	                       	                  	                       	                   	                     	                    	                          	                         	                 	                              	                    	                          	                           	                        	                    	                    	                       	                             	                   	                         	                     	                        	                  	                 	                 	                          	                     	                     	                          	                        	                  	                  	                   	                               	                        	                   	                           	                      	                        	                    	C                      	                         	F                 	F                      	                     	A                            	A                        	C                                	R               	R                    	F                   	F                    	                    	                       	                        	                    	C                      	A                    	C                   	F                      	F               	F                       	R                  	C                    	R                    	F                    	R                     	F                  	F                       	             	                	F                     	R                   	                  	R                     	R                       	R                 	R               	                      	F                  	                   	                     	                 	R                   	F                            	R                      	R                      	F                         	C                          	R                   	R                       	R                  	R                      	R               	R                        	R                      	from 149 SR. Chapter 3. Table 4. page 68.

  SR	Middle Eocene    	                 	NP15              	              	149	 897	D	  1	R	 3	  22.00	    599.2200	Liu      	Nannofossils                                 	A              	M                 	                       	                       	                 	                       	                   	                    	                     	                        	                          	                      	                          	                     	                 	                       	                     	                              	                   	                     	                            	                        	                                  	                   	                   	                      	                      	                        	                       	                    	                     	                             	                           	                  	                    	                   	                          	                       	                  	                       	                   	                     	                    	                          	                         	                 	                              	                    	                          	                           	                        	                    	                    	                       	                             	                   	R                        	                     	                        	                  	                 	                 	                          	                     	                     	                          	                        	                  	                  	                   	                               	                        	                   	                           	                      	                        	                    	C                      	                         	F                 	F                      	                     	C                            	A                        	C                                	R               	R                    	F                   	F                    	                    	                       	                        	                    	F                      	A                    	C                   	F                      	F               	F                       	R                  	C                    	R                    	F                    	R                     	F                  	F                       	             	                	F                     	R                   	                  	R                     	R                       	R                 	R               	                      	R                  	                   	                     	                 	R                   	F                            	                       	R                      	F                         	F                          	F                   	R                       	                   	R                      	R               	                         	                       	from 149 SR. Chapter 3. Table 4. page 68.

  SR	Middle Eocene    	                 	NP15              	              	149	 897	D	  1	R	 4	  42.00	    600.9200	Liu      	Nannofossils                                 	A              	P                 	                       	                       	                 	                       	                   	                    	                     	                        	                          	                      	                          	                     	                 	                       	                     	                              	                   	                     	                            	                        	                                  	                   	                   	                      	                      	                        	                       	                    	                     	                             	                           	                  	                    	                   	                          	                       	                  	                       	                   	                     	                    	                          	                         	                 	                              	                    	                          	                           	                        	                    	                    	                       	                             	                   	                         	                     	                        	                  	                 	                 	                          	                     	                     	                          	                        	                  	                  	                   	                               	                        	                   	                           	                      	                        	                    	C                      	                         	F                 	F                      	                     	A                            	A                        	C                                	                	                     	R                   	F                    	                    	                       	R                       	                    	F                      	A                    	C                   	F                      	F               	F                       	R                  	F                    	R                    	F                    	                      	F                  	F                       	             	                	R                     	R                   	                  	R                     	F                       	R                 	                	                      	F                  	                   	R                    	                 	                    	C                            	                       	                       	F                         	F                          	F                   	R                       	R                  	R                      	                	                         	                       	from 149 SR. Chapter 3. Table 4. page 68.
