Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Uvigerina senticosa,Pullenia bulloides,Melonis pompilioides,Gyroidina soldanii altiformis,Globobulimina affinis,Elphidium excavatum f. clavatum,Cibicidoides wuellerstorfi,Cibicides spp.,Globobulimina pacifica,Cibicidoides mckannai,Agglutinated spp. (indeterminate),Valvulineria araucana,Lagena sp.,Karreriella sp.,Eponides healdi,Cassidulina limbata,Bulimina subcalva,Epistominella pacifica,Eponides spp.,Nonionella miocenica,Hoeglundina elegans,Gyroidina spp.,Gyroidina soldanii rotundimargo,Quinqueloculina sp.,Cassidulinoides bradyi,Melonis barleeanus,Lenticulina sp.,Cassidulina minuta,Calcareous sp. indeterminate,Bulimina barbata,Bulimina striata mexicana,Globocassidulina subglobosa,Fissurina spp.,Dentalina sp.,Uvigerina peregrina,Oridorsalis umbonatus,Cassidulina sp.,Bulimina aculeata,Uvigerina sp.,Uvigerina hispida,Elphidium sp.,Chilostomella ovoidea,Sphaeroidina bulloides,Eggerella bradyi,Martinottiella communis,Epistominella sp.,Fursenkoina bradyi,Bulimina exilis,Triloculina sp.,Pyrgo sp.,Cibicidoides sp.,Cassidulina carinata,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 891,B,  1,X,CC,   0.00,      0.0000,Zellers  ,Benthic Foraminifers                         ,               ,G                 ,C                  ,R                 ,R                   ,R                            ,                     ,                               ,R                         ,R             ,                      ,                     ,S                                ,                     ,S         ,               ,R              ,                   ,                 ,                      ,             ,                    ,                   ,              ,S                              ,                   ,                      ,                  ,R              ,                  ,                            ,S               ,                         ,                           ,              ,             ,                   ,R                    ,               ,                 ,             ,                 ,             ,                     ,R                     ,                ,                       ,                 ,                  ,S              ,S              ,S        ,R               ,F                   ,from Leg 146SR; Ch 5; Table 4; pp. 98-99
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 891,B,  2,X,CC,   0.00,     12.0000,Zellers  ,Benthic Foraminifers                         ,               ,G                 ,S                  ,                  ,S                   ,                             ,                     ,                               ,R                         ,S             ,R                     ,                     ,                                 ,S                    ,          ,               ,S              ,                   ,                 ,                      ,             ,                    ,                   ,              ,                               ,                   ,                      ,                  ,               ,                  ,                            ,                ,                         ,                           ,S             ,             ,                   ,                     ,               ,                 ,             ,S                ,             ,                     ,                      ,                ,                       ,                 ,S                 ,S              ,               ,         ,                ,                    ,from Leg 146SR; Ch 5; Table 4; pp. 98-99
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 891,B,  3,X,CC,   0.00,     20.8000,Zellers  ,Benthic Foraminifers                         ,               ,G                 ,                   ,                  ,                    ,                             ,                     ,F                              ,                          ,S             ,                      ,                     ,S                                ,                     ,          ,               ,               ,                   ,                 ,F                     ,             ,                    ,                   ,              ,                               ,                   ,                      ,                  ,               ,                  ,S                           ,                ,                         ,                           ,              ,             ,                   ,                     ,               ,                 ,             ,                 ,             ,                     ,                      ,                ,                       ,S                ,                  ,               ,               ,         ,                ,                    ,from Leg 146SR; Ch 5; Table 4; pp. 98-99
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 891,B,  4,X,CC,   0.00,     29.6000,Zellers  ,Benthic Foraminifers                         ,               ,M                 ,R                  ,R                 ,                    ,                             ,                     ,                               ,                          ,              ,R                     ,                     ,S                                ,                     ,          ,               ,S              ,                   ,                 ,                      ,             ,                    ,                   ,              ,S                              ,                   ,                      ,                  ,               ,                  ,                            ,                ,                         ,                           ,              ,             ,                   ,                     ,               ,                 ,             ,                 ,             ,                     ,S                     ,                ,S                      ,                 ,                  ,               ,               ,         ,                ,                    ,from Leg 146SR; Ch 5; Table 4; pp. 98-99
