Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Phormostichoartus marylandicus,Eucyrtidium diaphanes,Didymocyrtis (?) bassanii,Artophormis gracilis,Theocorys spongoconus,Eucyrtidium sp.,Didymocyrtis prismatica,Theocyrtis annosa,Calocycletta robusta,Calocycletta serrata,Tristylospyris triceros,Lychnocanoma elongata,Calocycletta virginis,Stichocorys delmontensis,Cyrtocapsella tetrapera,Cyrtocapsella cornuta,Cyrtocapsella japonica,Didymocyrtis tubaria,Didymocyrtis violina,Stichocorys wolffii,Didymocyrtis laticonus,Didymocyrtis mammifera,Phormostichoartus corbula,Lithopera neotera,Liriospyris parkerae,Diartus petterssoni,Calocycletta caepa,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,D. petterssoni (RN6),              ,150, 904,A, 12,H, 4,  60.00,    109.1000,Nigrini  ,Radiolarians                                 ,R              ,P                 ,                              ,                     ,                         ,                    ,                     ,               ,                       ,                 ,                    ,                    ,                       ,                     ,                     ,                        ,                       ,                     ,+                     ,                    ,                    ,                   ,                      ,                      ,                         ,                 ,                    ,                   ,                  ,From Leg 150 SR; Ch 3; Table 3; p. 40-41
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,D. petterssoni (RN6),              ,150, 904,A, 12,H, 6,  21.00,    111.0500,Nigrini  ,Radiolarians                                 ,R              ,P                 ,                              ,                     ,                         ,                    ,                     ,               ,                       ,                 ,                    ,                    ,                       ,                     ,                     ,                        ,                       ,                     ,+                     ,                    ,                    ,                   ,+                     ,                      ,+                        ,                 ,                    ,                   ,                  ,From Leg 150 SR; Ch 3; Table 3; p. 40-41
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,D. petterssoni (RN6),              ,150, 904,A, 13,H, 2,  60.00,    113.1000,Nigrini  ,Radiolarians                                 ,F              ,M                 ,                              ,                     ,                         ,                    ,                     ,               ,                       ,                 ,                    ,                    ,                       ,                     ,                     ,+                       ,                       ,                     ,+                     ,                    ,                    ,                   ,+                     ,                      ,+                        ,                 ,                    ,                   ,                  ,From Leg 150 SR; Ch 3; Table 3; p. 40-41
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,D. petterssoni (RN6),              ,150, 904,A, 13,H, 4,  60.00,    116.1000,Nigrini  ,Radiolarians                                 ,R              ,P-M               ,                              ,                     ,                         ,                    ,                     ,               ,                       ,                 ,                    ,                    ,                       ,                     ,                     ,                        ,                       ,                     ,                      ,                    ,                    ,                   ,                      ,                      ,                         ,+                ,                    ,                   ,                  ,From Leg 150 SR; Ch 3; Table 3; p. 40-41
