Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Tuberculodinium vancampoae,Systematophora placacantha,Spiniferites pseudofurcatus,Polysphaeridium zoharyi,Operculodinium placitum,Operculodinium centrocarpum,Lingulodinium machaerophorum,Hystrichokolpoma truncatum,Hystrichokolpoma rigaudiae,Distatodinium paradoxum,Dapsilidinium pseudocolligerum,Cyclopsiella elliptica/granosa complex,Cordosphaeridium cantharellus,Brigantedinium spp.,Apteodinium spiridoides,Sumatradinium soucouyantae,Pentadinium laticinctum,Palaeocystodinium golzowense,Operculodinium cf. israelianum (small),Lingulodinium multivirgatum,Cribroperidinium tenuitabulatum,Trinovantedinium ferugnomatum,Tectatodinium sp.3,Sumatradinium druggii,Spiniferites ramosus,Spiniferites membranosus,Melitasphaeridium choanophorum,Lejeunecysta sp.7,Labyrinthodinium truncatum modicum,Cousteaudinium aubryae,Cordosphaeridium? minimum,Batiacasphaera sphaerica,Apteodinium tectatum,Trinovantedinium? xylochoporum,Trinovantedinium sp.,Trinovantedinium harpagonium,Tectatodinium simplex,Spiniferites spp.,Reticulatosphaera actinocoronata,Lejeunecysta sp.8,Lejeunecysta convexa,Labyrinthodinium truncatum truncatum,Impagidinium paradoxum,Hystrichosphaeropsis obscura,Habibacysta tectata,Cannosphaeropsis passio,Algidasphaeridium? sp.8,Algidasphaeridium? sp.4,Selenopemphix brevispinosa brevispinosa,Polykrikos kofoidii?,Lejeunecysta sp.10,Algidasphaeridium? sp.10,Tectatodinium pellitum,Quadrina? condita,Lejeunecysta sp.3,Brigantedinium? sp.5,Selenopemphix sp. cf. S. nephroides,Nematosphaeropsis rigida,Lejeunecysta paratenella,Brigantedinium? sp.6,Artemisiocysta sp.1,Polykrikos schwartzii?,Algidasphaeridium? sp.11,Selenopemphix quanta,Operculodinium janduchenei,Nematosphaeropsis lativittatus,Batiacasphaera sp. cf. B. hirsuta,Ascostomocystis? sp.,Selenopemphix dionaeacysta,Impagidinium patulum,Heteraulacacysta campanula,Algidasphaeridium? euaxum,Quinquecuspis concreta,Operculodinium sp.3,Impagidinium sp.3,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,DN8               ,              ,150, 904,A, 12,H,CC,   9.00,    111.2000,de Verteuil,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,+                         ,                          ,+                          ,                       ,                       ,                           ,+                           ,                          ,                          ,                       ,+                             ,                                      ,                             ,+                  ,                       ,+                         ,                       ,+                           ,                                      ,                           ,                               ,                             ,                  ,                     ,                    ,                        ,                              ,                 ,                                  ,                      ,                         ,+                       ,                    ,                              ,                    ,                            ,                     ,                 ,+                               ,+                ,+                   ,                                    ,                      ,+                           ,+                  ,                       ,                       ,                       ,+                                      ,+                   ,                  ,                        ,+                     ,                 ,                 ,                    ,                                   ,                        ,                        ,                    ,+                  ,                      ,                        ,                    ,                          ,                              ,                                 ,                    ,+                         ,                    ,                          ,                         ,+                     ,+                  ,+                ,From 150SR. Ch 27. Table 4. p  446-447.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,DN8               ,              ,150, 904,A, 13,H,CC,  32.00,    120.9000,de Verteuil,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,                          ,                          ,                           ,                       ,                       ,+                          ,+                           ,                          ,                          ,                       ,                              ,                                      ,                             ,                   ,                       ,                          ,                       ,+                           ,                                      ,                           ,                               ,                             ,                  ,+                    ,                    ,                        ,                              ,                 ,                                  ,                      ,                         ,+                       ,                    ,                              ,                    ,+                           ,                     ,                 ,+                               ,                 ,                    ,                                    ,+                     ,+                           ,+                  ,                       ,                       ,                       ,+                                      ,+                   ,                  ,                        ,+                     ,                 ,+                ,+                   ,                                   ,                        ,                        ,+                   ,                   ,                      ,                        ,                    ,                          ,                              ,                                 ,                    ,+                         ,+                   ,+                         ,+                        ,                      ,                   ,                 ,From 150SR. Ch 27. Table 4. p  446-447.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,DN8               ,              ,150, 904,A, 14,H,CC,  23.00,    130.3500,de Verteuil,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,                          ,                          ,                           ,                       ,                       ,+                          ,                            ,                          ,                          ,                       ,                              ,                                      ,                             ,                   ,                       ,                          ,                       ,+                           ,                                      ,                           ,                               ,                             ,                  ,+                    ,                    ,                        ,                              ,                 ,                                  ,                      ,                         ,+                       ,                    ,                              ,                    ,                            ,                     ,+                ,+                               ,                 ,+                   ,                                    ,                      ,                            ,+                  ,                       ,                       ,                       ,+                                      ,                    ,                  ,                        ,+                     ,                 ,                 ,+                   ,                                   ,                        ,                        ,                    ,                   ,                      ,                        ,+                   ,+                         ,+                             ,+                                ,+                   ,                          ,                    ,                          ,                         ,                      ,                   ,                 ,From 150SR. Ch 27. Table 4. p  446-447.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,DN7               ,              ,150, 904,A, 17,H,CC,  32.00,    158.9800,de Verteuil,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,                          ,                          ,                           ,                       ,                       ,+                          ,+                           ,                          ,                          ,                       ,+                             ,                                      ,                             ,+                  ,                       ,+                         ,                       ,+                           ,                                      ,                           ,                               ,                             ,                  ,+                    ,                    ,                        ,                              ,                 ,                                  ,                      ,                         ,+                       ,                    ,                              ,                    ,                            ,                     ,                 ,                                ,+                ,+                   ,+                                   ,                      ,+                           ,+                  ,+                      ,+                      ,                       ,                                       ,+                   ,                  ,                        ,                      ,                 ,                 ,                    ,+                                  ,                        ,                        ,                    ,                   ,+                     ,+                       ,                    ,                          ,                              ,                                 ,                    ,                          ,                    ,                          ,                         ,                      ,                   ,                 ,From 150SR. Ch 27. Table 4. p  446-447.
