Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Theocorythium trachelium trachelium,Theocalyptra davisiana,Stylatractus universus,Spongaster tetras,Pterocorys minythorax,Lamprocyrtis nigriniae,Collosphaera tuberosa,Amphirhopalum ypsilon,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,RN16              ,              ,138, 849,A,  1,H,CC,  15.00,      8.6600,Moore    ,Radiolarians                                 ,A              ,M                 ,-                                  ,R                     ,-                     ,R                ,R                    ,R                     ,R                    ,R                    ,from ODP Leg 138 ST Chapter 11 Fig 6 p 208-209
,,,,,,,,,,,,,,,,,,,,,,,,,
