Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Toweius eminens	Sphenolithus primus	Prediscosphaera cretacea	Placozygus sigmoides	Neochiastozygus junctus	Fasciculithus tympaniformis	Fasciculithus involutus	Fasciculithus clinatus	Ericsonia robusta	Ellipsolithus macellus	Discoaster mohleri	Cruciplacolithus tenuis	Cruciplacolithus frequens	Zygodiscus herlynii	Toweius pertusus	Heliolithus kleinpellii	Chiasmolithus consuetus	Chiasmolithus californicus	Heliolithus megastypus	Heliolithus cantabriae	Discoaster nobilis	Chiasmolithus bidens	Bomolithus conicus	Heliolithus riedelii	Ellipsolithus distichus	Discoaster splendidus	Discoaster lenticularis	Fasciculithus richardii	Discoaster multiradiatus	Tribrachiatus orthostylus	Neococcolithes dubius	Ellipsolithus lajollaensis	Discoaster salisburgensis	Discoaster lodoensis	Discoaster kuepperi	Discoaster elegans	Discoaster diastypus	Discoaster binodosus	Discoaster barbadiensis	Chiasmolithus solitus	Chiasmolithus eograndis	Toweius magnicrassus	Sphenolithus radians	Cyclicargolithus gammation	Chiphragmalithus calathus	Chiphragmalithus acanthodes	Chiasmolithus grandis	Sphenolithus moriformis	Sphenolithus dissimilis	Sphenolithus compactus	Reticulofenestra minutula	Reticulofenestra minuta	Reticulofenestra lockerii	Reticulofenestra haqii	Reticulofenestra gartneri	Orthorhabdus serratus	Helicosphaera rhomba	Helicosphaera obliqua	Helicosphaera mediterranea	Helicosphaera kamptneri/carteri	Helicosphaera granulata	Helicosphaera euphratis	Helicosphaera ampliaperta	Geminilithella rotula	Discoaster saundersi	Discoaster lidzi	Discoaster druggii (small)	Discoaster deflandrei	Discoaster adamanteus	Cyclicargolithus floridanus	Cyclicargolithus abisectus	Coronocyclus nitescens	Coccolithus pelagicus	Coccolithus miopelagicus	Triquetrorhabdulus carinatus	Triquetrorhabdulus auritus	Sphenolithus heteromorphus	Sphenolithus conicus	Helicosphaera scissura	Helicosphaera acuta	Discoaster sp. cf. D. variabilis	Coccolithus eopelagicus	Triquetrorhabdulus milowii	Reticulofenestra pseudoumbilicus	Pontosphaera multipora	Discoaster sp. cf. D. exilis	Discoaster sanmiguelensis	Discoaster petaliformis	Discoaster bollii	Sphenolithus abies	Discoaster variabilis	Discoaster moorei	Discoaster hamatus	Discoaster exilis	Discoaster calcaris	Discoaster brouweri	Catinaster mexicanus	Catinaster coalitus	Calcidiscus macintyrei	Calcidiscus leptoporus	Discoaster neohamatus	Catinaster calyculus	Triquetrorhabdulus rugosus	Rhabdosphaera clavigera	Pontosphaera indooceanica	Discoaster signus	Sphenolithus neoabies	Minylitha convallis	Discoaster triradiatus	Discoaster prepentaradiatus	Discoaster pentaradiatus	Discoaster neorectus	Discoaster asymmetricus	Discoaster challengeri	Discoaster quinqueramus	Discoaster pansus	Discoaster berggrenii	Triquetrorhabdulus farnsworthii	Pontosphaera japonica	Florisphaera profunda	Amaurolithus primus	Discoaster surculus	Amaurolithus delicatus	Amaurolithus tricorniculatus	Amaurolithus amplificus	Discoaster decorus	Ceratolithus rugosus	Ceratolithus acutus	Helicosphaera sellii	Syracosphaera pulchra	Pseudoemiliania lacunosa	Gephyrocapsa aperta	Discoaster tamalis	Ceratolithus cristatus	Discoaster blackstockae	Scapholithus fossilis	Ceratolithus separatus	Umbilicosphaera sibogae	Gephyrocapsa oceanica	Gephyrocapsa caribbeanica	Comment



  SR	Pleistocene      	                 	CN15              	              	159	 961	A	  1	R	 1	   3.00	      0.0300	Shafik   	Nannofossils                                 	A              	G                 	               	                   	                        	                    	                       	                           	                       	                      	                 	                      	                  	                       	                         	                   	                	                       	                       	                          	                      	                      	                  	                    	                  	                    	                       	                     	                       	                       	                        	                         	                     	                          	                         	                    	                   	                  	                    	                    	                       	                     	                       	                    	                    	                          	                         	                           	                     	                       	                       	                      	                         	                       	                         	                      	                         	                     	                    	                     	                          	+                              	                       	                       	                         	                     	                    	                	                          	                     	                     	                           	                          	                      	                     	                        	                            	                          	                          	                    	                      	                   	                                	                       	                          	                                	                      	                            	                         	                       	                 	                  	                     	                 	                  	                 	                   	                   	                    	                   	                      	+                     	                     	                    	                          	                       	                         	                 	                     	                   	                      	                           	                        	                    	                       	                      	                       	                 	                     	                               	                     	+                    	                   	                   	                      	                            	                       	                  	                    	                   	                    	                     	                        	                   	                  	+                     	                       	+                    	                      	                       	+                    	+                        	From Leg 159 Ch 37 Table 5

  SR	Pleistocene      	                 	CN13a             	              	159	 961	A	  1	R	CC	   7.00	      3.3600	Shafik   	Nannofossils                                 	A              	G                 	               	                   	                        	                    	                       	                           	                       	                      	                 	                      	                  	                       	                         	                   	                	                       	                       	                          	                      	                      	                  	                    	                  	                    	                       	                     	                       	                       	                        	                         	                     	                          	                         	                    	                   	                  	                    	                    	                       	                     	                       	                    	                    	                          	                         	                           	                     	                       	                       	                      	+                        	                       	                         	                      	                         	                     	                    	                     	                          	C                              	                       	                       	                         	                     	                    	                	                          	                     	                     	                           	                          	                      	F                    	                        	                            	                          	                          	                    	                      	                   	                                	                       	                          	                                	                      	                            	                         	                       	                 	                  	                     	                 	                  	                 	                   	                   	                    	                   	F                     	F                     	                     	                    	                          	+                      	                         	                 	                     	                   	                      	                           	                        	                    	                       	                      	                       	                 	                     	                               	R                    	C                    	                   	                   	                      	                            	                       	                  	                    	                   	F                   	F                    	C                       	                   	                  	                      	                       	                     	                      	R                      	                     	                         	From Leg 159 Ch 37 Table 5

  SR	Pliocene         	                 	CN12a             	              	159	 961	A	  2	R	CC	   0.00	      3.4000	Shafik   	Nannofossils                                 	A              	G                 	               	                   	                        	                    	                       	                           	                       	                      	                 	                      	                  	                       	                         	                   	                	                       	                       	                          	                      	                      	                  	                    	                  	                    	                       	                     	                       	                       	                        	                         	                     	                          	                         	                    	                   	                  	                    	                    	                       	                     	                       	                    	                    	                          	                         	                           	                     	                       	                       	                      	C                        	C                      	                         	                      	                         	                     	                    	                     	                          	F                              	                       	                       	                         	                     	                    	                	                          	                     	                     	                           	                          	                      	                     	                        	                            	                          	                          	                    	                      	                   	                                	                       	                          	                                	                      	                            	                         	                       	                 	                  	                     	                 	                  	                 	                   	C                  	                    	                   	F                     	R                     	                     	                    	                          	                       	                         	                 	                     	                   	                      	                           	F                       	                    	                       	                      	                       	                 	                     	                               	+                    	C                    	                   	                   	                      	                            	                       	                  	                    	                   	F                   	R                    	R                       	                   	+                 	R                     	                       	                     	                      	                       	                     	                         	From Leg 159 Ch 37 Table 5

  SR	Pliocene         	                 	CN11b             	              	159	 961	A	  3	R	 1	  34.00	     13.4400	Shafik   	Nannofossils                                 	A              	G                 	               	                   	                        	                    	                       	                           	                       	                      	                 	                      	                  	                       	                         	                   	                	                       	                       	                          	                      	                      	                  	                    	                  	                    	                       	                     	                       	                       	                        	                         	                     	                          	                         	                    	                   	                  	                    	                    	                       	                     	                       	                    	                    	                          	                         	                           	                     	                       	                       	                      	+                        	+                      	                         	                      	                         	                     	                    	                     	                          	+                              	                       	                       	                         	+                    	                    	                	                          	                     	                     	                           	                          	                      	+                    	                        	                            	                          	                          	                    	                      	                   	                                	                       	                          	                                	                      	                            	                         	                       	                 	                  	R                    	                 	                  	                 	                   	C                  	                    	                   	+                     	+                     	                     	                    	                          	                       	                         	                 	                     	                   	R                     	                           	C                       	                    	R                      	                      	                       	                 	                     	                               	                     	+                    	                   	+                  	                      	                            	                       	R                 	+                   	                   	+                   	                     	C                       	                   	R                 	                      	                       	                     	+                     	                       	                     	                         	From Leg 159 Ch 37 Table 5
