Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Oridorsalis umbonatus,Gyroidinoides girardanus,Cibicidoides praemundulus,Cibicidoides eocaenus,Buliminella grata,Bulimina alazanensis,Siphonodosaria sp. cf. S. verneuili,Pseudonodosaria sp.,Pleurostomella sp. cf. P. brevis,Oolina sp.,Buliminella grata spinosa,Pleurostomella bierigi,Osangularia mexicana,Nodosarella sp.,Bulimina jarvisi,Vulvulina spinosa,Siphonodosaria cf. aculeata,Pyramidulina sp.,Pullenia bulloides,Pleurostomella sp.,Pleurostomella acuta,Nuttallides truempyi,Anomalinoides sp.,Stilostomella spp.,Pleurostomella spp.,Lenticulina sp.,Globocassidulina globosa,Stilostomella subspinosa,Plectofrondicularia paucicostata,Palliolatella sp.,Nodogenerina sp. B,Guttulina problema,Cassidulina havanensis,Bulimina glomarchallengeri,?Gyroidinoides sp.,Pleurostomella incrassata,Nodogenerina sp. A,Ellipsoidina sp.,Ellipsoglandulina sp.,Chrysalogonium sp.,?Ellipsodimorphina sp.,Quadratobuliminella pyramidalis,Pullenia quinqueloba,Pseudofissurina crassicarinata,Bulimina sp.,Astacolus sp.,Karreriella bradyi,Gyroidinoides sp. A,Globocassidulina subglobosa,Stilostomella sp.,Spiroplectammina sp.,Siphonodosaria sp.,Protoglobobulimina sp.,Laevidentalina sp.,Karreriella subglabra,Globobulimina sp.,?Siphonodosaria sp.,?Pygmaeoseistron sp.,?Pseudoolina sp. cf. P. bouei,Cibicidoides renzi,Pullenia spp.,Melonis barleeanus,Laticarinina pauperata,Cibicidoides robertsonianus,Uvigerina graciliformis,Rhabdammina? sp.,Pyrgo murrhina,Gyroidinoides sp. B,Glomospira charoides,Cyclammina pusilla,Cibicidoides spp.,Fissurina spp.,Ehrenbergina pacifica,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,                  ,              ,125, 786,A,  6,X, 2,  61.00,     49.7100,Kaiho    ,Benthic Foraminifers                         ,               ,                  ,A                    ,                        ,                         ,                     ,                 ,                    ,                                   ,                   ,                                ,          ,                         ,                      ,                    ,               ,                ,                 ,                           ,                ,R                 ,                  ,                    ,                    ,                 ,F                 ,                   ,               ,                        ,                        ,                                ,                 ,                  ,                  ,                      ,                          ,                  ,                         ,                  ,                ,                     ,                  ,                      ,                               ,                    ,                              ,            ,             ,                  ,F                  ,                           ,                 ,                    ,                  ,                      ,                  ,                     ,                 ,                   ,                    ,                             ,                  ,             ,                  ,                      ,                           ,                       ,                ,              ,R                  ,                    ,                  ,                 ,R             ,R                    ,from ODP 126 SR. Chapter 19. Table 3. pages 290-291. Data in table from sites drilled in Leg 125 (outer-arc high).
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,                  ,              ,125, 786,A,  7,X, 2, 100.00,     59.6000,Kaiho    ,Benthic Foraminifers                         ,               ,                  ,A                    ,                        ,                         ,                     ,                 ,                    ,                                   ,                   ,                                ,          ,                         ,                      ,                    ,               ,                ,                 ,                           ,                ,R                 ,                  ,                    ,                    ,                 ,A                 ,R                  ,               ,                        ,                        ,                                ,                 ,                  ,                  ,                      ,                          ,                  ,                         ,                  ,                ,                     ,                  ,                      ,                               ,                    ,                              ,            ,             ,                  ,                   ,                           ,                 ,                    ,                  ,                      ,                  ,                     ,                 ,                   ,                    ,                             ,                  ,F            ,F                 ,F                     ,                           ,R                      ,C               ,R             ,A                  ,F                   ,R                 ,F                ,              ,                     ,from ODP 126 SR. Chapter 19. Table 3. pages 290-291. Data in table from sites drilled in Leg 125 (outer-arc high).
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,                  ,              ,125, 786,A,  8,X, 1,  51.00,     67.6100,Kaiho    ,Benthic Foraminifers                         ,               ,                  ,F                    ,                        ,                         ,                     ,                 ,                    ,                                   ,                   ,                                ,          ,                         ,                      ,R                   ,               ,                ,                 ,                           ,                ,R                 ,                  ,                    ,                    ,                 ,F                 ,F                  ,               ,                        ,                        ,                                ,                 ,                  ,                  ,                      ,                          ,                  ,                         ,                  ,                ,                     ,                  ,                      ,                               ,                    ,                              ,            ,             ,                  ,                   ,A                          ,                 ,                    ,                  ,                      ,                  ,                     ,                 ,                   ,                    ,                             ,                  ,F            ,A                 ,F                     ,R                          ,                       ,                ,              ,                   ,                    ,                  ,                 ,              ,                     ,from ODP 126 SR. Chapter 19. Table 3. pages 290-291. Data in table from sites drilled in Leg 125 (outer-arc high).
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Oligocene   ,                 ,                  ,              ,125, 786,A,  9,X, 5, 100.00,     83.8000,Kaiho    ,Benthic Foraminifers                         ,               ,                  ,C                    ,                        ,                         ,F                    ,                 ,                    ,                                   ,                   ,                                ,          ,                         ,                      ,R                   ,               ,A               ,                 ,                           ,                ,                  ,                  ,                    ,                    ,                 ,A                 ,C                  ,               ,                        ,                        ,                                ,                 ,                  ,                  ,                      ,                          ,                  ,                         ,                  ,                ,                     ,                  ,                      ,                               ,                    ,                              ,            ,             ,F                 ,F                  ,                           ,                 ,                    ,                  ,                      ,                  ,                     ,                 ,                   ,                    ,                             ,A                 ,             ,                  ,                      ,                           ,                       ,                ,              ,                   ,                    ,                  ,                 ,              ,                     ,from ODP 126 SR. Chapter 19. Table 3. pages 290-291. Data in table from sites drilled in Leg 125 (outer-arc high).
