Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Theocorys spongoconus,Stylacontarium acquilonium,Siphonosphaera spinosa,Otosphaera auriculata,Astrophacus sp.,Hexacontium sp.,Stichopilium bicorne,Spongaster tetras tetras,Saturnalis circularis,Pterocanium trilobum,Peripyramis circumtexta,Lamprocyclas maritalis maritalis,Haeckeliella sp.,Eucyrtidium punctatum,Eucyrtidium matuyamai,Eucyrtidium hexasticum,Dictyocoryne profunda,Cornutella profunda,Cornutella bimarginata,Clathrocyclas bicornis,Botryostrobus auritus group,Amphirhopalum ypsilon,Spongocore cylindrica,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,                 ,S. pentas         ,A. ypsilon    ,125, 786,A,  1,H, 6, 144.00,      8.9400,Wang     ,Radiolarians                                 ,F              ,P                 ,                     ,R                         ,                      ,                     ,               ,               ,                    ,                        ,                     ,                    ,                       ,                                ,                ,                     ,                     ,                      ,                     ,                   ,                      ,                      ,                           ,R                    ,R                    ,from 125SR. Chapter 6. Table 3. pages 103 - 104.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,                 ,S. pentas         ,A. ypsilon    ,125, 786,A,  1,H,CC,   5.00,      9.5800,Wang     ,Radiolarians                                 ,C              ,M                 ,                     ,F                         ,                      ,                     ,               ,               ,R                   ,F                       ,F                    ,R                   ,F                      ,F                               ,F               ,F                    ,F                    ,F                     ,F                    ,R                  ,F                     ,R                     ,F                          ,R                    ,                     ,from 125SR. Chapter 6. Table 3. pages 103 - 104.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,D. penultima (RN8),              ,125, 786,A,  5,X,CC,   5.00,     43.6100,Wang     ,Radiolarians                                 ,F              ,P                 ,                     ,R                         ,                      ,                     ,               ,R              ,                    ,                        ,                     ,                    ,                       ,                                ,                ,                     ,                     ,                      ,                     ,                   ,                      ,                      ,                           ,                     ,                     ,from 125SR. Chapter 6. Table 3. pages 103 - 104.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,D. alata (RN5)    ,              ,125, 786,A,  8,X,CC,   3.00,     68.2000,Wang     ,Radiolarians                                 ,F              ,P                 ,R                    ,R                         ,F                     ,R                    ,R              ,               ,                    ,                        ,                     ,                    ,                       ,                                ,                ,                     ,                     ,                      ,                     ,                   ,                      ,                      ,                           ,                     ,                     ,from 125SR. Chapter 6. Table 3. pages 103 - 104.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
