Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Sphenolithus spiniger,Sphenolithus intercalaris,Discoaster saipanensis,Discoaster deflandrei,Discoaster barbadiensis,Cyclicargolithus floridanus floridanus,Coccolithus pelagicus,Coccolithus formosus,Chiasmolithus expansus,Campylosphaera dela,Sphenolithus moriformis,Sphenolithus furcatolithoides,Reticulofenestra samodurovii,Reticulofenestra reticulata,Helicosphaera spp.,Dictyococcites daviesii,Chiasmolithus solitus,Chiasmolithus consuetus,Calcidiscus protoannulus,Sphenolithus pseudoradians,Coronocyclus nitescens,Chiasmolithus grandis,Helicosphaera heezenii,Coccolithus eopelagicus,Reticulofenestra umbilica,Nannotetrina cristata,Helicosphaera compacta,Discoaster binodosus,Markalius inversus,Blackites spinosus,Sphenolithus radians,Zygrhablithus bijugatus,Discoaster tanii nodifer,Reticulofenestra bisecta,Pontosphaera spp.,Helicosphaera seminulum,Helicosphaera euphratis,Discoaster tanii,Reticulofenestra hillae,Chiasmolithus oamaruensis,Isthmolithus recurvus,Cyclicargolithus floridanus abisectus,Helicosphaera wilcoxonii,Helicosphaera perch-nielseniae,Sphenolithus distentus,Sphenolithus predistentus,Helicosphaera recta,Clausicoccus fenestratus,Thoracosphaera spp.,Triquetrorhabdulus carinatus,Helicosphaera kamptneri,Sphenolithus ciperoensis,Chiasmolithus altus,Triquetrorhabdulus milowii,Dictyococcites scrippsae,Coccolithus miopelagicus,Pontosphaera multipora,Helicosphaera obliqua,Discoaster variabilis,Reticulofenestra pseudoumbilica,Sphenolithus heteromorphus,Discoaster stellulus,Discoaster sanmiguelensis,Reticulofenestra minutula,Calcidiscus leptoporus,Discoaster kugleri,Discoaster exilis,Calcidiscus macintyrei,Discoaster calcaris,Discoaster brouweri,Triquetrorhabdulus rugosus,Discoaster triradiatus,Discoaster pansus,Discoaster challengeri,Catinaster umbrellus,Catinaster coalitus,Catinaster calyculus,Umbilicosphaera sibogae,Discoaster pentaradiatus,Discoaster blackstockae,Discoaster berggrenii,Discoaster quinqueramus,Discoaster decorus,Discoaster surculus,Discoaster intercalaris,Amaurolithus delicatus,Amaurolithus tricorniculatus,Amaurolithus primus,Discoaster asymmetricus,Discoaster tamalis,Discoaster quadramus,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,CN12a             ,              ,125, 786,A,  1,H, 3,  96.00,      3.9600,Ciampo   ,Nannofossils                                 ,               ,M                 ,                     ,                         ,                      ,                     ,                       ,                                      ,                     ,                    ,                      ,                   ,                       ,                             ,                            ,                           ,                  ,                       ,                     ,                       ,                        ,                          ,                      ,                     ,                      ,                       ,                         ,                     ,                      ,                    ,                  ,                  ,                    ,                       ,                        ,                        ,                 ,                       ,                       ,                ,                       ,                         ,                     ,                                     ,                        ,                              ,                      ,                         ,                   ,                        ,                   ,                            ,                       ,                        ,                   ,                          ,                        ,                        ,                      ,                     ,.3%                  ,                               ,                          ,                    ,                         ,                         ,                      ,                  ,                 ,                      ,                   ,84.3%              ,                          ,                      ,                 ,                      ,                    ,                   ,                    ,                       ,13.7%                   ,                       ,                     ,                       ,                  ,.3%                ,                       ,                      ,                            ,                   ,                       ,.3%               ,                    ,from 125SR.Chapter 2.Tables 5 and 7.pages 31 and 38.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,CN12a             ,              ,125, 786,A,  1,H, 4,  92.00,      5.4200,Ciampo   ,Nannofossils                                 ,               ,M                 ,                     ,                         ,                      ,                     ,                       ,                                      ,                     ,                    ,                      ,                   ,                       ,                             ,                            ,                           ,                  ,                       ,                     ,                       ,                        ,                          ,                      ,                     ,                      ,                       ,                         ,                     ,                      ,                    ,                  ,                  ,                    ,                       ,                        ,                        ,                 ,                       ,                       ,                ,                       ,                         ,                     ,                                     ,                        ,                              ,                      ,                         ,                   ,                        ,                   ,                            ,                       ,                        ,                   ,                          ,                        ,                        ,                      ,                     ,.3%                  ,                               ,                          ,                    ,                         ,                         ,                      ,                  ,                 ,                      ,                   ,33.0%              ,                          ,                      ,                 ,                      ,                    ,                   ,                    ,                       ,58.7%                   ,                       ,                     ,                       ,                  ,5.0%               ,                       ,                      ,                            ,                   ,                       ,2.7%              ,.3%                 ,from 125SR.Chapter 2.Tables 5 and 7.pages 31 and 38.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,CN12a             ,              ,125, 786,A,  1,H, 5,  52.00,      6.5200,Ciampo   ,Nannofossils                                 ,               ,G                 ,                     ,                         ,                      ,                     ,                       ,                                      ,                     ,                    ,                      ,                   ,                       ,                             ,                            ,                           ,                  ,                       ,                     ,                       ,                        ,                          ,                      ,                     ,                      ,                       ,                         ,                     ,                      ,                    ,                  ,                  ,                    ,                       ,                        ,                        ,                 ,                       ,                       ,                ,                       ,                         ,                     ,                                     ,                        ,                              ,                      ,                         ,                   ,                        ,                   ,                            ,                       ,                        ,                   ,                          ,                        ,                        ,                      ,                     ,                     ,                               ,                          ,                    ,                         ,                         ,                      ,                  ,                 ,                      ,                   ,9.7%               ,                          ,.3%                   ,                 ,                      ,                    ,                   ,                    ,                       ,79.7%                   ,                       ,                     ,                       ,                  ,6.7%               ,                       ,                      ,                            ,                   ,1.3%                   ,2.3%              ,                    ,from 125SR.Chapter 2.Tables 5 and 7.pages 31 and 38.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,CN12a             ,              ,125, 786,A,  1,H, 6, 120.00,      8.7000,Ciampo   ,Nannofossils                                 ,               ,M                 ,                     ,                         ,                      ,                     ,                       ,                                      ,                     ,                    ,                      ,                   ,                       ,                             ,                            ,                           ,                  ,                       ,                     ,                       ,                        ,                          ,                      ,                     ,                      ,                       ,                         ,                     ,                      ,                    ,                  ,                  ,                    ,                       ,                        ,                        ,                 ,                       ,                       ,                ,                       ,                         ,                     ,                                     ,                        ,                              ,                      ,                         ,                   ,                        ,                   ,                            ,                       ,                        ,                   ,                          ,                        ,                        ,                      ,                     ,.3%                  ,                               ,                          ,                    ,                         ,                         ,                      ,                  ,                 ,                      ,                   ,28.0%              ,                          ,1.3%                  ,                 ,                      ,                    ,                   ,                    ,                       ,45.0%                   ,                       ,                     ,                       ,                  ,13.0%              ,                       ,                      ,                            ,                   ,5.3%                   ,7.0%              ,                    ,from 125SR.Chapter 2.Tables 5 and 7.pages 31 and 38.
