Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Praehedbergella ruka papillata,Praehedbergella pseudosigali,Hedbergella sigali,Hedbergella occulta,Blefuscuiana daminiae,Schackoina cenomana,Lilliputianella globulifera,Leupoldina cabri,Hedbergella infracretacea,Hedbergella aptiana,Globigerinelloides duboisi,Globigerinelloides blowi,Claviblowiella sigali,Blefuscuiana speetonensis s.s.,Praehedbergella tuschepsensis grigelisi,Globigerinelloides aptiense,Blefuscuiana hispaniae,Globigerinelloides maridalensis,Globigerinelloides ferreolensis,Claviblowiella minai,Blowiella solida,Blowiella moulladei,Blowiella gottisi,Blefuscuiana hexacamerata,Praehedbergella ruka contritus,Lilliputianella longorii,Hedbergella gorbachikae,Hedbergella delrioensis,Globigerinelloides barri,Globigerinelloides algerianus,Blefuscuiana infracretacea occidentalis,Blefuscuiana excelsa cumulus,Hedbergella praetrocoidea,Hedbergella excelsa,Hedbergella trocoidea,Ticinella bejaouaensis,Hedbergella rischi,Whiteinella baltica,Globigerinelloides messinae,Hastigerinoides subdigitata,Hedbergella holmdelensis,Globigerinelloides alvarezi,Heterohelix striata,Biglobigerinella multispina,Radotruncana calcarata,Globotruncanita subspinosa,Globotruncanita stuartiformis,Globotruncanita elevata,Globotruncana ventricosa,Globotruncana linneiana,Globotruncana lapparenti,Globotruncana bulloides,Contusotruncana fornicata,Pseudoguembelina costulata,Globotruncanella havanensis,Archaeoglobigerina cretacea,Rugoglobigerina hexacamerata,Pseudoguembelina excolata,Globotruncana aegyptiaca,Globotruncana nothi,Globotruncana arca,Globotruncana falsostuarti,Rugoglobigerina rugosa,Racemiguembelina fructicosa,Pseudotextularia elegans,Pseudoguembelina palpebra,Planoglobulina carseyae,Heterohelix globulosa,Globotruncanita stuarti,Globotruncanita conica,Gansserina gansseri,Contusotruncana contusa,Rugotruncana subpennyi,Gansserina wiedenmayeri,Rugoglobigerina rotundata,Abathomphalus mayaroensis,Woodringina hornerstownensis,Woodringina claytonensis,Praemurica taurica,Praemurica pseudoinconstans,Parasubbotina varianta,Parasubbotina pseudobulloides,Chiloguembelina morsei,Morozovella conicotruncata,Morozovella angulata,Morozovella acuta,Igorina albeari,Globanomalina chapmani,Acarinina nitida,Subbotina velascoensis,Subbotina triangularis,Parasubbotina variospira,Morozovella velascoensis,Morozovella occlusa,Subbotina triloculinoides,Subbotina cancellata,Morozovella subbotinae,Morozovella pasionensis,Morozovella apanthesma,Morozovella aequa,Igorina tadjikistanensis,Acarinina soldadoensis,Acarinina subsphaerica,Morozovella marginodentata,Morozovella gracilis,Subbotina linaperta,Morozovella aragonensis,Igorina broedermanni,Globigerinatheka senni,Acarinina spinuloinflata,Truncorotaloides rohri,Subbotina frontosa,Morozovella spinulosa,Morozovella lehneri,Hastigerina bolivariana,Acarinina primitiva,Subbotina lozanoi,Globigerinatheka subconglobata,Globigerinatheka kugleri,Acarinina topilensis,Acarinina matthewsae,Acarinina bullbrooki,Turborotalia possagnoensis,Turborotalia pomeroli,Subbotina eocaena,Globigerinatheka index,Catapsydrax dissimilis,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,192,1186,A,  2,R,CC,   0.00,    698.1800,Sikora   ,Planktonic Foraminifers                      ,A              ,M                 ,                              ,                            ,                  ,                   ,                     ,                   ,                           ,                ,                         ,                   ,                          ,                        ,                     ,                              ,                                       ,                           ,                      ,                               ,                               ,                    ,                ,                   ,                 ,                         ,                              ,                        ,                       ,                       ,                        ,                             ,                                       ,                            ,                         ,                   ,                     ,                      ,                  ,                   ,                           ,                           ,                        ,                           ,                   ,                           ,                      ,                          ,                             ,                       ,                        ,                       ,                        ,                       ,                         ,                          ,                           ,                           ,                            ,                         ,                        ,                   ,                  ,                          ,                      ,                           ,                        ,                         ,                       ,                     ,                       ,                      ,                   ,                       ,                      ,                       ,                         ,                         ,                            ,                        ,                  ,                           ,                      ,                             ,                      ,                          ,                    ,                 ,               ,                      ,                ,                      ,                      ,                        ,                        ,                   ,                         ,                    ,                      ,                       ,                      ,                 ,                        ,                      ,                      ,                          ,                    ,F                  ,                       ,                    ,A                     ,                        ,                      ,                  ,                     ,                   ,                       ,                   ,                 ,                              ,                        ,                    ,                    ,                    ,R                         ,A                    ,A                ,P                     ,R                     ,Upper P12 - middle Eocene
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,192,1186,A,  3,R, 1,  46.00,    707.3600,Sikora   ,Planktonic Foraminifers                      ,A              ,G                 ,                              ,                            ,                  ,                   ,                     ,                   ,                           ,                ,                         ,                   ,                          ,                        ,                     ,                              ,                                       ,                           ,                      ,                               ,                               ,                    ,                ,                   ,                 ,                         ,                              ,                        ,                       ,                       ,                        ,                             ,                                       ,                            ,                         ,                   ,                     ,                      ,                  ,                   ,                           ,                           ,                        ,                           ,                   ,                           ,                      ,                          ,                             ,                       ,                        ,                       ,                        ,                       ,                         ,                          ,                           ,                           ,                            ,                         ,                        ,                   ,                  ,                          ,                      ,                           ,                        ,                         ,                       ,                     ,                       ,                      ,                   ,                       ,                      ,                       ,                         ,                         ,                            ,                        ,                  ,                           ,                      ,                             ,                      ,                          ,                    ,                 ,               ,                      ,                ,                      ,                      ,                        ,                        ,                   ,                         ,                    ,                      ,                       ,                      ,                 ,                        ,                      ,                      ,                          ,                    ,F                  ,A                      ,F                   ,F                     ,F                       ,F                     ,                  ,F                    ,P                  ,                       ,                   ,R                ,R                             ,R                       ,F                   ,R                   ,A                   ,                          ,                     ,                 ,                      ,                      ,P11 -  lower middle Eocene
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,192,1186,A,  4,R, 1,  75.00,    717.2500,Sikora   ,Planktonic Foraminifers                      ,A              ,M                 ,                              ,                            ,                  ,                   ,                     ,                   ,                           ,                ,                         ,                   ,                          ,                        ,                     ,                              ,                                       ,                           ,                      ,                               ,                               ,                    ,                ,                   ,                 ,                         ,                              ,                        ,                       ,                       ,                        ,                             ,                                       ,                            ,                         ,                   ,                     ,                      ,                  ,                   ,                           ,                           ,                        ,                           ,                   ,                           ,                      ,                          ,                             ,                       ,                        ,                       ,                        ,                       ,                         ,                          ,                           ,                           ,                            ,                         ,                        ,                   ,                  ,                          ,                      ,                           ,                        ,                         ,                       ,                     ,                       ,                      ,                   ,                       ,                      ,                       ,                         ,                         ,                            ,                        ,                  ,                           ,                      ,                             ,                      ,                          ,                    ,                 ,               ,                      ,                ,                      ,                      ,                        ,                        ,                   ,                         ,                    ,                      ,                       ,                      ,                 ,                        ,                      ,                      ,                          ,                    ,                   ,R                      ,                    ,A                     ,F                       ,R                     ,R                 ,R                    ,P                  ,P                      ,F                  ,                 ,                              ,                        ,                    ,                    ,                    ,                          ,                     ,                 ,                      ,                      ,Thin-section #162: P11 -  lower middle Eocene
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,192,1186,A,  5,R,CC,   0.00,    726.9500,Sikora   ,Planktonic Foraminifers                      ,A              ,P                 ,                              ,                            ,                  ,                   ,                     ,                   ,                           ,                ,                         ,                   ,                          ,                        ,                     ,                              ,                                       ,                           ,                      ,                               ,                               ,                    ,                ,                   ,                 ,                         ,                              ,                        ,                       ,                       ,                        ,                             ,                                       ,                            ,                         ,                   ,                     ,                      ,                  ,                   ,                           ,                           ,                        ,                           ,                   ,                           ,                      ,                          ,                             ,                       ,                        ,                       ,                        ,                       ,                         ,                          ,                           ,                           ,                            ,                         ,                        ,                   ,                  ,                          ,                      ,                           ,                        ,                         ,                       ,                     ,                       ,                      ,                   ,                       ,                      ,                       ,                         ,                         ,                            ,                        ,                  ,                           ,                      ,                             ,                      ,                          ,                    ,                 ,               ,                      ,                ,                      ,                      ,                        ,                        ,                   ,                         ,                    ,P                     ,                       ,                      ,                 ,                        ,                      ,                      ,                          ,                    ,                   ,P                      ,P                   ,P                     ,P                       ,                      ,                  ,                     ,                   ,                       ,                   ,                 ,                              ,                        ,                    ,                    ,                    ,                          ,                     ,                 ,                      ,                      ,P9 - latest early Eocene
