Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Bolboforma subfragori	Bolboforma pentaspinosa	Bolboforma laevis	Bolboforma compressispinosa	Bolboforma clodiusi	Bolboforma capsula	Bolboforma metzmacheri	Bolboforma cf. subfragori	Bolboforma intermedia	Comment



  SR	Early Pliocene   	                 	B. intermedia     	              	120	 747	A	  4	H	 2	   0.00	     29.5000	Mackensen	Bolboforms                                   	               	                  	                     	                       	                 	                           	                   	                  	                      	R                        	                     	from ODP Leg 120 SR Vol 2 Chapter 37 Fig 4 p 679

  SR	Early Pliocene   	                 	B. intermedia     	              	120	 747	A	  4	H	 2	  72.00	     30.2200	Mackensen	Bolboforms                                   	               	                  	                     	                       	                 	                           	                   	                  	                      	F                        	R                    	from ODP Leg 120 SR Vol 2 Chapter 37 Fig 4 p 679

  SR	Early Pliocene   	                 	B. intermedia     	              	120	 747	A	  4	H	 2	 108.00	     30.5800	Mackensen	Bolboforms                                   	               	                  	                     	                       	                 	                           	                   	                  	                      	F                        	                     	from ODP Leg 120 SR Vol 2 Chapter 37 Fig 4 p 679

  SR	Early Pliocene   	                 	B. intermedia     	              	120	 747	A	  4	H	 3	  72.00	     31.7200	Mackensen	Bolboforms                                   	               	                  	                     	                       	                 	                           	                   	                  	                      	R                        	                     	from ODP Leg 120 SR Vol 2 Chapter 37 Fig 4 p 679

  SR	Late Miocene     	                 	B. intermedia     	              	120	 747	A	  4	H	 4	  72.00	     33.2200	Mackensen	Bolboforms                                   	               	                  	                     	                       	                 	                           	                   	                  	                      	R                        	                     	from ODP Leg 120 SR Vol 2 Chapter 37 Fig 4 p 679

  SR	Late Miocene     	                 	B. intermedia     	              	120	 747	A	  4	H	 4	 108.00	     33.5800	Mackensen	Bolboforms                                   	               	                  	                     	                       	                 	                           	                   	                  	                      	R                        	                     	from ODP Leg 120 SR Vol 2 Chapter 37 Fig 4 p 679

  SR	Late Miocene     	                 	B. intermedia     	              	120	 747	A	  4	H	 5	  72.00	     34.7200	Mackensen	Bolboforms                                   	               	                  	                     	                       	                 	                           	                   	                  	                      	R                        	                     	from ODP Leg 120 SR Vol 2 Chapter 37 Fig 4 p 679

  SR	Late Miocene     	                 	B. intermedia     	              	120	 747	A	  4	H	 5	 108.00	     35.0800	Mackensen	Bolboforms                                   	               	                  	                     	                       	                 	                           	                   	                  	                      	R                        	                     	from ODP Leg 120 SR Vol 2 Chapter 37 Fig 4 p 679

  SR	Late Miocene     	                 	B. metzmacheri    	              	120	 747	A	  4	H	 6	  36.00	     35.8600	Mackensen	Bolboforms                                   	               	                  	                     	                       	                 	                           	                   	                  	R                     	                         	                     	from ODP Leg 120 SR Vol 2 Chapter 37 Fig 4 p 679

  SR	Late Miocene     	                 	B. metzmacheri    	              	120	 747	A	  4	H	 6	 108.00	     36.5800	Mackensen	Bolboforms                                   	               	                  	                     	                       	                 	                           	                   	                  	R                     	                         	                     	from ODP Leg 120 SR Vol 2 Chapter 37 Fig 4 p 679

  SR	Late Miocene     	                 	B. metzmacheri    	              	120	 747	A	  4	H	 6	 144.00	     36.9400	Mackensen	Bolboforms                                   	               	                  	                     	                       	                 	                           	                   	                  	R                     	                         	                     	from ODP Leg 120 SR Vol 2 Chapter 37 Fig 4 p 679

  SR	Late Miocene     	                 	B. metzmacheri    	              	120	 747	A	  4	H	 7	  72.00	     37.7200	Mackensen	Bolboforms                                   	               	                  	                     	                       	                 	                           	                   	                  	R                     	                         	                     	from ODP Leg 120 SR Vol 2 Chapter 37 Fig 4 p 679

  SR	Late Miocene     	                 	B. metzmacheri    	              	120	 747	A	  4	H	CC	  10.00	     37.9300	Mackensen	Bolboforms                                   	               	                  	                     	                       	R                	                           	                   	                  	A                     	                         	                     	from ODP Leg 120 SR Vol 2 Chapter 37 Fig 4 p 679

  SR	Late Miocene     	                 	                  	              	120	 747	A	  6	H	 2	  72.00	     49.2200	Mackensen	Bolboforms                                   	               	                  	                     	                       	                 	                           	R                  	F                 	                      	                         	                     	from ODP Leg 120 SR Vol 2 Chapter 37 Fig 4 p 679

  SR	Middle Miocene   	                 	                  	              	120	 747	A	  6	H	 4	  72.00	     52.2200	Mackensen	Bolboforms                                   	               	                  	A                    	                       	                 	R                          	                   	                  	                      	                         	                     	from ODP Leg 120 SR Vol 2 Chapter 37 Fig 4 p 679

  SR	Middle Miocene   	                 	                  	              	120	 747	A	  7	H	 2	  72.00	     58.7200	Mackensen	Bolboforms                                   	               	                  	R                    	                       	                 	                           	                   	                  	                      	                         	                     	from ODP Leg 120 SR Vol 2 Chapter 37 Fig 4 p 679

  SR	Middle Miocene   	                 	B. compressispinosa	              	120	 747	A	  7	H	 4	  72.00	     61.7200	Mackensen	Bolboforms                                   	               	                  	R                    	R                      	R                	A                          	                   	                  	                      	                         	                     	from ODP Leg 120 SR Vol 2 Chapter 37 Fig 4 p 679

