Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Heterohelix reussi	Hedbergella sliteri	Hedbergella aff. monmouthensis	Globotruncana sp.	Globigerinelloides sp. 1	Globigerinelloides impensus	Archaeoglobigerina australis	Heterohelix navarroensis	Globotruncana arca	Heterohelix planata	Hedbergella sp. 1	Globotruncana linneiana	Globotruncana falsostuarti	Globigerinelloides sp. 2	Globigerinelloides multispinus	Globotruncana bulloides	Heterohelix globulosa	Rugotruncana tradinghousensis	Hedbergella holmdelensis	Globotruncanella havanensis	Globotruncanella citae	Biglobigerinella sp.	Rugotruncana subpennyi	Rugotruncana circumnodifer	Archaeoglobigerina sp. 1	Schackoina multispinata	Guembelitria cretacea	Tenuitellinata juvenilis	Tenuitellinata angustiumbilicata	Tenuitella munda/juvenilis transition	Tenuitella munda	Tenuitella gemma	Subbotina labiacrassata	Subbotina euapertura	Subbotina angiporoides	Paragloborotalia nana	Globorotaloides suteri	Globigerina officinalis	Globigerina cf. venezuelana	Chiloguembelina spp.	Catapsydrax martini	Catapsydrax dissimilis	Tenuitellinata juvenilis/uvula transition	Subbotina cf. tapuriensis	Globigerinita boweni	Catapsydrax sp. (nonbullate form)	Globigerinita praestainforthi	Tenuitellinata uvula	Globigerina bulloides	Globigerina brazieri	Globigerina gortanii	Globigerina woodi	Turborotalita quinqueloba	Paragloborotalita incognita	Globigerinita glutinata	Globigerinita naparimaensis	Paragloborotalia semivera	Tenuitellinata pseudoedita	Tenuitella minutissima	Globorotalia praescitula	Tenuitellinata selleyi	Tenuitella clemenciae	Globorotalia zealandica	Globorotalia pseudomiozea	Tenuitella jamesi	Globigerina cf. connecta	Globigerina woodi/disjuncta transition	Globorotalia pseudomiozea/miozea transition	Globorotalia miozea	Globorotalia mayeri	Neogloboquadrina continuosa	Neogloboquadrina nympha	Globorotalia scitula	Neogloboquadrina pachyderma	Neogloboquadrina continuosa/pachyderma transition	Globigerina cf. bulloides	Globorotalia conoidea	Globorotalia sphericomiozea	Turborotalia spp. spp. (small)	Globorotalia puncticulata	Globigerina bulloides antarctica	Comment



  SR	Pleistocene      	                 	                  	              	120	 747	A	  1	H	 3	  50.00	      3.5000	Li       	Planktonic Foraminifers                      	               	                  	                  	                   	                              	                 	                        	                           	                            	                        	                  	                   	                 	                       	                          	                        	                              	                       	                     	                             	                        	                           	                      	                    	                      	                          	                        	                       	                     	                        	                                	                                     	                	                	                       	                    	                      	                     	                      	                       	                           	                    	                   	                      	                                         	                         	                    	                                 	                             	                    	12                   	                    	                    	                 	                         	                           	                       	                           	                         	                          	                      	                        	                      	                     	                       	                         	                 	                        	                                      	                                           	                   	                   	                           	                       	                    	185                        	2                                                	                         	                     	                           	                              	1                        	5                               	from ODP Leg 120 SR Vol 2 Chapter 32 Table 2 p 572-577

  SR	Pleistocene      	                 	                  	              	120	 747	A	  1	H	 3	  50.00	      3.5000	Li       	Planktonic Foraminifers                      	               	                  	                  	                   	                              	                 	                        	                           	                            	                        	                  	                   	                 	                       	                          	                        	                              	                       	                     	                             	                        	                           	                      	                    	                      	                          	                        	                       	                     	                        	                                	                                     	                	                	                       	                    	                      	                     	                      	                       	                           	                    	                   	                      	                                         	                         	?                   	                                 	                             	18                  	                     	                    	                    	                 	17                       	                           	?                      	                           	                         	                          	                      	                        	                      	                     	                       	                         	                 	                        	                                      	                                           	                   	                   	                           	                       	4                   	158                        	                                                 	                         	                     	                           	5                             	                         	2                               	from ODP Leg 120 SR Vol 2 Chapter 32 Table 2 p 572-577

  SR	Pleistocene      	                 	                  	              	120	 747	A	  1	H	CC	   0.00	      8.8900	Li       	Planktonic Foraminifers                      	               	                  	                  	                   	                              	                 	                        	                           	                            	                        	                  	                   	                 	                       	                          	                        	                              	                       	                     	                             	                        	                           	                      	                    	                      	                          	                        	                       	                     	                        	                                	                                     	                	                	                       	                    	                      	                     	                      	                       	                           	                    	                   	                      	                                         	                         	                    	                                 	                             	                    	7                    	                    	                    	                 	                         	                           	                       	                           	                         	                          	                      	                        	                      	                     	                       	                         	                 	                        	                                      	                                           	                   	                   	                           	                       	                    	145                        	4                                                	                         	                     	                           	                              	15                       	6                               	from ODP Leg 120 SR Vol 2 Chapter 32 Table 2 p 572-577

  SR	Pleistocene      	                 	                  	              	120	 747	A	  1	H	CC	   0.00	      8.8900	Li       	Planktonic Foraminifers                      	               	                  	                  	                   	                              	                 	                        	                           	                            	                        	                  	                   	                 	                       	                          	                        	                              	                       	                     	                             	                        	                           	                      	                    	                      	                          	                        	                       	                     	                        	                                	                                     	                	                	                       	                    	                      	                     	                      	                       	                           	                    	                   	                      	                                         	                         	                    	                                 	                             	9                   	5                    	                    	                    	                 	22                       	                           	                       	                           	                         	                          	                      	                        	                      	                     	                       	                         	                 	                        	                                      	                                           	                   	                   	                           	                       	                    	180                        	                                                 	                         	                     	                           	3                             	6                        	                                	from ODP Leg 120 SR Vol 2 Chapter 32 Table 2 p 572-577
