Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Tsuga taxa,Taxus taxa,Sphagnum taxa,Rosaceae taxa,Polypodiaceae taxa,Pinus taxa,Picea taxa,Myrica taxa,Lycopodiaceae taxa,Gramineae taxa,Ericaceae taxa,Cyperaceae taxa,Compositae taxa,Chenopodiaceae taxa,Betula taxa,Alnus taxa,Abies taxa,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 887,A,  1,H, 1,  45.00,      0.4500,Morley   ,Pollen/Spores                                ,               ,                  ,0         ,1         ,25           ,3            ,15                ,13        ,5         ,1          ,25                ,1             ,0             ,2              ,7              ,3                  ,9          ,25        ,0         ,Total pollen = 72; Total spores = 65; from Leg 145 SR; Ch 10; Table 2; p 175
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 887,A,  1,H, 1, 120.00,      1.2000,Morley   ,Pollen/Spores                                ,               ,                  ,1         ,0         ,5            ,5            ,42                ,5         ,3         ,5          ,2                 ,8             ,4             ,7              ,12             ,2                  ,17         ,77        ,0         ,Total pollen = 146; Total spores = 49; from Leg 145 SR; Ch 10; Table 2; p 175
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 887,A,  1,H, 2,  45.00,      1.9500,Morley   ,Pollen/Spores                                ,               ,                  ,0         ,1         ,2            ,5            ,8                 ,20        ,6         ,1          ,0                 ,7             ,1             ,2              ,13             ,2                  ,9          ,44        ,0         ,Total pollen = 112; Total spores =10; from Leg 145 SR; Ch 10; Table 2; p 175
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 887,A,  1,H, 2, 120.00,      2.7000,Morley   ,Pollen/Spores                                ,               ,                  ,0         ,0         ,4            ,5            ,7                 ,43        ,9         ,2          ,2                 ,6             ,0             ,4              ,4              ,0                  ,7          ,37        ,1         ,Total pollen = 119; Total spores = 13; from Leg 145 SR; Ch 10; Table 2; p 175
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 887,A,  1,H, 3,  45.00,      3.4500,Morley   ,Pollen/Spores                                ,               ,                  ,1         ,2         ,1            ,1            ,7                 ,8         ,1         ,3          ,1                 ,0             ,1             ,0              ,3              ,0                  ,2          ,4         ,0         ,Total pollen = 26; Total spores = 9; from Leg 145 SR; Ch 10; Table 2; p 175
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
