Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Neogloboquadrina atlantica (sinistral),Neogloboquadrina atlantica (dextral),Globorotalia scitula,Globigerinita glutinata,Globigerina bulloides,Orbulina spp.,Globigerina umbilicata,Globigerina incisa,Neogloboquadrina pachyderma (sinistral),Neogloboquadrina pachyderma (dextral),Globigerina quinqueloba,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 887,A, 11,H, 7,  18.00,    101.3800,Ishman   ,Planktonic Foraminifers                      ,               ,M                 ,11                                    ,20                                  ,                    ,3                      ,31                   ,             ,24                    ,                  ,1                                      ,4                                    ,1                      ,Not identified = 0; Total count = 95; from Leg 145 SR; Ch 8; Table 4; p 146
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 887,A, 11,H, 7,  41.00,    101.6100,Ishman   ,Planktonic Foraminifers                      ,               ,G                 ,                                      ,4                                   ,1                   ,                       ,2                    ,             ,2                     ,                  ,                                       ,                                     ,                       ,Not identified = 0; Total count = 9; from Leg 145 SR; Ch 8; Table 4; p 146
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 887,A, 12,H, 1,  26.00,    101.9600,Ishman   ,Planktonic Foraminifers                      ,               ,G                 ,12                                    ,35                                  ,                    ,1                      ,231                  ,1            ,26                    ,                  ,1                                      ,5                                    ,                       ,Not identified = 5; Total count = 317; from Leg 145 SR; Ch 8; Table 4; p 146
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 887,A, 12,H, 1,  43.00,    102.1300,Ishman   ,Planktonic Foraminifers                      ,               ,G                 ,9                                     ,25                                  ,1                   ,2                      ,250                  ,             ,4                     ,5                 ,                                       ,6                                    ,                       ,Not identified = 3; Total count = 305; from Leg 145 SR; Ch 8; Table 4; p 146
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 887,A, 12,H, 1,  66.00,    102.3600,Ishman   ,Planktonic Foraminifers                      ,               ,M                 ,30                                    ,35                                  ,                    ,                       ,91                   ,             ,10                    ,                  ,                                       ,2                                    ,                       ,Not identified = 1; Total count = 169; from Leg 145 SR; Ch 8; Table 4; p 146
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 887,A, 12,H, 1,  83.00,    102.5300,Ishman   ,Planktonic Foraminifers                      ,               ,M                 ,5                                     ,12                                  ,                    ,                       ,11                   ,             ,                      ,                  ,                                       ,4                                    ,                       ,Not identified = 0; Total count = 32; from Leg 145 SR; Ch 8; Table 4; p 146
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
