Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Stylosphaera angelina,Stichocorys diploconus,Sphaeropyle langii,Lithocarpium titan,Lithocarpium polyacantha,Lithocampe subligata,Cyrtocapsella tetrapera,Cyrtocapsella cornuta,Cenosphaera coronataformis,Cenosphaera coronata,Acrospyris lingi,Stylatractus universus,Sphaeropyle robusta,Prunopyle hayesi,Lithopera renzae,Gen. et sp. indet,Eucyrtidium asanoi,Cycladophora cosma cosma,Corythospyris? sp.,Amphymenium amphistylium,Lipmanella redondoensis,Eucyrtidium inflatum,Cyrtocapsella japonica,Amphymenium amphistylium group,Theocorys redondoensis,Lychnocanoma nipponica nipponica,Dictyophimus splendens,Stichocorys delmontensis,Cornutella profunda,Lychnocanium nipponicum magnacornutum,Botryostrobus bramlettei,Phormostichoartus fistula,Lychnocanoma nipponica magnacornuta,Axoprunum bispiculum,Stichocorys peregrina,Actinomma popofskii,Stichocorys wolffii,Diplocyclas cornutoides,Stylacontarium acquilonium,Phormostichoartus pitomorphus,Cycladophora pliocenica,Axoprunum acquilonius,Stichocorys sp. P,Lychnocanium nipponicum,Androcyclas neoheteroporos,Clathrocyclas bicornis group,Lamprocyrtis heteroporos,Androcyclas heteroporos,Eucyrtidium calvertense,Botryostrobus auritus/australis,Botryostrobus aquilonaris,Haliommetta miocenica,Cycladophora davisiana davisiana,Lychnocanoma nipponica sakaii,Eucyrtidium matuyamai,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 887,A,  1,H, 1,  12.00,      0.1200,Morley   ,Radiolarians                                 ,F              ,G                 ,                     ,                      ,R                 ,                  ,                        ,                    ,                       ,                     ,                          ,                    ,                ,                      ,                   ,                ,                ,                 ,                  ,C                       ,                  ,                        ,                       ,                    ,                      ,                              ,                      ,                                ,                      ,                        ,                   ,                                     ,                        ,                         ,                                   ,                    ,                     ,                   ,                   ,                       ,                          ,                             ,                       ,                     ,                 ,                       ,                          ,                            ,                        ,                       ,                       ,                               ,C                        ,R                    ,F                               ,                             ,                     ,from Leg 145 Sr; Ch 4; Table 6; p 62-63
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 887,A,  1,H, 1,  52.00,      0.5200,Morley   ,Radiolarians                                 ,F              ,G                 ,                     ,                      ,R                 ,                  ,                        ,                    ,                       ,                     ,                          ,                    ,                ,                      ,                   ,                ,                ,                 ,                  ,F                       ,                  ,                        ,                       ,                    ,                      ,                              ,                      ,                                ,                      ,                        ,                   ,                                     ,                        ,                         ,                                   ,                    ,                     ,                   ,                   ,                       ,                          ,                             ,T                      ,                     ,                 ,                       ,                          ,                            ,                        ,                       ,                       ,                               ,T                        ,F                    ,C                               ,R                            ,                     ,from Leg 145 Sr; Ch 4; Table 6; p 62-63
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 887,A,  1,H, 2,  12.00,      1.6200,Morley   ,Radiolarians                                 ,R              ,G                 ,                     ,                      ,R                 ,                  ,                        ,                    ,                       ,                     ,                          ,                    ,                ,                      ,                   ,                ,                ,                 ,                  ,F                       ,                  ,                        ,                       ,                    ,                      ,                              ,                      ,                                ,                      ,                        ,                   ,                                     ,                        ,                         ,                                   ,                    ,                     ,                   ,                   ,                       ,                          ,                             ,T                      ,                     ,                 ,                       ,                          ,                            ,                        ,                       ,                       ,                               ,R                        ,R                    ,C                               ,F                            ,                     ,from Leg 145 Sr; Ch 4; Table 6; p 62-63
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 887,A,  2,H, 3, 133.00,     11.0300,Morley   ,Radiolarians                                 ,F              ,G                 ,                     ,                      ,                  ,                  ,                        ,                    ,                       ,                     ,                          ,                    ,                ,                      ,                   ,                ,                ,                 ,                  ,F                       ,                  ,                        ,                       ,                    ,                      ,                              ,                      ,                                ,                      ,                        ,                   ,                                     ,                        ,                         ,                                   ,                    ,                     ,                   ,                   ,                       ,                          ,                             ,F                      ,                     ,                 ,                       ,                          ,                            ,                        ,                       ,                       ,                               ,C                        ,                     ,C                               ,C                            ,                     ,from Leg 145 Sr; Ch 4; Table 6; p 62-63
