Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Hedbergella sp.	Rotalipora greenhornensis	Hedbergella planispira	Dicarinella algeriana	Whiteinella aprica	Praeglobotruncana stephani	Heterohelix moremani	Hedbergella delrioensis	Globigerinelloides ultramicrus	Rotalipora deeckei	Rotalipora cushmani	Praeglobotruncana gibba	Praeglobotruncana aumalensis	Dicarinella hagni	Whiteinella baltica	Heterohelix reussi	Helvetoglobotruncana helvetica	Dicarinella imbricata	Dicarinella canaliculata	Whiteinella brittonensis	Marginotruncana sigali	Whiteinella sp.	Whiteinella praehelvetica	Marginotruncana sinuosa	Marginotruncana schneegansi	Marginotruncana pseudolinneiana	Dicarinella primitiva	Heterohelix globulosa	Hedbergella holmdelensis	Globigerinelloides messinae	Globigerinelloides bollii	Heterohelix carinata	Pseudotextularia elegans	Globotruncana ventricosa	Globotruncana arca	Contusotruncana fornicata	Globotruncanita stuartiformis	Globotruncana mariei	Contusotruncana patelliformis	Globotruncanita elevata	Globotruncana orientalis	Globotruncana rosetta	Globotruncana bulloides	Pseudoguembelina costulata	Heterohelix striata	Globotruncana linneiana	Rugoglobigerina sp.	Hedbergella monmouthensis	Globotruncanita subspinosa	Rugoglobigerina rugosa	Rugoglobigerina hexacamerata	Laeviheterohelix dentata	Globotruncanita stuarti	Globotruncana aegyptiaca	Comment



  SR	Maestrichtian    	                 	                  	              	143	 869	B	 10	R	CC	   0.00	    219.4100	Sliter   	Planktonic Foraminifers                      	C              	P                 	               	                         	                      	                     	                  	                          	                    	                       	                              	                  	                   	                       	                            	                 	                   	                  	                              	                     	                        	                        	                      	               	                         	                       	                           	                               	                     	                     	+                       	+                          	+                        	                    	+                       	                        	+                 	+                        	+                            	+                   	+                            	                       	                        	+                    	                       	+                         	                   	+                      	                   	+                        	                          	+                     	cf                          	+                       	+                      	+                       	from Leg 143 SR; Chapter 2; Table 3; p 18

  SR	Campanian        	                 	                  	              	143	 869	B	 11	R	 1	   4.00	    226.9400	Sliter   	Planktonic Foraminifers                      	R              	P                 	               	                         	                      	                     	                  	                          	                    	                       	                              	                  	                   	                       	                            	                 	                   	                  	                              	                     	                        	                        	                      	               	                         	                       	                           	                               	                     	                     	                        	                           	                         	                    	                        	                        	                  	                         	                             	                    	                             	                       	                        	                     	                       	                          	                   	                       	cf                 	                         	                          	                      	                            	                        	                       	                        	from Leg 143 SR; Chapter 2; Table 3; p 18

  SR	Campanian        	                 	                  	              	143	 869	B	 11	R	 3	 143.00	    231.3300	Sliter   	Planktonic Foraminifers                      	R              	P                 	               	                         	                      	                     	                  	                          	                    	                       	                              	                  	                   	                       	                            	                 	                   	                  	                              	                     	                        	                        	                      	               	                         	                       	                           	                               	                     	                     	                        	                           	                         	                    	                        	                        	                  	                         	                             	                    	                             	                       	                        	                     	                       	                          	                   	+                      	                   	                         	                          	                      	                            	                        	                       	                        	from Leg 143 SR; Chapter 2; Table 3; p 18

  SR	Campanian        	                 	                  	              	143	 869	B	 11	R	CC	  18.00	    233.3000	Sliter   	Planktonic Foraminifers                      	R              	P                 	               	                         	                      	                     	                  	                          	                    	                       	                              	                  	                   	                       	                            	                 	                   	                  	                              	                     	                        	                        	                      	               	                         	                       	                           	                               	                     	+                    	                        	                           	+                        	                    	                        	                        	                  	                         	                             	                    	cf                           	                       	                        	                     	+                      	                          	+                  	                       	                   	                         	                          	                      	                            	                        	                       	                        	from Leg 143 SR; Chapter 2; Table 3; p 18
