Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Triceraspyris coronata	Theocorys redondoensis	Spongotrochus glacialis	Spongodiscus craticulatus	Prunopyle titan	Lychnocanium grande	Eucyrtidium cienkowskii	Eucyrtidium biconicum	Desmospyris rhodospyroides	Cycladophora spongothorax	Botryopera deflandrei	Actinomma golownini	Stylatractus universus	Eucyrtidium inflatum	Velicucullus sp.	Cycladophora humerus	Cycladophora pliocenica	Stichocorys peregrina	Helotholus praevema	Gondwanaria hister	Saccospyris praeantarctica	Antarctissa robusta	Anthocyrtidium pliocenica	Amphymenium challengerae	Rhizosphaera antarctica	Eucyrtidium teuscheri group	Phorticium clevei	Pseudocubus vema	Desmospyris spongiosa	Botryopera triloba	Botryostrobus australis	Comment



  SR	Early Pliocene   	                 	NR6               	NR5           	119	 737	A	  1	H	CC	  15.00	      4.8100	Caulet   	Radiolarians                                 	F              	G                 	                      	T                     	R                      	                         	               	                   	                       	                     	                          	                         	                     	                   	                      	                    	                	                    	R                      	                     	                   	                  	                          	                   	                         	                        	                       	                           	                 	R               	                     	R                 	                       	from 119 SR Chapter 28 Table 2 page 517.

  SR	Early Pliocene   	                 	NR6               	NR5           	119	 737	A	  2	H	CC	  13.00	     14.7300	Caulet   	Radiolarians                                 	R              	G                 	                      	                      	                       	                         	               	                   	                       	                     	                          	                         	                     	                   	                      	                    	                	                    	                       	                     	                   	                  	                          	                   	                         	                        	                       	                           	R                	R               	                     	R                 	                       	from 119 SR Chapter 28 Table 2 page 517.

  SR	Early Pliocene   	                 	NR6               	NR5           	119	 737	A	  3	H	 1	  53.00	     15.0300	Caulet   	Radiolarians                                 	R              	G                 	                      	T                     	                       	                         	               	                   	                       	                     	                          	                         	                     	                   	                      	                    	                	                    	R                      	                     	                   	                  	R                         	R                  	                         	                        	                       	                           	R                	R               	R                    	R                 	                       	from 119 SR Chapter 28 Table 2 page 517.

  SR	Early Pliocene   	                 	NR6               	NR5           	119	 737	A	  3	H	 2	  53.00	     16.5300	Caulet   	Radiolarians                                 	R              	G                 	                      	T                     	                       	                         	               	                   	                       	                     	                          	                         	                     	                   	                      	                    	                	                    	R                      	                     	                   	                  	R                         	R                  	                         	                        	                       	                           	R                	R               	R                    	R                 	                       	from 119 SR Chapter 28 Table 2 page 517.

  SR	Early Pliocene   	                 	NR6               	NR5           	119	 737	A	  3	H	 3	  53.00	     18.0300	Caulet   	Radiolarians                                 	R              	G                 	                      	                      	                       	                         	               	                   	                       	                     	                          	                         	                     	                   	                      	                    	                	                    	T                      	                     	                   	                  	R                         	R                  	                         	                        	                       	                           	R                	                	                     	R                 	                       	from 119 SR Chapter 28 Table 2 page 517.

