Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Neogloboquadrina pachyderma (sinistral)	Turborotalita quinqueloba	Neogloboquadrina pachyderma (dextral)	Globorotalia scitula	Globigerinita uvula minuta	Globigerinita glutinata	Globigerina bulloides	Orbulina universa	Globigerinita uvula uvula	Beella digitata	Globigerinita iota	Globigerina bulloides umbilicata	Globigerina clarkei	Orbulina bilobata	Globorotalia inflata	Comment



  IR	                 	Holocene         	                  	CD1           	169	1037	B	  1	H	 2	   6.00	      1.5600	Brunner  	Planktonic Foraminifers                      	A              	M                 	C                                      	C                        	F                                    	R                   	                          	                       	                     	R                	F                        	               	                  	                                	                   	R                	R                   	Dominated by planktonic foraminifers with radiolarians, diatoms, rare ostracodes,  and benthonic foraminifers

  IR	                 	                 	                  	              	169	1037	B	  2	H	CC	  26.00	     16.3800	Brunner  	Planktonic Foraminifers                      	R              	P                 	                                       	                         	R                                    	                    	                          	                       	                     	                 	                         	               	                  	                                	                   	                 	                    	Very little in sand size fraction-mica,organic bits,a few radiolarians,4 calcareous benthonic foraminifers,Nonion and Globobulimina pacifica.One planktonic foraminifer in the 63-150 micron fraction,much framboidal pyrite,a little volcanic glass

  IR	                 	Holocene         	                  	CD1           	169	1037	B	  3	H	 4	  90.00	     21.5000	Brunner  	Planktonic Foraminifers                      	A              	M                 	C                                      	F                        	C                                    	R                   	                          	R                      	C                    	                 	                         	               	                  	                                	                   	                 	                    	Planktonic foraminfiers dominate, very fine mineral sand,  rare radiolarians, ostracodes, big tubes of framboidal pyrite

  IR	                 	                 	                  	              	169	1037	B	  3	H	 4	 132.00	     21.9200	Brunner  	Planktonic Foraminifers                      	R              	                  	                                       	R                        	                                     	                    	                          	                       	                     	                 	                         	               	                  	                                	R                  	                 	                    	Organic matter, pyrite, mica, diatoms

  IR	                 	                 	                  	              	169	1037	B	  3	H	CC	   8.00	     25.6800	Brunner  	Planktonic Foraminifers                      	R              	                  	R                                      	                         	R                                    	                    	R                         	                       	R                    	                 	                         	               	                  	                                	                   	                 	                    	Abundant diatoms, framboidal pyrite, organic matter, 5 dextral dextral Neogloboquadrina pachyderma

  IR	                 	                 	                  	              	169	1037	B	  4	H	 5	  37.00	     31.9700	Brunner  	Planktonic Foraminifers                      	R              	                  	R                                      	                         	                                     	                    	                          	                       	                     	                 	                         	               	                  	                                	                   	                 	                    	Organic matter, framboidal pyrite, diatoms, mineral grains, a dried insect,  rare benthonic foraminifers, pine pollen

  IR	                 	                 	                  	              	169	1037	B	  4	H	CC	   8.00	     35.4300	Brunner  	Planktonic Foraminifers                      	R              	                  	R                                      	                         	                                     	                    	                          	                       	                     	                 	                         	               	                  	                                	                   	                 	                    	Mineral  sand, soupy sediment. One planktonic foraminifer

