Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Catapsydrax unicavus,Catapsydrax dissimilis,Globoturborotalita woodi,Globorotaloides variabilis,Globigerina praebulloides,Globigerina bulloides,Neogloboquadrina pachyderma,Comment
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,188,1165,B,  1,H,CC,  15.00,      6.8100,paleo    ,Planktonic Foraminifers                      ,               ,                  ,                    ,                      ,                        ,                          ,                         ,                     ,A                          ,       
,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,188,1165,B,  2,H,CC,   0.00,     16.4800,paleo    ,Planktonic Foraminifers                      ,               ,                  ,                    ,                      ,                        ,                          ,                         ,                     ,F                          ,       
,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,188,1165,B,  6,H,CC,  16.00,     54.3900,paleo    ,Planktonic Foraminifers                      ,               ,                  ,                    ,                      ,                        ,                          ,                         ,                     ,P                          ,       
,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,188,1165,B, 24,X,CC,  40.00,    199.1500,paleo    ,Planktonic Foraminifers                      ,               ,                  ,                    ,                      ,A33                     ,A32                       ,F                        ,F                    ,                           ,       
,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,188,1165,B, 74,X, 1,  26.00,    655.6600,paleo    ,Planktonic Foraminifers                      ,               ,                  ,                    ,P                     ,                        ,                          ,                         ,                     ,                           ,       
,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,188,1165,B, 74,X, 1,  26.00,    655.6600,paleo    ,Planktonic Foraminifers                      ,               ,                  ,P                   ,                      ,                        ,                          ,                         ,                     ,                           ,       
,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,188,1165,B, 74,X,CC,  30.00,    659.1300,paleo    ,Planktonic Foraminifers                      ,               ,                  ,P                   ,                      ,                        ,                          ,                         ,                     ,                           ,       
,,,,,,,,,,,,,,,,,,,,,,,,
