Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Nonionella miocenica,Cassidulina laevigata,Buliminella gracilis,Cibicidoides spp.,Bolivina lowmanni,Textularia agglutinans,Quinqueloculina seminulum,Lenticulina spp.,Nonionella pizarrensis,Hanzawaia hughesi,Fursenkoina sp.,Lenticulina americana americana,Elphidium excavatum f. clavatum,Marginulina spp.,Fursenkoina fusiformis,Marginulina dubia,Lenticulina americana spinosa,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Miocene     ,                  ,              ,174,1071,F,  1,R,CC,   0.00,    255.0400,Katz     ,Benthic Foraminifers                         ,C              ,VG                ,                    ,                     ,R                   ,                 ,                 ,                      ,                         ,                ,                      ,R                ,               ,A                              ,                               ,                ,                      ,R                ,A                            ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Miocene     ,                  ,              ,174,1071,F,  2,R,CC,   0.00,    261.8500,Katz     ,Benthic Foraminifers                         ,F              ,G                 ,                    ,                     ,R                   ,                 ,A                ,                      ,                         ,                ,                      ,R                ,               ,                               ,                               ,                ,R                     ,                 ,                             ,pteropods?
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Miocene     ,                  ,              ,174,1071,F,  6,R,CC,   0.00,    321.4800,Katz     ,Benthic Foraminifers                         ,C              ,VG                ,                    ,                     ,A                   ,C                ,                 ,                      ,C                        ,                ,C                     ,                 ,               ,                               ,                               ,R               ,                      ,                 ,                             ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,174,1071,F,  8,R,CC,   0.00,    339.9900,Katz     ,Benthic Foraminifers                         ,C              ,VG                ,                    ,F                    ,A                   ,                 ,R                ,R                     ,C                        ,                ,F                     ,                 ,               ,R                              ,R                              ,                ,                      ,                 ,                             ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,174,1071,F,  9,R,CC,   0.00,    351.4700,Katz     ,Benthic Foraminifers                         ,C              ,VG                ,                    ,                     ,A                   ,                 ,                 ,                      ,R                        ,R               ,                      ,                 ,               ,                               ,                               ,                ,                      ,                 ,                             ,"AA mica, A qtz, pyrite"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,174,1071,F, 10,R,CC,  12.00,    363.1500,Katz     ,Benthic Foraminifers                         ,C              ,VG                ,                    ,F                    ,A                   ,C                ,                 ,                      ,C                        ,                ,F                     ,R                ,R              ,                               ,                               ,                ,                      ,                 ,                             ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,174,1071,F, 11,R,CC,   0.00,    370.6900,Katz     ,Benthic Foraminifers                         ,F              ,G                 ,                    ,F                    ,A                   ,C                ,                 ,                      ,                         ,                ,                      ,                 ,               ,                               ,                               ,                ,                      ,                 ,                             ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,174,1071,F, 12,R,CC,   0.00,    376.9400,Katz     ,Benthic Foraminifers                         ,C              ,VG                ,F                   ,C                    ,A                   ,                 ,F                ,R                     ,C                        ,R               ,                      ,                 ,               ,                               ,                               ,                ,                      ,                 ,                             ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,174,1071,F, 13,R,CC,   5.00,    386.3500,Katz     ,Benthic Foraminifers                         ,T              ,G                 ,                    ,                     ,+                   ,+                ,                 ,                      ,                         ,                ,                      ,                 ,               ,                               ,                               ,                ,                      ,                 ,                             ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,174,1071,F, 14,R,CC,   7.00,    395.8700,Katz     ,Benthic Foraminifers                         ,R              ,G                 ,                    ,                     ,+                   ,+                ,+                ,                      ,                         ,                ,                      ,                 ,               ,                               ,                               ,                ,                      ,                 ,                             ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,174,1071,F, 15,R,CC,   0.00,    405.5700,Katz     ,Benthic Foraminifers                         ,C              ,VG                ,R                   ,R                    ,A                   ,                 ,                 ,                      ,                         ,                ,                      ,                 ,               ,                               ,                               ,                ,                      ,                 ,                             ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
