Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Globorotaloides variabilis,Globoquadrina dehiscens,Globigerinoides sacculifer,Dentoglobigerina altispira,Globoquadrina venezuelana,Globigerinoides subquadratus,Globorotaloides hexagona,Globorotalia mayeri,Globigerinella praesiphonifera,Fohsella peripheroronda,Fohsella birnageae,Sphaeroidinellopsis seminulina,Sphaeroidinellopsis kochi,Orbulina universa,Neogloboquadrina acostaensis,Globoturborotalita woodi,Globoturborotalita nepenthes,Globoturborotalita decoraperta,Globorotalia merotumida,Fohsella lenguaensis,Globoturborotalita apertura,Globigerinoides seigliei,Globigerinoides altiapertura,Globigerinita glutinata,Globigerinella aequilateralis,Globorotalia scitula,Globorotalia menardii,Orbulina bilobata,Globigerinoides obliquus,Candeina nitida,Globorotalia plesiotumida,Globigerinella obesa,Beella praedigitata,Globorotalia juanai,Globorotalia cibaoensis,Globigerinoides extremus,Neogloboquadrina dutertrei,Globorotalia margaritae,Sphaeroidinella dehiscens,Globorotalia tumida,Globigerinoides conglobatus,Globorotalia exilis,Globorotalia crassaformis,Sphaeroidinellopsis paenedehiscens,Globorotalia multicamerata,Globorotalia triangula,Globorotalia puncticulata,Globorotalia pseudomiocenica,Globorotalia pertenuis,Globorotalia miocenica,Globigerinoides sacculifer fistulosus,Globigerinoides ruber,Globigerina bulloides,Pulleniatina obliquiloculata,Neogloboquadrina pachyderma (dextral),Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,PL5               ,              ,159, 961,A,  1,R,CC,   7.00,      3.3600,Norris   ,Planktonic Foraminifers                      ,A              ,M                 ,                          ,                       ,C                         ,                          ,                         ,                            ,                        ,                   ,                              ,                       ,                  ,                              ,                         ,F                ,                            ,                        ,                            ,                              ,                       ,                    ,                           ,                        ,                            ,F                      ,F                            ,                    ,R                    ,                 ,                        ,               ,                         ,                    ,                   ,                   ,                       ,                        ,C                         ,                       ,R                        ,F                  ,                           ,                   ,R                        ,                                  ,                          ,                      ,                         ,R                           ,                      ,                      ,                                     ,C                    ,F                    ,F                           ,F                                    ,From Leg 159SR Ch 34 Table 6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,PL5               ,              ,159, 961,A,  2,R,CC,   0.00,      3.4000,Norris   ,Planktonic Foraminifers                      ,A              ,G                 ,                          ,                       ,C                         ,                          ,                         ,                            ,                        ,                   ,                              ,                       ,                  ,                              ,                         ,F                ,                            ,                        ,                            ,R                             ,                       ,                    ,F                          ,                        ,                            ,F                      ,F                            ,                    ,                     ,                 ,                        ,               ,                         ,                    ,                   ,                   ,                       ,                        ,C                         ,                       ,R                        ,R                  ,                           ,                   ,R                        ,                                  ,                          ,R                     ,R                        ,F                           ,F                     ,F                     ,R                                    ,C                    ,F                    ,                            ,                                     ,From Leg 159SR Ch 34 Table 6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,PL3               ,              ,159, 961,A,  3,R, 1,  34.00,     13.4400,Norris   ,Planktonic Foraminifers                      ,C              ,G                 ,                          ,                       ,                          ,F                         ,R                        ,                            ,                        ,                   ,                              ,                       ,                  ,R                             ,                         ,                 ,                            ,                        ,                            ,                              ,                       ,                    ,                           ,                        ,                            ,                       ,                             ,                    ,                     ,                 ,                        ,               ,                         ,                    ,                   ,                   ,                       ,                        ,                          ,                       ,                         ,                   ,R                          ,                   ,                         ,                                  ,R                         ,                      ,                         ,                            ,                      ,                      ,                                     ,                     ,                     ,                            ,                                     ,From Leg 159SR Ch 34 Table 6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,PL3               ,              ,159, 961,A,  3,R, 2,  34.00,     14.9400,Norris   ,Planktonic Foraminifers                      ,A              ,M                 ,                          ,                       ,C                         ,                          ,                         ,                            ,                        ,                   ,                              ,                       ,                  ,                              ,                         ,C                ,                            ,                        ,                            ,                              ,                       ,                    ,                           ,                        ,                            ,                       ,F                            ,                    ,R                    ,                 ,                        ,R              ,R                        ,                    ,                   ,                   ,                       ,                        ,C                         ,                       ,R                        ,                   ,                           ,                   ,F                        ,R                                 ,R                         ,                      ,                         ,                            ,                      ,                      ,                                     ,                     ,                     ,                            ,                                     ,From Leg 159SR Ch 34 Table 6
