Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Turborotalia pomeroli,Turborotalia cerroazulensis,Subbotina venezuelana,Subbotina eocaena,Globigerinatheka index,Catapsydrax dissimilis,Subbotina triloculinoides,Parasubbotina pseudobulloides,Morozovella velascoensis,Morozovella angulata,Truncorotaloides topilensis,Truncorotaloides rohri,Subbotina linaperta,Subbotina hagni,Subbotina cryptomphala,Morozovella spinulosa,Morozovella lehneri,Hantkenina primitiva,Hantkenina dumblei,Globigerinatheka mexicana,Acarinina bullbrooki,Hantkenina alabamensis,Globigerinatheka mexicana barri,Globigerinatheka beckmanni,Acarinina primitiva,Subbotina praeturritilina,Acarinina collactea,Porticulasphaera semiinvoluta,Turborotalia cocoaensis,Pseudohastigerina micra,Chiloguembelina cubensis,Globoquadrina dehiscens,Paragloborotalia semivera,Paragloborotalia opima opima,Paragloborotalia opima nana,Paragloborotalia mayeri,Globorotalia inflata,Globigerinoides trilobus,Dentoglobigerina altispira,Globorotalia truncatulinoides,Globigerinoides mitra,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,Holocene         ,                  ,              ,171,1052,A,  1,X, 1,  33.00,      0.3300,Bellier  ,Planktonic Foraminifers                      ,A              ,VG                ,                     ,F                          ,                     ,                 ,                      ,                      ,                         ,                             ,                        ,                    ,                           ,                      ,                   ,               ,                      ,                     ,                   ,                    ,P                 ,                         ,                    ,                      ,                               ,                          ,                   ,                         ,                   ,                             ,                       ,                       ,                        ,P                      ,                         ,                            ,                           ,                       ,                    ,R                       ,                          ,P                            ,P                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Middle Eocene    ,Late Eocene      ,                  ,P15           ,171,1052,A,  1,X, 1,  59.00,      0.5900,Bellier  ,Planktonic Foraminifers                      ,A              ,G                 ,R                    ,F                          ,                     ,                 ,                      ,                      ,                         ,                             ,                        ,                    ,                           ,                      ,                   ,               ,                      ,                     ,                   ,                    ,                  ,                         ,                    ,                      ,                               ,                          ,                   ,                         ,                   ,R                            ,                       ,                       ,                        ,                       ,                         ,                            ,                           ,                       ,                    ,                        ,                          ,                             ,                     ,Downhole cont. of mid Miocene (w/ G. mitrus) and Holocene assemblages
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Middle Eocene    ,Late Eocene      ,                  ,P15           ,171,1052,A,  1,X, 1,  61.00,      0.6100,Bellier  ,Planktonic Foraminifers                      ,A              ,G                 ,R                    ,F                          ,                     ,                 ,                      ,                      ,                         ,                             ,                        ,                    ,                           ,                      ,                   ,               ,                      ,                     ,                   ,                    ,                  ,                         ,                    ,R                     ,                               ,                          ,                   ,                         ,                   ,R                            ,                       ,                       ,                        ,                       ,                         ,                            ,                           ,                       ,                    ,                        ,                          ,                             ,                     ,Downhole cont. of Holocene and mid Miocene assemblages
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Eocene           ,Middle Miocene   ,                  ,              ,171,1052,A,  1,X,CC,   7.00,      0.8400,Bellier  ,Planktonic Foraminifers                      ,A              ,VG                ,                     ,                           ,R                    ,                 ,                      ,                      ,                         ,                             ,                        ,                    ,                           ,                      ,                   ,               ,                      ,                     ,                   ,                    ,                  ,                         ,                    ,                      ,                               ,                          ,                   ,                         ,                   ,                             ,                       ,P                      ,P                       ,F                      ,R                        ,R                           ,R                          ,F                      ,P                   ,F                       ,F                         ,                             ,                     ,Downhole cont.?
