Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),,Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Stylosphaera coronata coronata,Entapium regulare,Buryella tetradica,Eusyringium fistuligerum,Dictyoprora mongolfieri,Calocyclas hispida,Thyrsocyrtis triacantha,Thyrsocyrtis rhizodon,Theocotylissa ficus,Podocyrtis trachodes,Podocyrtis papalis,Podocyrtis chalara,Lychnocanoma bellum,Lithocyclia aristotelis group,Tristylospyris triceros,Sethochytris triconiscus,Dictyoprora pirum,Thyrsocyrtis  tetracantha,Dictyoprora armadillo,Cryptocarpium azyx,Calocyclas turris,Podocyrtis goetheana,Artophormis barbadensis,Theocyrtis tuberosa,Calocyclas bandyca,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Eocene      ,                  ,Calocyclas bandyca,171,1052,A,  3,H,CC,   9.00,     22.6500,Blome    ,Radiolarians                                 ,C              ,VG                ,                              ,                 ,                  ,R                       ,C                      ,F                 ,R                      ,F                    ,                   ,                    ,                  ,                  ,                   ,R                            ,F                      ,                        ,                 ,F                        ,C                    ,R                 ,C                ,                    ,                       ,R                  ,R                 ,       ,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Middle Eocene    ,Late Eocene      ,P. goetheana      ,Calocyclas bandyca,171,1052,A,  4,H,CC,  14.00,     32.5900,Blome    ,Radiolarians                                 ,R              ,P                 ,                              ,                 ,                  ,                        ,                       ,                  ,                       ,                     ,                   ,                    ,T                 ,                  ,                   ,                             ,                       ,                        ,                 ,T                        ,                     ,                  ,                 ,                    ,                       ,                   ,                  ,       ,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Middle Eocene    ,Late Eocene      ,                  ,Carpocanistrum azyx,171,1052,A,  5,H,CC,  14.00,     41.9700,Blome    ,Radiolarians                                 ,A              ,VG                ,                              ,                 ,                  ,                        ,C                      ,F                 ,F                      ,F                    ,                   ,                    ,                  ,                  ,                   ,R                            ,F                      ,                        ,R                ,F                        ,F                    ,R                 ,F                ,                    ,R                      ,                   ,                  ,       ,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Middle Eocene    ,Late Eocene      ,                  ,Carpocanistrum azyx,171,1052,A,  6,H,CC,  11.00,     51.4000,Blome    ,Radiolarians                                 ,C              ,G                 ,                              ,                 ,                  ,R                       ,                       ,F                 ,R                      ,R                    ,                   ,                    ,C                 ,                  ,R                  ,F                            ,R                      ,                        ,                 ,C                        ,                     ,                  ,C                ,R                   ,                       ,                   ,                  ,       ,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
