Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Unipontidinium aquaeductum	Systematophora placacantha	Sumatradinium soucouyantae	Spiniferites spp.	Spiniferites pseudofurcatus	Pentadinium laticinctum	Palaeocystodinium golzowense	Operculodinium centrocarpum	Nematosphaeropsis lemniscata	Melitasphaeridium choanophorum	Lejeunecysta convexa	Habibacysta tectata	Cyclopsiella elliptica/granosa complex	Artemisiocysta sp.1	Tuberculodinium vancampoae	Sumatradinium druggii	Operculodinium israelianum s.l.	Lingulodinium machaerophorum	Labyrinthodinium truncatum truncatum	Hystrichosphaeropsis obscura	Dapsilidinium pseudocolligerum	Cordosphaeridium cantharellus	Tectatodinium pellitum	Invertocysta lacrymosa	Hystrichokolpoma rigaudiae	Batiacasphaera sphaerica	Trinovantedinium harpagonium	Reticulatosphaera actinocoronata	Operculodinium placitum	Hystrichokolpoma truncatum	Unipontidinium? sp. cf. U. aquaeductum	Spiniferites solidago	Labyrinthodinium truncatum modicum	Cristadinium sp.4	Cordosphaeridium? minimum	Cerebrocysta poulsenii	Trinovantedinium sp.	Lejeunecysta communis	Algidasphaeridium? sp.6	Selenopemphix brevispinosa brevispinosa	Operculodinium sp.	Impagidinium sp.3	Cyclopsiella sp. cf. C. vieta	Brigantedinium spp.	Cristadinium cristatoserratum	Algidasphaeridium? sp.4	Polykrikos kofoidii?	Incertae sedis sp.1	Impagidinium arachnion	Danea sp.	Algidasphaeridium? sp.8	Trinovantedinium sp. cf. T. boreale	Selenopemphix dionaeacysta	Operculodinium sp.3	Lejeunecysta sp.8	Lejeunecysta sp.3	Lejeunecysta sp.10	Batiacasphaera gemmata	Algidasphaeridium? sp.3	Selenopemphix sp. cf. S. nephroides	Polysphaeridium zoharyi	Brigantedinium? sp.6	Selenopemphix brevispinosa conspicua	Pyxidinopsis sp.1	Lejeunecysta sp.9	Impagidinium paradoxum	Algidasphaeridium? minutum	Tectatodinium simplex	Selenopemphix nephroides	Lejeunecysta? sp. (lateral horns)	Impagidinium? pallidum	Heteraulacacysta campanula	Cymatiosphaera invaginata	Cyclopsiella? sp. cf. C? trematophora	Chiropteridium galea	Algidasphaeridium? sp.11	Trinovantedinium? xylochoporum	Cannosphaeropsis passio	Brigantedinium? sp.5	Xandarodinium xanthum	Homotryblium vallum	Lejeunecysta mariae	Geonettia clineae	Spiniferites mirabilis	Operculodinium janduchenei	Bitectatodinium? sp.1	Barssidinium evangelineae	Achomosphaera andalousiensis	Trinovantedinium ferugnomatum	Lejeunecysta sp.7	Impagidinium patulum	Impagidinium fenestroseptatum	Deflandrea phosphoritica	Cordosphaeridium funiculatum	Trinovantedinium glorianum	Spiniferites delicatus?	Selenopemphix armageddonensis	Operculodinium? eirikianum	Erymnodinium delectabile	Cyst type 1 	Impagidinium velorum	Cerebrocysta satchelliae	Brigantedinium cariacoense	Algidasphaeridium? sp.7	Pyxidinopsis pastilliformis	Nematosphaeropsis lativittatus	Distatodinium paradoxum	Bitectatodinium tepikiense	Barssidinium sp. cf. B. graminosum	Algidasphaeridium? sp.5	Algidasphaeridium? euaxum	Lejeunecysta paratenella	Barssidinium graminosum	Achomosphaera sp. cf. A. ramulifera	Selenopemphix sp. cf. S. armata	Impagidinium japonicum?	Nematosphaeropsis rigida	Filisphaera microornata	Filisphaera filifera	Amiculosphaera umbracula	Selenopemphix quanta	Operculodinium centrocarpum	Impagidinium aculeatum	Barssidinium sp.3	Achomosphaera ramulifera	Spiniferites sp. cf. S. rubinus	Riculacysta perforata	Impagidinium multiplexum	Spiniferites ramosus	Brigantedinium simplex	Spiniferites bentorii	Quinquecuspis concreta	Spiniferites elongatus	Brigantedinium sp.1	Achomosphaera andalousiensis	Spiniferites membranosus	Spiniferites lazus	Spiniferites frigidus	Comment



  SR	Pleistocene      	                 	                  	              	150	 905	A	 10	H	CC	  30.00	     98.9500	de Verteuil	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                          	                          	                          	                 	                           	                       	                            	                           	                            	+                             	                    	                   	                                      	                   	                          	                     	+                              	                            	                                    	                            	                              	                             	+                     	                      	                          	                        	                            	                                	                       	                          	                                      	                     	                                  	                 	                         	                      	                    	                     	                       	                                       	                  	                 	                             	                   	                             	                       	                    	                   	                      	         	                       	                                   	                          	                   	                 	                 	                  	                      	                       	                                   	+                      	                    	                                    	                 	                 	                      	                          	                     	+                       	                                 	                      	                          	                         	                                     	                    	                        	                              	                       	                    	                     	                   	                   	                 	                      	                          	                     	                         	                            	                             	                 	                    	                             	                        	                            	                          	                       	                             	                          	                        	            	                    	                        	+                         	                       	                           	                              	                       	+                         	                                  	                       	                         	                        	                       	                                   	                               	                       	                        	                       	+                   	                        	+                   	+                          	                      	                 	                        	+                              	                     	                        	+                   	+                     	+                    	                      	+                     	+                  	+                           	+                       	+                 	+                    	From 150SR. Ch 27. Table 5. p  450-451.

  SR	Pleistocene      	                 	                  	              	150	 905	A	 16	X	CC	  12.00	    138.9400	de Verteuil	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                          	                          	                          	                 	                           	                       	                            	                           	+                           	                              	                    	                   	                                      	                   	                          	                     	+                              	+                           	                                    	                            	                              	                             	+                     	                      	                          	                        	                            	                                	                       	                          	                                      	                     	                                  	                 	                         	                      	                    	                     	                       	                                       	                  	                 	                             	                   	                             	                       	                    	                   	                      	         	                       	                                   	                          	                   	                 	                 	                  	                      	                       	                                   	+                      	                    	                                    	                 	                 	                      	                          	                     	                        	                                 	                      	                          	                         	                                     	                    	                        	                              	                       	                    	                     	                   	                   	                 	                      	                          	                     	                         	                            	                             	                 	                    	                             	                        	                            	                          	+                      	                             	                          	                        	            	                    	                        	                          	                       	                           	                              	                       	+                         	                                  	                       	                         	                        	                       	                                   	                               	                       	                        	                       	                    	                        	+                   	+                          	                      	                 	                        	                               	                     	                        	+                   	+                     	+                    	                      	                      	                   	+                           	                        	                  	                     	From 150SR. Ch 27. Table 5. p  450-451.

  SR	Pleistocene      	                 	                  	              	150	 905	A	 19	X	CC	  18.00	    165.6100	de Verteuil	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                          	                          	                          	                 	                           	                       	                            	                           	                            	                              	                    	                   	                                      	                   	                          	                     	+                              	                            	                                    	                            	                              	                             	+                     	                      	                          	                        	                            	                                	                       	                          	                                      	                     	                                  	                 	                         	                      	                    	                     	                       	                                       	                  	                 	                             	                   	                             	                       	                    	                   	                      	         	                       	                                   	r                         	                   	                 	                 	                  	                      	                       	                                   	                       	                    	                                    	                 	                 	                      	                          	                     	                        	                                 	                      	                          	                         	                                     	                    	                        	                              	                       	                    	                     	                   	                   	                 	                      	                          	                     	                         	                            	                             	                 	                    	                             	                        	                            	                          	                       	                             	                          	                        	            	                    	                        	                          	                       	                           	                              	                       	+                         	                                  	                       	                         	                        	                       	                                   	                               	                       	                        	                       	                    	                        	+                   	+                          	                      	                 	                        	                               	                     	                        	+                   	                      	                     	                      	+                     	+                  	                            	                        	                  	                     	From 150SR. Ch 27. Table 5. p  450-451.

  SR	Pleistocene      	                 	                  	              	150	 905	A	 20	X	CC	   0.00	    173.5400	de Verteuil	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                          	                          	                          	+                	                           	                       	                            	                           	                            	                              	                    	                   	                                      	                   	                          	                     	+                              	                            	                                    	                            	                              	                             	+                     	                      	                          	                        	                            	                                	                       	                          	                                      	                     	                                  	                 	                         	                      	?                   	                     	                       	                                       	                  	                 	                             	                   	                             	                       	                    	                   	                      	         	                       	                                   	                          	                   	                 	                 	                  	                      	                       	                                   	+                      	                    	                                    	                 	                 	                      	                          	                     	                        	                                 	                      	                          	                         	                                     	                    	                        	                              	                       	                    	                     	                   	                   	                 	                      	                          	                     	                         	                            	                             	                 	                    	                             	                        	                            	                          	                       	                             	                          	                        	            	                    	                        	                          	                       	                           	                              	                       	                          	                                  	                       	                         	                        	                       	                                   	                               	                       	                        	                       	                    	                        	                    	+                          	                      	                 	                        	+                              	                     	+                       	                    	                      	+                    	+                     	                      	                   	                            	                        	                  	                     	From 150SR. Ch 27. Table 5. p  450-451.
