leg,site,hole,age mnemonic,auxiliary age mnemonic,top of section depth(m),bottom of section depth(m),special condition,age,auxiliary age,averaged age,age top of section(million years),age bottom of section(million years),average age(million years)t,data source
84,567,A,PLEISTOCENE,PLIOCENE,0.0,195.5,,NO AGE GIVEN,NO AGE GIVEN,NO AGE GIVEN,0.011,    5,2.506,DSDP INITIAL REPORTS
84,567,A,PLIOCENE,,195.5,214.9,,NO AGE GIVEN,,NO AGE GIVEN,  1.8,    5,  3.4,DSDP INITIAL REPORTS
84,567,A,LOWER PLIOCENE,LOWER MIOCENE,214.9,224.6,,NO AGE GIVEN,NO AGE GIVEN,NO AGE GIVEN,  3.4, 22.5,12.95,DSDP INITIAL REPORTS
84,567,A,LOWER MIOCENE,,224.6,243.6,,NO AGE GIVEN,,NO AGE GIVEN,   16, 22.5,19.25,DSDP INITIAL REPORTS
84,567,A,LOWER MIOCENE,OLIGOCENE,243.6,253.1,,NO AGE GIVEN,NO AGE GIVEN,NO AGE GIVEN,   16, 37.5,26.75,DSDP INITIAL REPORTS
84,567,A,LOWER MIOCENE,,253.1,289.5,A LEGITIMATE AGE INVERSION,NO AGE GIVEN,,NO AGE GIVEN,   16, 22.5,19.25,DSDP INITIAL REPORTS
84,567,A,LOWER MIOCENE,OLIGOCENE,289.5,298.4,,NO AGE GIVEN,NO AGE GIVEN,NO AGE GIVEN,   16, 37.5,26.75,DSDP INITIAL REPORTS
84,567,A,LOWER MIOCENE,,298.4,316.2,A LEGITIMATE AGE INVERSION,NO AGE GIVEN,,NO AGE GIVEN,   16, 22.5,19.25,DSDP INITIAL REPORTS
84,567,A,LOWER MIOCENE,EOCENE,351.7,358.7,,NO AGE GIVEN,NO AGE GIVEN,NO AGE GIVEN,   16, 53.5,34.75,DSDP INITIAL REPORTS
84,567,A,MAESTRICHTIAN,CAMPANIAN,358.7,368.4,,NO AGE GIVEN,NO AGE GIVEN,NO AGE GIVEN,   65,   78, 71.5,DSDP INITIAL REPORTS
