Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Turborotalia pomeroli,Turborotalia cerroazulensis,Subbotina linaperta,Morozovella spinulosa,Globigerinatheka mexicana,Globigerinatheka index,Acarinina primitiva,Acarinina collactea,Acarinina bullbrooki,Truncorotaloides rohri,Pseudohastigerina micra,Porticulasphaera semiinvoluta,Catapsydrax dissimilis,Hantkenina alabamensis,Chiloguembelina cubensis,Turborotalia cocoaensis,Subbotina venezuelana,Turborotalia cunialensis,Cribrohantkenina inflata,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Eocene      ,                  ,P16           ,171,1053,B,  1,H,CC,  12.00,      3.8700,Bellier  ,Planktonic Foraminifers                      ,A              ,VG                ,                     ,                           ,F                  ,                     ,                         ,F                     ,                   ,                   ,                    ,                      ,                       ,                             ,                      ,R                     ,                        ,F                      ,                     ,R                       ,R                       ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Eocene      ,                  ,P16           ,171,1053,B,  2,H,CC,  15.00,     13.8400,Bellier  ,Planktonic Foraminifers                      ,A              ,VG                ,                     ,                           ,F                  ,                     ,                         ,                      ,                   ,                   ,                    ,                      ,F                      ,                             ,                      ,F                     ,                        ,F                      ,                     ,F                       ,R                       ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Eocene      ,                  ,P16           ,171,1053,B,  3,H,CC,  25.00,     23.2600,Bellier  ,Planktonic Foraminifers                      ,A              ,VG                ,                     ,                           ,                   ,                     ,                         ,                      ,                   ,                   ,                    ,                      ,                       ,                             ,                      ,R                     ,                        ,F                      ,                     ,F                       ,R                       ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Eocene      ,                  ,P16           ,171,1053,B,  4,H,CC,   7.00,     32.7100,Bellier  ,Planktonic Foraminifers                      ,A              ,VG                ,                     ,                           ,F                  ,                     ,                         ,                      ,                   ,                   ,                    ,                      ,                       ,                             ,                      ,R                     ,                        ,R                      ,                     ,R                       ,F                       ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Eocene      ,                  ,P16           ,171,1053,B,  5,H,CC,  19.00,     42.2700,Bellier  ,Planktonic Foraminifers                      ,A              ,VG                ,                     ,                           ,F                  ,                     ,                         ,                      ,                   ,                   ,                    ,                      ,F                      ,                             ,                      ,R                     ,                        ,F                      ,                     ,R                       ,F                       ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
