Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Globigerina triloculinoides,Globigerina linaperta,Acarinina mckannai,Planorotalites pseudomenardii,Morozovella aequa,Acarinina primitiva,Planktonic spp. indeterminate,Morozovella spp.,Globigerina spp.,Acarinina spp.,Morozovella spinulosa,Globigerina senni,Acarinina pentacamerata,Acarinina bullbrooki,Acarinina broedermanni,Morozovella aragonensis,Globigerinatheka index,Globorotalia cerroazulensis frontosa,Globigerinatheka subconglobata,Globigerinatheka spp.,Globigerinatheka subconglobata subconglobata,Globigerina eocaena,Truncorotaloides rohri,Truncorotaloides spp.,Catapsydrax spp.,Globigerina cryptomphala,Catapsydrax dissimilis,Morozovella lehneri,Globorotaloides spp.,Globigerinoides higginsi,Acarinina pseudotopilensis,Truncorotaloides topilensis,Pseudohastigerina micra,Globorotaloides suteri,Globorotalia cerroazulensis,Catapsydrax unicavus,Globigerinatheka kugleri,Globigerinatheka barri,Truncorotaloides rohri/topilensis transition,Hantkenina spp.,Globorotalia opima nana,Globorotalia cerroazulensis pomeroli,Globorotalia cerroazulensis cerroazulensis,Globigerina yeguaensis,Globorotalia cerroazulensis/pomeroli transition,Globoquadrina venezuelana,Globorotalia cerroazulensis/cocoaensis transition,Globigerina corpulenta,Globorotalia cerroazulensis cocoaensis,Globigerina sellii,Globigerina praebulloides,Globigerina ouachitaensis,Globigerina euapertura,Globigerina tripartita,Hantkenina alabamensis/primitiva,Planorotalites palmerae,Globigerina ampliapertura,Globoquadrina spp.,Pseudohastigerina naguewichiensis,Globorotalia increbescens,Globigerina woodi woodi,Globigerina ciperoensis angustiumbilicata,Globigerina ciperoensis,Globigerinelloides spp.,Globorotalia opima opima,Globigerina tapuriensis,Globigerina ciperoensis ciperoensis,Globigerina ciperoensis angulisuturalis,Globorotalia opima nana/opima opima transition,Globigerina gortanii,Hedbergella spp.,Globorotalia nana/continuosa transition,Globorotalia siakensis,Globorotalia mayeri,Globoquadrina globularis,Globorotalia obesa,Globigerinita naparimaensis,Globigerina praeturritilina,Cassigerinella chipolensis,Globigerinoides primordius,Globigerinoides spp.,Globoquadrina dehiscens,Globorotalia fohsi peripheroronda,Globoquadrina dehiscens praedehiscens,Globigerina falconensis,Globoquadrina altispira,Globorotalia kugleri,Globorotalia continuosa,Globigerinoides altiaperturus,Globigerina venezuelana,Globoquadrina baroemoenensis,Globoquadrina dehiscens dehiscens,Globigerinoides trilobus/immaturus,Globorotalia praescitula,Globoquadrina altispira globosa,Globigerinoides sacculifer,Catapsydrax stainforthi,Globorotalia acrostoma,Globigerinoides subquadratus,Globoquadrina altispira altispira,Globoquadrina altispira conica,Globorotalia archeomenardii,Globorotalia miozea,Globigerina druryi,Praeorbulina transitoria,Hastigerina praesiphonifera,Praeorbulina sicana,Sphaeroidinellopsis disjuncta,Globorotalia scitula s.l.,Globigerina bulloides,Sphaeroidinellopsis seminulina,Praeorbulina glomerosa glomerosa,Praeorbulina glomerosa curva,Praeorbulina glomerosa,Globorotalia conoidea,Orbulina universa,Orbulina suturalis,Globorotalia scitula,Globorotalia fohsi peripheroacuta,Globorotalia fohsi fohsi,Globigerina decoraperta,Globorotalia praemenardii,Globorotalia cibaoensis,Globorotalia menardii,Globigerina nepenthes,Globigerina apertura,Sphaeroidinellopsis paenedehiscens,Neogloboquadrina pachyderma,Neogloboquadrina atlantica,Globorotalia merotumida,Neogloboquadrina acostaensis,Beella praedigitata,Neogloboquadrina humerosa,Globigerinoides trilobus/sacculifer transition,Globigerinoides ruber (white),Sphaeroidinellopsis subdehiscens,Globigerinatella insueta,Pseudotextularia elegans,Marginotruncana spp.,Hedbergella holmdelensis,Globotruncanita stuartiformis,Globigerinoides obliquus obliquus,Globigerinoides conglobatus,Hastigerina siphonifera,Globorotalia puncticulata,Globorotalia crassaformis ronda,Globorotalia crassaformis crassaformis,Globorotalia crassaformis,Globotruncana marginata,Hastigerina aequilateralis,Globorotalia margaritae margaritae,Globigerina megastoma cariacoensis,Neogloboquadrina dutertrei,Orbulina bilobata,Globigerinoides elongatus/obliquus extremus,Sphaeroidinella dehiscens,Globorotalia truncatulinoides,Globorotalia inflata,Globorotalia triangula,Pulleniatina primalis,Globorotalia tosaensis,Globorotalia crassaformis hessi,Pulleniatina obliquiloculata,Globigerina bermudezi,Globorotalia hirsuta,Globigerinoides ruber (pink),Beella digitata,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,Holocene         ,N22               ,N23           ,149, 900,A,  1,R, 1,  34.00,      0.3400,Gervais  ,Planktonic Foraminifers                      ,A              ,G                 ,                           ,                     ,                  ,                             ,                 ,                   ,                             ,                ,                ,              ,                     ,                 ,                       ,                    ,                      ,                       ,                      ,                                    ,                              ,                     ,                                            ,                   ,                      ,                     ,                ,                        ,                      ,                   ,                    ,                        ,                          ,                           ,                       ,                      ,                           ,                    ,                        ,                      ,                                            ,               ,                       ,                                    ,                                          ,                      ,                                               ,                         ,                                                 ,                      ,                                      ,                  ,                         ,                         ,                      ,                      ,                                ,                       ,                         ,                  ,                                 ,                         ,                       ,                                         ,                       ,                       ,                        ,                       ,                                   ,                                       ,                                              ,                    ,                ,                                       ,                      ,                   ,                        ,                  ,R                          ,                           ,                          ,r                         ,                    ,                       ,                                 ,                                     ,R                      ,                       ,                    ,                       ,                             ,                       ,                            ,                                 ,F                                 ,                        ,                               ,                          ,                       ,                      ,                            ,                                 ,                              ,                           ,                   ,                  ,                        ,                           ,                   ,                             ,                         ,C                    ,                              ,                                ,                            ,                      ,                     ,C                ,                  ,R                   ,                                 ,                        ,                       ,                         ,                       ,                     ,                     ,                    ,                                  ,C                          ,                          ,                       ,F                           ,R                  ,R                        ,                                              ,C                            ,                                ,                        ,                        ,                    ,                        ,                             ,                                 ,R                          ,F                      ,                         ,                               ,R                                     ,F                        ,                       ,F                         ,                                  ,R                                 ,R                         ,                 ,R                                          ,                         ,C                            ,C                   ,C                     ,                     ,                      ,                               ,                            ,                     ,F                   ,R                           ,R              ,from 149 SR. Chapter 6. Table 9. page 179.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,Holocene         ,N22               ,N23           ,149, 900,A,  2,R, 1,  41.00,      1.9100,Gervais  ,Planktonic Foraminifers                      ,F              ,P                 ,                           ,                     ,                  ,                             ,                 ,                   ,                             ,                ,                ,              ,                     ,                 ,                       ,                    ,                      ,                       ,                      ,                                    ,                              ,                     ,                                            ,                   ,                      ,                     ,                ,                        ,                      ,                   ,                    ,                        ,                          ,                           ,                       ,                      ,                           ,                    ,                        ,                      ,                                            ,               ,                       ,                                    ,                                          ,                      ,                                               ,                         ,                                                 ,                      ,                                      ,                  ,                         ,                         ,                      ,                      ,                                ,                       ,                         ,                  ,                                 ,                         ,                       ,                                         ,                       ,                       ,                        ,                       ,                                   ,                                       ,                                              ,                    ,                ,                                       ,                      ,                   ,                        ,                  ,                           ,                           ,                          ,                          ,                    ,                       ,                                 ,                                     ,                       ,                       ,                    ,                       ,                             ,                       ,                            ,                                 ,                                  ,                        ,                               ,                          ,                       ,                      ,                            ,                                 ,                              ,                           ,                   ,                  ,                        ,                           ,                   ,                             ,                         ,                     ,                              ,                                ,                            ,                      ,                     ,R                ,                  ,                    ,                                 ,                        ,                       ,                         ,                       ,                     ,                     ,                    ,                                  ,R                          ,                          ,                       ,                            ,                   ,                         ,                                              ,                             ,                                ,                        ,                        ,                    ,                        ,                             ,                                 ,R                          ,                       ,                         ,                               ,R                                     ,                         ,                       ,                          ,                                  ,                                  ,                          ,                 ,                                           ,                         ,R                            ,R                   ,R                     ,                     ,                      ,                               ,                            ,                     ,                    ,                            ,               ,from 149 SR. Chapter 6. Table 9. page 179.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,Holocene         ,N22               ,N23           ,149, 900,A,  3,R, 1,   5.00,     11.1500,Gervais  ,Planktonic Foraminifers                      ,A              ,G                 ,                           ,                     ,                  ,                             ,                 ,                   ,                             ,                ,                ,              ,                     ,                 ,                       ,                    ,                      ,                       ,                      ,                                    ,                              ,                     ,                                            ,                   ,                      ,                     ,                ,                        ,                      ,                   ,                    ,                        ,                          ,                           ,                       ,                      ,                           ,                    ,                        ,                      ,                                            ,               ,                       ,                                    ,                                          ,                      ,                                               ,                         ,                                                 ,                      ,                                      ,                  ,                         ,                         ,                      ,                      ,                                ,                       ,                         ,                  ,                                 ,                         ,                       ,                                         ,                       ,                       ,                        ,                       ,                                   ,                                       ,                                              ,                    ,                ,                                       ,                      ,                   ,                        ,                  ,                           ,                           ,                          ,                          ,                    ,                       ,                                 ,                                     ,                       ,                       ,                    ,                       ,                             ,                       ,                            ,                                 ,                                  ,                        ,                               ,                          ,                       ,                      ,                            ,                                 ,                              ,                           ,                   ,                  ,                        ,                           ,                   ,                             ,                         ,F                    ,                              ,                                ,                            ,                      ,                     ,F                ,R                 ,                    ,                                 ,                        ,                       ,                         ,                       ,                     ,                     ,                    ,                                  ,C                          ,                          ,                       ,F                           ,                   ,                         ,                                              ,F                            ,                                ,                        ,                        ,                    ,                        ,                             ,                                 ,                           ,                       ,                         ,                               ,R                                     ,F                        ,                       ,R                         ,                                  ,R                                 ,                          ,R                ,                                           ,                         ,F                            ,C                   ,C                     ,                     ,                      ,                               ,                            ,R                    ,                    ,                            ,               ,from 149 SR. Chapter 6. Table 9. page 179.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,Holocene         ,N22               ,N23           ,149, 900,A,  4,R, 1, 116.00,     21.9600,Gervais  ,Planktonic Foraminifers                      ,A              ,G                 ,                           ,                     ,                  ,                             ,                 ,                   ,                             ,                ,                ,              ,                     ,                 ,                       ,                    ,                      ,                       ,                      ,                                    ,                              ,                     ,                                            ,                   ,                      ,                     ,                ,                        ,                      ,                   ,                    ,                        ,                          ,                           ,                       ,                      ,                           ,                    ,                        ,                      ,                                            ,               ,                       ,                                    ,                                          ,                      ,                                               ,                         ,                                                 ,                      ,                                      ,                  ,                         ,                         ,                      ,                      ,                                ,                       ,                         ,                  ,                                 ,                         ,                       ,                                         ,                       ,                       ,                        ,                       ,                                   ,                                       ,                                              ,                    ,                ,                                       ,                      ,                   ,                        ,                  ,                           ,                           ,                          ,                          ,                    ,                       ,                                 ,                                     ,                       ,                       ,                    ,                       ,                             ,                       ,                            ,                                 ,                                  ,                        ,                               ,                          ,                       ,                      ,                            ,                                 ,                              ,                           ,                   ,                  ,                        ,                           ,                   ,                             ,                         ,                     ,                              ,                                ,                            ,                      ,                     ,C                ,R                 ,                    ,                                 ,                        ,                       ,                         ,                       ,                     ,                     ,                    ,                                  ,C                          ,                          ,                       ,F                           ,                   ,                         ,                                              ,R                            ,                                ,                        ,                        ,                    ,                        ,                             ,                                 ,                           ,R                      ,                         ,R                              ,                                      ,                         ,                       ,R                         ,                                  ,                                  ,                          ,R                ,R                                          ,                         ,F                            ,C                   ,C                     ,R                    ,R                     ,F                              ,F                           ,                     ,                    ,                            ,               ,from 149 SR. Chapter 6. Table 9. page 179.
