Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Sphenolithus moriformis,Discoaster spp.,Discoaster barbadiensis,Coccolithus pelagicus,Chiasmolithus grandis,Zygrhablithus bijugatus,Sphenolithus spiniger,Sphenolithus pseudoradians/radians,Reticulofenestra dictyoda,Nannotetrina sp.,Fasciculithus sp.,Discoaster lodoensis,Discoaster deflandrei,Cyclicargolithus floridanus,Coccolithus formosus,Sphenolithus anarrhopus,Rhabdosphaera sp.,Pedinocyclus larvalis,Chiasmolithus titus,Chiasmolithus solitus,Chiasmolithus nitidus,Chiasmolithus gigas,Campylosphaera dela,Discoaster saipanensis,Striatococcolithus pacificanus,Discoaster nonaradiatus,Chiasmolithus consuetus,Calcidiscus protoannulus,Toweius sp.,Nannotetrina fulgens,Thoracosphaera sp.,Sphenolithus furcatolithoides,Discoaster sublodoensis,Bramletteius serraculoides,Helicosphaera sp.,Helicosphaera heezenii,Helicosphaera compacta,Discoaster tanii nodifer,Discoaster tanii,Reticulofenestra umbilica,Clausicoccus fenestratus,Hayaster perplexus,Sphenolithus intercalaris,Reticulofenestra reticulata,Reticulofenestra bisecta,Discoaster binodosus,Coronocyclus nitescens,Sphenolithus predistentus,Sphenolithus distentus,Blackites spinosus,Sphenolithus tribulosus,Triquetrorhabdulus carinatus,Sphenolithus ciperoensis,Sphenolithus dissimilis,Sphenolithus conicus,Sphenolithus delphix,Discoaster variabilis,Discoaster druggii,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,NN2               ,              ,143, 869,A,  1,H, 1,  76.00,      0.7600,Firth    ,Nannofossils                                 ,A              ,M                 ,F                      ,               ,                       ,F                    ,                     ,                       ,                     ,                                  ,                         ,                ,                 ,                    ,A                    ,A                          ,                    ,                       ,                 ,                     ,                   ,                     ,                     ,                   ,                   ,                      ,                              ,                       ,                       ,                        ,           ,                    ,                  ,                             ,                       ,                          ,                 ,                      ,                      ,                        ,                ,                         ,                        ,                  ,                         ,                           ,                        ,                    ,                      ,                         ,                      ,                  ,                       ,R                           ,                        ,                       ,                    ,                    ,F                    ,                  ,from Leg 143 SR; Ch 33; Table 1; p 568
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,NN2               ,              ,143, 869,A,  1,H, 2,   4.00,      1.5400,Firth    ,Nannofossils                                 ,A              ,M                 ,C                      ,               ,                       ,F                    ,                     ,                       ,                     ,                                  ,                         ,                ,                 ,                    ,A                    ,A                          ,                    ,                       ,                 ,                     ,                   ,                     ,                     ,                   ,                   ,                      ,                              ,                       ,                       ,                        ,           ,                    ,                  ,                             ,                       ,                          ,                 ,                      ,                      ,                        ,                ,                         ,                        ,                  ,                         ,                           ,                        ,                    ,                      ,                         ,                      ,                  ,                       ,F                           ,                        ,                       ,F                   ,                    ,R                    ,C                 ,from Leg 143 SR; Ch 33; Table 1; p 568
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,NN2               ,              ,143, 869,A,  1,H, 3,   4.00,      3.0400,Firth    ,Nannofossils                                 ,A              ,P                 ,F                      ,               ,                       ,F                    ,                     ,                       ,                     ,                                  ,                         ,                ,                 ,                    ,C                    ,C                          ,                    ,                       ,                 ,                     ,                   ,                     ,                     ,                   ,                   ,                      ,                              ,                       ,                       ,                        ,           ,                    ,                  ,                             ,                       ,                          ,                 ,                      ,                      ,                        ,                ,                         ,                        ,                  ,                         ,                           ,                        ,                    ,                      ,                         ,                      ,                  ,                       ,C                           ,                        ,                       ,                    ,                    ,F                    ,R                 ,from Leg 143 SR; Ch 33; Table 1; p 568
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,NN2               ,              ,143, 869,A,  1,H, 4,  47.00,      4.9700,Firth    ,Nannofossils                                 ,A              ,P                 ,F                      ,               ,                       ,C                    ,                     ,                       ,                     ,                                  ,                         ,                ,                 ,                    ,A                    ,C                          ,                    ,                       ,                 ,                     ,                   ,                     ,                     ,                   ,                   ,                      ,                              ,                       ,                       ,                        ,           ,                    ,                  ,                             ,                       ,                          ,                 ,                      ,                      ,                        ,                ,                         ,                        ,                  ,                         ,                           ,                        ,                    ,                      ,                         ,                      ,                  ,                       ,A                           ,                        ,                       ,                    ,                    ,                     ,                  ,from Leg 143 SR; Ch 33; Table 1; p 568
