Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Sphaeroidinellopsis seminulina	Sphaeroidinellopsis paenedehiscens	Orbulina universa	Orbulina bilobata	Neogloboquadrina humerosa	Globorotalia scitula	Globorotalia margaritae primitiva	Globorotalia margaritae margaritae	Globorotalia juanai	Globoquadrina altispira altispira	Globigerinoides trilobus	Globigerinoides sacculifer	Globigerinoides obliquus	Globigerinoides immaturus	Globigerinoides extremus	Globigerinita glutinata	Globigerinella obesa	Globigerinella aequilateralis	Globigerina nepenthes	Globigerina decoraperta	Globorotalia menardii	Globorotalia cibaoensis	Globigerinoides conglobatus	Globigerina falconensis	Globorotalia situla group	Globorotalia plesiotumida	Sphaeroidinellopsis sp.	Globigerinoides quadrilobatus	Globigerinoides ruber	Candeina nitida	Globorotalia multicamerata	Globigerina bulloides	Sphaeroidinella dehiscens	Neogloboquadrina pseudopima	Globorotalia margaritae evoluta	Globorotalia crassula	Neogloboquadrina dutertrei	Neogloboquadrina continuosa	Globorotalia crassaformis viola	Globorotalia crassaformis ronda	Globorotalia crassaformis crassaformis	Globorotalia cf. Gr. multicamerata	Globorotalia cf. Gr. miocenica	Globigerina incisa	Pulleniatina praecursor	Pulleniatina obliquiloculata	Globorotalia truncatulinoides	Globorotalia tosaensis	Globorotalia cf. Gr. truncatulinoides	Globigerina rubescens	Globigerina cf. incisa	Globorotalia tumida	Globorotalia flexuosa	Globorotalia cf. Gr. flexuosa	Globorotalia crassaformis cf. hessi	Hastigerina pelagica	Globorotalia inflata	Globorotalia bermudezi	Globorotalia crassaformis hessi	Beella digitata	Globorotalia miocenica	Comment



  SR	Pleistocene      	                 	G. c. hessi       	              	101	 633	A	  1	H	 3	  25.00	      3.2500	Melillo  	Planktonic Foraminifers                      	               	G                 	                              	                                  	F                	                 	                         	                    	                                 	                                  	                   	                                 	F                       	F                         	                        	F                        	                        	R                      	                    	F                            	                     	                       	F                    	                       	F                          	R                      	                         	                         	                       	R                            	F                    	               	                          	                     	                         	                           	                               	                     	R                         	R                          	                               	R                              	T                                     	                                  	                              	                  	                       	R                           	F                            	                      	                                     	F                    	                      	                   	R                    	R                            	                                   	                    	R                   	                      	R                              	               	r                     	from Melillo; ODP 101 SR Ch 1 Fig 9 p 32-33

  SR	Pleistocene      	                 	G. c. hessi       	              	101	 633	A	  1	H	CC	  15.00	      8.6400	Melillo  	Planktonic Foraminifers                      	               	G                 	                              	                                  	F                	                 	                         	                    	                                 	                                  	                   	                                 	F                       	F                         	                        	F                        	                        	R                      	                    	F                            	                     	                       	                     	                       	                           	                       	                         	                         	                       	                             	C                    	               	                          	                     	T                        	                           	                               	                     	R                         	R                          	                               	R                              	T                                     	                                  	                              	                  	                       	                            	A                            	                      	                                     	F                    	                      	                   	                     	                             	                                   	                    	F                   	                      	R                              	               	                      	from Melillo; ODP 101 SR Ch 1 Fig 9 p 32-34

  SR	Pleistocene      	                 	G. c. hessi       	              	101	 633	A	  2	H	 3	  25.00	     11.9500	Melillo  	Planktonic Foraminifers                      	               	G                 	                              	                                  	F                	                 	                         	                    	                                 	                                  	                   	                                 	                        	R                         	                        	F                        	                        	R                      	                    	A                            	                     	                       	                     	                       	F                          	                       	                         	                         	                       	                             	F                    	T              	                          	R                    	R                        	                           	                               	                     	                          	                           	                               	R                              	T                                     	                                  	                              	                  	                       	                            	F                            	                      	                                     	F                    	R                     	                   	                     	                             	R                                  	                    	                    	R                     	T                              	R              	                      	from Melillo; ODP 101 SR Ch 1 Fig 9 p 32-35

  SR	Pleistocene      	                 	G. c. viola       	              	101	 633	A	  2	H	CC	   7.00	     17.5700	Melillo  	Planktonic Foraminifers                      	               	M                 	                              	                                  	F                	                 	                         	                    	                                 	                                  	                   	                                 	R                       	R                         	                        	F                        	                        	R                      	                    	F                            	                     	                       	                     	                       	                           	                       	                         	                         	                       	                             	F                    	               	                          	R                    	F                        	                           	                               	                     	R                         	R                          	                               	R                              	                                      	                                  	                              	                  	                       	F                           	A                            	                      	                                     	R                    	                      	                   	                     	                             	                                   	                    	                    	                      	                               	               	                      	from Melillo; ODP 101 SR Ch 1 Fig 9 p 32-36
