Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Pyrulina spp.,Oolina spp.,Marssonella sp.,Lenticulina spp.,Dorothia spp.,Dentalina spp.,Nodosaria spp.,Marginulinopsis spp.,Lagena spp.,Gyroidinoides infracretaceus,Gaudryina dividens,Astacolus spp.,Serovaina lobulata,Remesella sp.,Ramulina tappanae,Quinqueloculina spp.,Pseudoclavulina globulifera,Protosangularia utaturensis,Protosangularia cenomaniana,Protosangularia albiana,Praebulimina reussi,Hanzawaia ammophila,Quasispiroplectammina sp.,Gaudryina pyramidata,Ellipsodimorphina spp.,Pyramidina rudita,Protosangularia sp.,Hanzawaia compressa,Gyroidinoides globosa,Guttulina sp.,Spiroplectinella excolata,Saracenaria spp.,Pseudoclavulina rugolosa,Pleurostomella obtusa,Lingulogavelinella indica,Gavelinella sp.,Pyramidina sp.,Marssonella oxycona,Alabamina creta,Osangularia plummerae,Nuttallides truempyi,Conorbinoides hillebrandti,Oridorsalis umbonatus,Globorotalites michelinianus,Aragonia velascoensis,Aragonia ouezzanensis,Anomalinoides spp.,Spiroplectammina spectabilis,Gyroidinoides spp.,Buliminella spp.,Buliminella carseyae,Bathysiphon brosgeri,Pleurostomella spp.,Gyroidinoides quadratus,Stilostomella subspinosa,Stilostomella spp.,Stilostomella abyssorum,Pullenia bulloides,Nonion spp.,Karreriella bradyi,Fissurina spp.,Cibicidoides wuellerstorfi,Cibicidoides subhaidingeri,Anomalinoides globulosus,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,198,1207,B,  1,R,CC,  17.00,    163.5000,benthics ,Benthic Foraminifers                         ,F              ,M                 ,             ,T          ,               ,                ,             ,T             ,              ,                    ,           ,                            ,                  ,              ,                  ,             ,                 ,                    ,                           ,                           ,                           ,                       ,                   ,                   ,                         ,                    ,                      ,                 ,                   ,                   ,                     ,             ,                         ,                ,                        ,                     ,                         ,               ,              ,                   ,               ,                     ,                    ,                          ,T                    ,                            ,                     ,                     ,                  ,                            ,                  ,                ,                    ,                    ,                   ,                       ,F                       ,R                 ,F                      ,R                 ,T          ,T                 ,T             ,R                         ,R                         ,F                       ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,198,1207,B,  2,R,CC,   8.00,    174.8400,benthics ,Benthic Foraminifers                         ,F              ,G                 ,             ,           ,               ,R               ,             ,R             ,R             ,                    ,           ,T                           ,F                 ,              ,                  ,             ,                 ,                    ,R                          ,                           ,                           ,                       ,                   ,                   ,                         ,                    ,                      ,                 ,                   ,                   ,                     ,             ,                         ,                ,                        ,                     ,                         ,               ,              ,F                  ,               ,F                    ,                    ,F                         ,C                    ,                            ,                     ,R                    ,                  ,                            ,                  ,                ,                    ,                    ,                   ,R                      ,                        ,                  ,                       ,                  ,           ,                  ,              ,                          ,                          ,                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,198,1207,B,  3,R,CC,  11.00,    179.2800,benthics ,Benthic Foraminifers                         ,R              ,G                 ,             ,           ,               ,                ,             ,              ,              ,                    ,           ,                            ,                  ,              ,                  ,             ,                 ,                    ,                           ,                           ,                           ,                       ,                   ,                   ,                         ,C                   ,                      ,                 ,                   ,                   ,                     ,             ,                         ,                ,                        ,                     ,                         ,               ,              ,T                  ,               ,T                    ,T                   ,T                         ,T                    ,                            ,                     ,                     ,                  ,                            ,                  ,                ,                    ,T                   ,T                  ,                       ,                        ,                  ,                       ,                  ,           ,                  ,              ,                          ,                          ,                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,198,1207,B,  5,R,CC,  11.00,    199.2400,benthics ,Benthic Foraminifers                         ,T              ,M                 ,             ,           ,               ,                ,             ,T             ,              ,                    ,           ,                            ,                  ,              ,                  ,             ,                 ,                    ,                           ,                           ,                           ,C                      ,T                  ,                   ,                         ,                    ,                      ,                 ,                   ,                   ,                     ,             ,                         ,                ,                        ,                     ,                         ,               ,              ,                   ,T              ,F                    ,F                   ,                          ,F                    ,                            ,T                    ,+                    ,T                 ,T                           ,T                 ,+               ,T                   ,T                   ,                   ,                       ,                        ,                  ,                       ,                  ,           ,                  ,              ,                          ,                          ,                        ,       
