Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Orbulina universa,Globorotalia truncatulinoides (sin.),Globorotalia truncatulinoides (dex.),Globorotalia inflata (4 chambered),Globorotalia inflata (3 chambered),Globorotalia crassaformis,Globorotalia cf. tosaensis (dex.),Globigerinoides trilobus,Globigerinoides conglobatus,Pulleniatina obliquiloculata,Neogloboquadrina pachyderma (dex.),Neogloboquadrina dutertrei,Globorotalia tumida,Globigerinoides ruber (white),Globigerinoides gomitulus,Globigerinita glutinata,Globigerinella aequilateralis (symmetrical),Globigerinella aequilateralis (asymmetrical),Globigerina bulloides,Globorotalia scitula,Globorotalia menardii,Globigerinoides sacculifer,Globigerina quinqueloba,Globigerinita humilis          ,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,126, 787,B,  1,R,CC,   9.00,      2.2700,Herman   ,Planktonic Foraminifers                      ,               ,                  ,+                ,                                    ,                                    ,+                                 ,+                                 ,                         ,                                 ,                        ,+                          ,+                           ,+                                 ,+                         ,                   ,+                            ,+                        ,+                      ,                                           ,                                            ,+                    ,                    ,+                    ,+                         ,+                      ,+                              ,from ODP Leg 126 SR Chapter 18 Table 1 p 273
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,126, 787,B,  2,R,CC,   9.00,      7.5600,Herman   ,Planktonic Foraminifers                      ,               ,                  ,                 ,+                                   ,                                    ,+                                 ,+                                 ,                         ,                                 ,+                       ,                           ,+                           ,+                                 ,+                         ,                   ,+                            ,+                        ,+                      ,                                           ,                                            ,                     ,+                   ,+                    ,+                         ,+                      ,                               ,from ODP Leg 126 SR Chapter 18 Table 1 p 273
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,126, 787,B,  3,R,CC,   9.00,     15.4800,Herman   ,Planktonic Foraminifers                      ,               ,                  ,+                ,+                                   ,+                                   ,+                                 ,+                                 ,                         ,                                 ,+                       ,+                          ,+                           ,+                                 ,+                         ,+                  ,+                            ,+                        ,+                      ,+                                          ,+                                           ,+                    ,                    ,                     ,                          ,                       ,                               ,from ODP Leg 126 SR Chapter 18 Table 1 p 273
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,126, 787,B,  4,R,CC,  11.00,     21.8200,Herman   ,Planktonic Foraminifers                      ,               ,                  ,+                ,+                                   ,+                                   ,+                                 ,+                                 ,+                        ,+                                ,+                       ,+                          ,                            ,                                  ,                          ,                   ,                             ,                         ,                       ,                                           ,                                            ,                     ,                    ,                     ,                          ,                       ,                               ,from ODP Leg 126 SR Chapter 18 Table 1 p 273
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
