Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	planktonics miscellaneous	Neogloboquadrina pachyderma	Globigerinoides quadrilobatus	Globigerinita glutinata	Globigerinella obesa	Globigerina bulloides	Dentoglobigerina altispira	Globorotalia scitula	Globorotalia juanai	Globigerina woodi	Globigerina praebulloides	Globigerina ciperoensis	Globigerina cf. bulloides	Orbulina universa	Neogloboquadrina cf. pachyderma	Globigerinoides sacculifer	Globigerinella cf. pseudobesa	Globigerina quinqueloba	Globorotalia menardii	Globigerinoides trilobus	Globigerina cf. woodi	Globigerinella pseudobesa	Globorotalia inflata	Comment



  IR	                 	                 	                  	              	174	1071	C	  2	X	CC	  35.00	     64.4200	Olson    	Planktonic Foraminifers                      	F              	VG                	13                       	4                          	                             	                       	                    	1                    	                          	                    	                   	                 	                         	                       	                         	1                	                               	                          	                             	                       	                     	2                       	                     	                         	6                   	P/B=30% benthics=C glauconite=C qtz=A

  IR	                 	                 	                  	              	174	1071	C	  6	X	CC	  21.00	     97.0900	Olson    	Planktonic Foraminifers                      	T              	                  	2                        	                           	                             	1                      	                    	                     	                          	                    	                   	                 	                         	                       	                         	                 	                               	                          	                             	                       	                     	                        	                     	                         	                    	P/B=<1% benthics=R glauconite=F mica=A pyrite=VR

  IR	                 	                 	                  	              	174	1071	C	  6	X	CC	  29.00	     97.1700	Olson    	Planktonic Foraminifers                      	T              	VG                	1                        	1                          	                             	1                      	                    	                     	                          	                    	                   	                 	                         	                       	                         	                 	                               	                          	                             	                       	                     	                        	                     	                         	                    	P/B=5% benthics=R glauconite=C pyrite=VR mica=A

  IR	                 	                 	                  	              	174	1071	C	  7	X	CC	  37.00	    105.9700	Olson    	Planktonic Foraminifers                      	T              	VG                	1                        	                           	                             	                       	                    	                     	                          	                    	                   	                 	                         	                       	                         	                 	                               	                          	                             	                       	                     	                        	                     	1                        	                    	P/B=1% benthics=R glauconite=R mica=C qtz=A

  IR	                 	                 	                  	              	174	1071	C	 11	X	 1	  19.00	    143.6900	Olson    	Planktonic Foraminifers                      	F              	VG                	4                        	8                          	                             	3                      	1                   	7                    	                          	3                   	                   	                 	                         	                       	                         	                 	                               	                          	                             	                       	2                    	1                       	2                    	                         	                    	P/B=15% benthics=C Quartz=A mica=A pyrite=R

  IR	                 	                 	                  	              	174	1071	C	 11	X	CC	  46.00	    149.4500	Olson    	Planktonic Foraminifers                      	C              	G                 	6                        	34                         	3                            	3                      	                    	4                    	                          	                    	                   	3                	                         	                       	                         	                 	                               	                          	7                            	1                      	                     	                        	                     	                         	                    	P/B=10% benthics=A quartz=C mica=C-A pyrite=A

  IR	                 	                 	                  	              	174	1071	C	 12	X	CC	  43.00	    153.6300	Olson    	Planktonic Foraminifers                      	C              	                  	13                       	26                         	3                            	4                      	                    	1                    	                          	                    	                   	1                	                         	                       	5                        	1                	5                              	1                         	7                            	                       	                     	                        	                     	                         	                    	P/B=14% benthics= mica=A quartz=C pyrite=C

  IR	                 	                 	                  	              	174	1071	C	 13	X	CC	  23.00	    157.3800	Olson    	Planktonic Foraminifers                      	R              	                  	                         	                           	                             	2                      	                    	1                    	                          	                    	                   	                 	                         	                       	                         	                 	                               	                          	                             	                       	                     	                        	                     	                         	                    	P/B=<1% benthics=C glauconite=F mica=A quartz=A pyrite=F

  IR	                 	Late Miocene     	                  	              	174	1071	C	 14	X	CC	  50.00	    163.1100	Olson    	Planktonic Foraminifers                      	C              	VG                	10                       	                           	4                            	2                      	                    	29                   	                          	3                   	1                  	1                	1                        	r2                     	3                        	                 	                               	                          	                             	                       	                     	                        	                     	                         	                    	P/B=% benthics=R pyrite=A  woody material=C glauconite=none mica=C qtz=A

  IR	                 	Late Miocene     	                  	              	174	1071	C	 15	X	CC	  37.00	    172.2700	Olson    	Planktonic Foraminifers                      	F              	M                 	17                       	4                          	4                            	1                      	1                   	8                    	1                         	                    	                   	                 	                         	                       	                         	                 	                               	                          	                             	                       	                     	                        	                     	                         	                    	P/B=40% benthics=R-C quartz=A mica=A

  IR	                 	                 	                  	              	174	1071	C	 22	X	 1	  90.00	    229.3000	Olson    	Planktonic Foraminifers                      	T              	                  	1                        	                           	                             	                       	                    	                     	                          	                    	                   	                 	                         	                       	                         	                 	                               	                          	                             	                       	                     	                        	                     	                         	                    	P/B=1% benthics=R glauconite=R mica=A quartz=A

